"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication_Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Inter-cluster connection in cognitive wireless mesh networks based on intelligent network coding","X. Chen; Z. Zhao; H. Zhang; T. Jiang; D. Grace","Key Laboratory of Integrate Information Network Technology, Zhejiang University, Zheda Road 38, Hangzhou, 310027, China","2009 IEEE 20th International Symposium on Personal, Indoor and Mobile Radio Communications","20100415","2009","","","1251","1256","Cognitive wireless mesh networks have great flexibility to improve the spectrum utilization by opportunistically accessing the authorized frequency bands, within which the secondary users (SUs) should not violate the quality of service (QoS) requirement of the primary users (PUs) while transmitting. In this paper, we consider inter-cluster connection among neighboring clusters under the framework of cognitive wireless mesh networks. Corresponding to the neighboring clusters, all nodes operate in half-duplex mode; hence exchanging control message usually needs four time slots by traditional scheme, which leads to a loss in networking and spectral efficiency especially at the gateway node. A novel scheme based on network coding is proposed, which needs only two time slots. Our simulation experiments reveal the following findings: the performances of traditional inter-cluster connection and network coding based inter-cluster connection are comparable. Next, how to choose optimal signal amplification factor at the gateway node according to the wireless environment is discussed. And we present an intelligent policy based on reinforcement learning to solve the problem. Theoretical analysis and numerical results both show the policy can achieve optimal throughput for the SUs in the long run.","2166-9570;21669570","Electronic:978-1-4244-5123-4; POD:978-1-4244-5122-7","10.1109/PIMRC.2009.5449924","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5449924","CogMesh;cluster;cognitive radio;cognitive wireless mesh networks;network coding;reinforcement learning;relaying","Chromium;Cognitive radio;Frequency;Intelligent networks;Laboratories;Learning;Network coding;Quality of service;Relays;Wireless mesh networks","cognitive radio;network coding;wireless mesh networks","QoS;cognitive wireless mesh networks;gateway node;half-duplex mode;intelligent network coding;intelligent policy;intercluster connection;optimal signal amplification factor;primary users;quality of service;reinforcement learning;secondary users;spectrum utilization","","3","","15","","","","13-16 Sept. 2009","","IEEE","IEEE Conferences"
"Adaptive hierarchical resource management for satellite channel in hybrid MANET-satellite-Internet network","N. X. Liu; Xiaoming Zhou; J. S. Baras","Inst. for Syst. Res., Maryland Univ., College Park, MD, USA","IEEE 60th Vehicular Technology Conference, 2004. VTC2004-Fall. 2004","20050425","2004","6","","4027","4031 Vol. 6","MANETs are often deployed in an infrastructure-less or hostile region where the satellite provides the only link for the MANETs to communicate with the rest of the world. It faces many challenges to support multiple serviced communications between MANETs and Internet through satellite. In this paper, we propose an efficient resource management scheme called AHRM to dynamically allocate bandwidths among multiple MANET users and multiple priority and non-priority services sharing a multi-access satellite channel. It uses a flexible hierarchical structure to exploit the channel utility and resolve contention from two levels. A bandwidth adaptation algorithm is designed to adjust the allocation dynamically in response to traffic and link status changes. The algorithm turns out to be in line with reinforcement learning and is a customized version of it for the practical satellite network setting. Implementation issues are discussed. Simulation results are presented, showing that the scheme can guarantee fast delivery of critical messages in spite of channel contention, and significantly improve the performance of multiple services.","1090-3038;10903038","POD:0-7803-8521-7","10.1109/VETECF.2004.1404834","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1404834","","Algorithm design and analysis;Artificial satellites;Bandwidth;Delay;Educational institutions;Intelligent networks;Mobile ad hoc networks;Resource management;Telecommunication traffic;Web and internet services","IntServ networks;Internet;ad hoc networks;channel allocation;learning (artificial intelligence);mobile satellite communication;multi-access systems","AHRM;adaptive hierarchical resource management;adaptive hierarchical scheduling;bandwidth adaptation;contention resolution;dynamic bandwidth allocation;hybrid MANET-satellite-Internet network;link status;mobile wireless ad hoc network;multiaccess satellite channel;multiple priority services;multiple service communications;reinforcement learning;traffic status","","3","","12","","","","26-29 Sept. 2004","","IEEE","IEEE Conferences"
"New software for learner-centered circuits instruction","M. D. Ciletti","Dept. of Electr. & Comput. Eng., Colorado Univ., Colorado Springs, CO, USA","Frontiers in Education Conference, 1998. FIE '98. 28th Annual","20020806","1998","3","","1100 vol.3","","Summary form only given. Today's classroom and technologies offer solutions to the challenges that face students and instructors in circuits. Software tools now support several areas of the curriculum (e.g. circuits and electromagnetic fields), and many students learn to use them early in their studies. The availability of powerful personal computers linked to classroom video projection systems creates an opportunity for faculty to broaden the scope of their instruction on-the-fly, with a high level of audience interaction and exploration. With software tools, examples can be explored freely, and students can address ""what-if"" questions immediately. Students gain valuable reinforcement for their understanding of abstract concepts by seeing physical, practical effects on the screen, under their control. Here, the authors discuss such software for learner-centered circuits instruction.","0190-5848;01905848","POD:0-7803-4762-5","10.1109/FIE.1998.738572","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=738572","","Circuit analysis;Circuit theory;Electrical engineering education;Fourier series;Fourier transforms;Linear circuits;Software tools;Springs;Time domain analysis;User-generated content","computer aided instruction;educational courses;electronic engineering computing;electronic engineering education;microcomputer applications","classroom video projection systems;curriculum;instructors;learner-centered circuits instruction software;personal computers;software tools;students","","0","","","","","","4-7 Nov. 1998","04 Nov 1998-07 Nov 1998","IEEE","IEEE Conferences"
"Context-aware unified routing for VANETs based on virtual clustering","Y. Ji; C. Wu; T. Yoshinaga","National Institute of Informatics, Tokyo, Japan","2016 IEEE 27th Annual International Symposium on Personal, Indoor, and Mobile Radio Communications (PIMRC)","20161222","2016","","","1","6","We propose a context-aware routing protocol for vehicular ad hoc networks (VANETs). Two types of context information is considered in this paper specifically communication type (broadcast or unicast) and packet size. The proposed protocol constructs route based on virtual clustering which only exchanges beacon messages in one-hop neighborhood area. The packets are forwarded by the cluster heads, and the last 2-hop route is optimized by using a reinforcement learning algorithm which can attain good performance with low overhead. The advantage of the proposed protocol is shown by using computer simulations.","","Electronic:978-1-5090-3254-9; POD:978-1-5090-3255-6","10.1109/PIMRC.2016.7794599","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7794599","","Conferences;Context;Payloads;Routing protocols;Unicast;Vehicles","learning (artificial intelligence);mobile computing;pattern clustering;routing protocols;telecommunication computing;vehicular ad hoc networks","VANET;computer simulation;context-aware unified routing protocol;one-hop neighborhood area;packet size;reinforcement learning algorithm;vehicular ad hoc network;virtual clustering","","","","","","","","4-8 Sept. 2016","","IEEE","IEEE Conferences"
"Customised pearlmutter propagation: A hardware architecture for trust region policy optimisation","S. Shao; W. Luk","Department of Computing, Imperial College London","2017 27th International Conference on Field Programmable Logic and Applications (FPL)","20171005","2017","","","1","6","Reinforcement Learning (RL) is an area of machine learning in which an agent interacts with the environment by making sequential decisions. The agent receives reward from the environment to find an optimal policy that maximises the reward. Trust Region Policy Optimisation (TRPO) is a recent policy optimisation algorithm that achieves superior results in various RL benchmarks, but is computationally expensive. This paper proposes Customised Pearlmutter Propagation (CPP), a novel hardware architecture that accelerates TRPO on FPGA. We use the Pearlmutter Algorithm to address the key computational bottleneck of TRPO in a hardware efficient manner, avoiding symbolic differentiation with change of variables. Experimental evaluation using robotic locomotion benchmarks demonstrates that the proposed CPP architecture implemented on Stratix-V FPGA can achieve up to 20 times speed-up against 6-threaded Keras deep learning library with Theano backend running on a Core i7-5930K CPU.","","Electronic:978-9-0903-0428-1; POD:978-1-5386-2040-3","10.23919/FPL.2017.8056789","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8056789","","Acceleration;Benchmark testing;Computer architecture;Field programmable gate arrays;Hardware;Machine learning;Optimization","computer architecture;field programmable gate arrays;learning (artificial intelligence);multi-agent systems;optimisation","CPP architecture;Customised Pearlmutter Propagation;Customised pearlmutter propagation;Pearlmutter Algorithm;Stratix-V FPGA;TRPO;hardware architecture;machine learning;reinforcement learning;robotic locomotion benchmarks;sequential decision making;trust region policy optimisation","","","","","","","","4-8 Sept. 2017","","IEEE","IEEE Conferences"
"Adaptive learning based directional MAC protocol for millimeter wave (mmWave) wireless networks","P. Tiwari; D. K. Meena; L. S. Pillutla","Dhirubhai Ambani Institute of Information and Communication Technology (DA-IICT), Gandhinagar - 382007, Gujarat, India","2017 IEEE 28th Annual International Symposium on Personal, Indoor, and Mobile Radio Communications (PIMRC)","20180215","2017","","","1","5","Directional antennas are used to counter the increased path loss at millimeter wave (mmWave) frequencies (beyond 30 GHz). Usage of directional antennas imply lack of channel sensing on the part of various network nodes. Consequently coordination among various network nodes becomes critical for efficient network operation. In this paper we propose the adaptive learning directional medium access control (AL-DMAC) protocol based on reinforcement learning, to facilitate implicit coordination among various nodes. Our simulation results demonstrate that the AL-DMAC protocol along with a suitably chosen neighbor discovery mechanism yields higher network throughput than both the naive directional slotted ALOHA (DSA) protocol and the memory guided directional medium access control (MD-MAC) protocol. Further the AL-DMAC protocol and the MD-MAC protocol have comparable performance in terms of fairness, measured in terms of the Jain's fairness index.","","Electronic:978-1-5386-3531-5; POD:978-1-5386-3532-2; Paper:978-1-5386-3529-2; USB:978-1-5386-3530-8","10.1109/PIMRC.2017.8292296","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8292296","MAC protocols and reinforcement learning;directional antennas;mmWave","Adaptive learning;Directional antennas;Media Access Protocol;Millimeter wave communication;Millimeter wave technology;Throughput","access protocols;directive antennas;learning (artificial intelligence);millimetre wave communication;telecommunication computing;wireless channels","AL-DMAC protocol;MD-MAC protocol;adaptive learning directional medium access control;channel sensing;directional antennas;directional slotted ALOHA protocol;frequency 30.0 GHz;millimeter wave wireless networks;reinforcement learning","","","","","","","","8-13 Oct. 2017","","IEEE","IEEE Conferences"
"A learning strategy for paging in mobile environments","I. Koukoutsidis; P. Demestichas; M. Theologou","Sch. of Electr. & Comput. Eng., Nat. Tech. Univ. of Athens, Greece","2003 5th European Personal Mobile Communications Conference (Conf. Publ. No. 492)","20041101","2003","","","585","590","The essence of designing a good paging strategy is to incorporate user mobility characteristics in a predictive mechanism that reduces the average paging cost with as little computational effort as possible. We introduce a novel paging scheme based on the concept of reinforcement learning. Learning endows the paging mechanism with the predictive power necessary to determine a mobile terminal's position, without having to extract a location probability distribution for each specific user. The proposed algorithm is compared against a heuristic randomized learning strategy akin to reinforcement learning, that we invented for this purpose and performs better than the case where no learning is used at all. It is shown that if the user normally moves only among a fraction of cells in the location area, significant savings can be achieved over the randomized strategy, without excessive time to train the network.","0537-9989;05379989","Paper:0-85296-753-5","10.1049/cp:20030322","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1350260","","","cellular radio;learning (artificial intelligence);paging communication;software agents;telecommunication computing","heuristic randomized learning strategy;intelligent agent;learning strategy;location probability distribution;mobile environments;predictive mechanism;reinforcement learning;terminal paging;user mobility characteristics","","0","","","","","","22-25 April 2003","","IET","IET Conferences"
"Personalizing robot behavior for interruption in social human-robot interaction","Y. S. Chiang; T. S. Chu; C. D. Lim; T. Y. Wu; S. H. Tseng; L. C. Fu","Department of Computer Science and Information Engineering, National Taiwan University, Taipei 10617, Taiwan","2014 IEEE International Workshop on Advanced Robotics and its Social Impacts","20150126","2014","","","44","49","People engaging in an activity usually has individual tolerance to be interrupted [1], [2]. Humans subconsciously adapt their behaviors to draw other one's attention and to get into a conversation based on their historical experiences, but robots often fail to be aware of humans' feeling and thus interrupt their users repeatedly. To endow service robots with such socially acceptable ability, we propose an online human-aware interactive learning framework in this paper, under which the robot personalizes its behaviors according to both observed user's attention and its conjecture about user's awareness of itself. To this purpose, the correlation between the robot's theory of awareness, user's attention and robot behavior are explored through reinforcement learning techniques. The conducted experiment shows that the robot can personalize its interruption strategy, and the optimal policies converged for at least 26 episodes.","2162-7568;21627568","Electronic:978-1-4799-6968-5; POD:978-1-4799-6969-2; USB:978-1-4799-6967-8","10.1109/ARSO.2014.7020978","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7020978","","Face;Hidden Markov models;Interrupters;Learning (artificial intelligence);Markov processes;Robot sensing systems","human-robot interaction;learning (artificial intelligence);service robots;social sciences","interruption strategy;online human-aware interactive learning framework;reinforcement learning techniques;robot behavior personalization;robot theory of awareness;service robots;social human-robot interaction;user attention;user awareness","","0","","23","","","","11-13 Sept. 2014","","IEEE","IEEE Conferences"
"Supervisory output prediction for bilinear systems by reinforcement learning","G. C. Chasparis; T. Natschläger","Software Competence Center Hagenberg GmbH, Austria","IET Control Theory & Applications","20170608","2017","11","10","1514","1521","Online output prediction is an indispensable part of any model predictive control implementation. For several application scenarios, operating conditions may change quite often, while designing the data collection process may not be an option. To this end, this study introduces a supervisory output prediction scheme, tailored specifically for input-output stable bilinear systems, that intends on automating the process of selecting the most appropriate prediction model during runtime. The selection process is based upon a reinforcement-learning scheme, where prediction models are selected according to their prior prediction performance. An additional selection process is concerned with appropriately partitioning the control-inputs' domain also to allow for switched-system approximations of the original bilinear dynamics. The authors show analytically that the proposed scheme converges (in probability) to the best model and partition. They also demonstrate these properties through simulations of temperature prediction in residential buildings.","1751-8644;17518644","","10.1049/iet-cta.2016.1400","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7942299","","","bilinear systems;buildings (structures);digital simulation;learning (artificial intelligence);predictive control;switching systems (control);temperature control","control-input domain;data collection process;input-output stable bilinear systems;model predictive control implementation;online output prediction;original bilinear dynamics;prior prediction performance;reinforcement learning;residential buildings;supervisory output prediction;switched-system approximations;temperature prediction simulation","","","","","","","","6 23 2017","","IET","IET Journals & Magazines"
"A reinforcement self-learning model on an intelligent behavior avatar in a virtual world","Jui-Fa Chen; Wei-Chuan Lin; Hua-Sheng Bai; Hsiao-Chuan Chao","Dept. of Inf. Eng., Tamkang Univ., Tamsui, Taiwan","IEEE International Conference on Sensor Networks, Ubiquitous, and Trustworthy Computing (SUTC'06)","20060619","2006","1","","7 pp.","","In this paper, a novel method for personal intelligent behavior avatar (IBA) is proposed to acquire autonomous behavior based on the interactions between user and smart objects in the virtual environment. In this method, the behavior decision model and the self-learning model are integrated by Bayesian networks and reinforcement learning. The Bayesian networks can treat interaction experiences using statistical processes, and the sureness of decision making is represented by certainty factors using stochastic reasoning. The reinforcement learning is implemented by learning experimentation or trial and error mechanisms to improve the performance of IBA through feedback. Therefore, the IBA makes a strategic decision that is approximated and appropriate to the user through the self-learning process by reinforcement learning. Finally, the feasibility of this method is investigated by imitating user's behavior and the results of self-learning process. The results of simulation show that the method is successful in imitating user's behavior and improving the performance of IBA","","POD:0-7695-2553-9","10.1109/SUTC.2006.1636185","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1636185","","Artificial intelligence;Avatars;Bayesian methods;Chaos;Decision making;Educational institutions;Information technology;Intelligent agent;Learning;Virtual environment","approximation theory;avatars;belief networks;decision making;heuristic programming;statistical analysis;unsupervised learning","Bayesian network;IBA;approximation theory;behavior decision model;learning experimentation;personal intelligent behavior avatar;reinforcement self-learning model;statistical process;stochastic reasoning;strategic decision making","","0","","11","","","","5-7 June 2006","","IEEE","IEEE Conferences"
"Reward Sensitivity of ACC as an Intermediate Phenotype between DRD4-521T and Substance Misuse","T. E. Baker; T. Stockwell; G. Barnes; R. Haesevoets; C. B. Holroyd","1University of Victoria","Journal of Cognitive Neuroscience","20160204","2016","28","3","460","471","<para>The development and expression of the midbrain dopamine system is determined in part by genetic factors that vary across individuals such that dopamine-related genes are partly responsible for addiction vulnerability. However, a complete account of how dopamine-related genes predispose individuals to drug addiction remains to be developed. Adopting an intermediate phenotype approach, we investigated whether reward-related electrophysiological activity of ACC—a cortical region said to utilize dopamine reward signals to learn the value of extended, context-specific sequences of goal-directed behaviors—mediates the influence of multiple dopamine-related functional polymorphisms over substance use. We used structural equation modeling to examine whether two related electrophysiological phenomena associated with the control and reinforcement learning functions of ACC—theta power and the reward positivity—mediated the relationship between the degree of substance misuse and genetic polymorphisms that regulate dopamine processing in frontal cortex. Substance use data were collected from 812 undergraduate students. One hundred ninety-six returned on a subsequent day to participate in an electrophysiological experiment and to provide saliva samples for DNA analysis. We found that these electrophysiological signals mediated a relationship between the DRD4-521T dopamine receptor genotype and substance misuse. Our results provide a theoretical framework that bridges the gap between genes and behavior in drug addiction and illustrate how future interventions might be individually tailored for specific genetic and neurocognitive profiles.</para>","0898-929X;0898929X","","10.1162/jocn_a_00905","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7395964","","","","","","","","","","","","March 2016","","MIT Press","MIT Press Journals"
"Emotion-driven learning agent for setting rich presence in mobile telephony","S. Saha; R. Quazi","The Royal Institute of Technology (KTH), Sweden and University of Dhaka, Bangladesh","2008 11th International Conference on Computer and Information Technology","20090321","2008","","","121","126","Presence or personal status information is going to be an integral part of human life in the near future. With the possibility of personalizing user preferences in a fine grained way, mobile presence will appeal to most users. Among all the advantages, one of the most annoying problems is to set the presence status manually each time. This paper discusses the development of an intelligent agent based presence client that will learn and make decisions on behalf of the user about his or her presence status. The decision is emotion driven and the learning depends on real world experience. The proposed system utilizes a neural network (NN) based emotion-driven agent to learn user preferences. As a NN learning algorithm, two approaches based on Differential Evolution and Reinforcement have been proposed, of which either one can be used. Rich presence status is set using a scripting language named Call Processing Language; and SIP is used for publishing the presence to others.","","CD-ROM:978-1-4244-2136-7; POD:978-1-4244-2135-0","10.1109/ICCITECHN.2008.4803023","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4803023","ANN;CPL;DE;Presence;SIP;context aware;learning agent;neural network;reinforcement","Artificial neural networks;Context awareness;Humans;Information technology;Intelligent agent;Mobile computing;Mobile radio mobility management;Neural networks;Publishing;Telephony","authoring languages;learning (artificial intelligence);mobile computing;neural nets;software agents;telephony","call processing language;differential evolution;emotion-driven agent;emotion-driven learning agent;intelligent agent;mobile telephony;neural network;personalizing user preferences;reinforcement;rich presence;scripting language","","0","","21","","","","24-27 Dec. 2008","","IEEE","IEEE Conferences"
"Reference signal power control for load balancing in downlink LTE-A self-organizing networks","C. Ma; R. Yin; G. Yu; J. Zhang","Institute of information and communication engineering, Zhejiang University, Hangzhou, China","2012 IEEE 23rd International Symposium on Personal, Indoor and Mobile Radio Communications - (PIMRC)","20121129","2012","","","460","464","Self-organizing network (SON) is considered as a driving technology for the deployment of next generation radio access networks. This paper addresses the problem of load balancing (LB) for multi-hop cellular network (MCN) with fixed relays such as LTE-A network in the context of SON. The designed SON algorithm, namely RSPC-RL, is based on two ideas: relay node reference signal power control (RSPC) and multi-agent reinforcement learning (RL). In the proposed RSPC-RL algorithm, the relay node is modeled as an agent that learns an optimal policy of reference signal power control from its interaction with environment to balance the load distribution of the network through dynamically changing its coverage area. Numerical results show the significant performance gain brought about by the proposed algorithm RSPC-RL.","2166-9570;21669570","Electronic:978-1-4673-2569-1; POD:978-1-4673-2566-0; USB:978-1-4673-2568-4","10.1109/PIMRC.2012.6362829","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6362829","","Algorithm design and analysis;Heuristic algorithms;Learning;Load management;Power control;Relays;Throughput","Long Term Evolution;cellular radio;control engineering computing;learning (artificial intelligence);mobile computing;multi-agent systems;next generation networks;power control;radio access networks;resource allocation;telecommunication control","MCN;RSPC-RL;RSPC-RL algorithm;SON;downlink LTE-A self-organizing networks;load balancing;load distribution;multiagent reinforcement learning;multihop cellular network;next generation radio access networks;relay node reference signal power control","","7","","18","","","","9-12 Sept. 2012","","IEEE","IEEE Conferences"
"Optimal medication dosing from suboptimal clinical examples: A deep reinforcement learning approach","S. Nemati; M. M. Ghassemi; G. D. Clifford","Dept. of Biomedical Informatics, Emory University, Atlanta, GA 30322","2016 38th Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC)","20161018","2016","","","2978","2981","Misdosing medications with sensitive therapeutic windows, such as heparin, can place patients at unnecessary risk, increase length of hospital stay, and lead to wasted hospital resources. In this work, we present a clinician-in-the-loop sequential decision making framework, which provides an individualized dosing policy adapted to each patient's evolving clinical phenotype. We employed retrospective data from the publicly available MIMIC II intensive care unit database, and developed a deep reinforcement learning algorithm that learns an optimal heparin dosing policy from sample dosing trails and their associated outcomes in large electronic medical records. Using separate training and testing datasets, our model was observed to be effective in proposing heparin doses that resulted in better expected outcomes than the clinical guidelines. Our results demonstrate that a sequential modeling approach, learned from retrospective data, could potentially be used at the bedside to derive individualized patient dosing policies.","1557-170X;1557170X","Electronic:978-1-4577-0220-4; POD:978-1-4577-0219-8","10.1109/EMBC.2016.7591355","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7591355","","Cost function;Drugs;Feature extraction;Hospitals;Learning (artificial intelligence);Time series analysis;Training","decision making;drugs;electronic health records;learning (artificial intelligence);patient treatment","MIMIC II intensive care unit database;clinical guidelines;clinical phenotype;clinician-in-the-loop sequential decision making framework;deep reinforcement learning algorithm;electronic medical records;hospital stay length;individualized dosing policy;individualized patient dosing policies;optimal heparin dosing policy;optimal medication dosing;retrospective data;sample dosing trails;sensitive therapeutic windows;sequential modeling approach;suboptimal clinical examples;testing datasets;training datasets","Algorithms;Databases, Factual;Dose-Response Relationship, Drug;Heparin;Humans;Learning;Length of Stay;Markov Chains;Reinforcement (Psychology);Retrospective Studies","1","1","","","","","16-20 Aug. 2016","","IEEE","IEEE Conferences"
"Reinforcement learning approach towards effective content recommendation in MOOC environments","V. R. Raghuveer; B. K. Tripathy; T. Singh; S. Khanna","SCSE, VIT University, Vellore, Tamilnadu, India","2014 IEEE International Conference on MOOC, Innovation and Technology in Education (MITE)","20150126","2014","","","285","289","Understanding the Learner requirements is an important aspect of any learning environment as it helps to recommend the LOs in a more personalized manner. With the growing demand for MOOCs offered by coursera, edx, etc. the learner information plays a vital role in understanding the extent to which the learners can gain out of such courses. The Learning Management Systems (LMS) across the web uses the explicit (rating, performance, etc.) and implicit feedback (LOs used) obtained through interaction with the learners to derive such information. As the requirements of the learners varies with the individual's interest and learning background, a common approach for recommending LOs may not cater the needs of all the learners. To overcome this issue, this paper proposes reinforcement learning based algorithm to analyze the learner information (derived from both implicit and explicit feedback) and generate the knowledge on the learner's requirements and capabilities inside a specific learning context. The reinforcement learning system (RILS) implemented as a part of this work utilizes the knowledge thus generated in order to recommend the appropriate LOs for the learners. The results have highlighted that the knowledge derived from the learning information analysis proved to effective in generating personalized recommendation policies that can cater the context specific requirements of the learners.","","Electronic:978-1-4799-6876-3; POD:978-1-4799-6877-0","10.1109/MITE.2014.7020289","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7020289","LO recommendation;MOOC;Reinforcement Learning;learning context;learning experience","Collaboration;Conferences;Context;Educational institutions;Electronic learning;Technological innovation","Internet;computer aided instruction;educational courses;human computer interaction;information analysis;learning (artificial intelligence);recommender systems","LMS;MOOC environments;RILS;Web;content recommendation;explicit feedback;generating personalized recommendation policies;implicit feedback;knowledge utilization;learning information analysis;learning management systems;massive open online course;reinforcement learning system","","1","","14","","","","19-20 Dec. 2014","","IEEE","IEEE Conferences"
"Towards a virtual personal assistant based on a user-defined portfolio of multi-domain vocal applications","T. Ekeinhor-Komi; J. L. Bouraoui; R. Laroche; F. Lefèvre","Orange Labs, France","2016 IEEE Spoken Language Technology Workshop (SLT)","20170209","2016","","","106","113","This paper proposes a novel approach to defining and simulating a new generation of virtual personal assistants as multi-application multi-domain distributed dialogue systems. The first contribution is the assistant architecture, composed of independent third-party applications handled by a Dispatcher. In this view, applications are black-boxes responding with a self-scored answer to user requests. Next, the Dispatcher distributes the current request to the most relevant application, based on these scores and the context (history of interaction etc.), and conveys its answer to the user. To address variations in the user-defined portfolio of applications, the second contribution, a stochastic model automates the online optimisation of the Dispatcher's behaviour. To evaluate the learnability of the Dispatcher's policy, several parametrisations of the user and application simulators are enabled, in such a way that they cover variations of realistic situations. Results confirm in all considered configurations of interest, that reinforcement learning can learn adapted strategies.","","Electronic:978-1-5090-4903-5; POD:978-1-5090-4904-2; USB:978-1-5090-4902-8","10.1109/SLT.2016.7846252","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7846252","dialogue strategy;multi-application spoken dialogue systems;multi-domain;reinforcement learning","Gold;History;Learning (artificial intelligence);Meteorology;Portfolios;Semantics;Symmetric matrices","computational linguistics;human computer interaction;interactive systems;learning (artificial intelligence);optimisation;stochastic processes","Dispatcher policy learnability evaluation;application simulator parametrisation;black-boxes;multiapplication multidomain distributed dialogue systems;multidomain vocal applications;online optimisation;reinforcement learning;stochastic model;third-party applications;user parametrisation;user-defined portfolio;virtual personal assistant architecture","","","","","","","","13-16 Dec. 2016","","IEEE","IEEE Conferences"
"A learning-based control architecture for an assistive robot providing social engagement during cognitively stimulating activities","J. Chan; G. Nejat","Autonomous Systems and Biomechatronics Laboratory in the Department of Mechanical and Industrial Engineering at the University of Toronto, 5 King's College Road, ON, M5S 3G8 Canada","2011 IEEE International Conference on Robotics and Automation","20110818","2011","","","3928","3933","Recent studies have shown that sustained engagement in cognitively stimulating activities has had positive effects on the cognitive functioning of humans. The objective of our work is to develop an intelligent socially assistive robot that can engage individuals in person-centered cognitively stimulating activities. In this paper, we present the design of a novel learning-based control architecture that enables the robot to act as a social motivator by providing assistance, encouragement and celebration during the course of an activity. A hierarchical reinforcement learning (HRL) approach is used to provide the robot with the ability to: (i) learn appropriate assistive behaviors based on the structure of the activity and (ii) personalize the interaction based on the person's affective state during the activity. Preliminary experiments show that the proposed learning-based control architecture is effective in determining the optimal assistive behaviors of the robot during a memory game interaction.","1050-4729;10504729","CD:978-1-61284-380-3; Electronic:978-1-61284-385-8; Paper:978-1-61284-386-5","10.1109/ICRA.2011.5980426","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5980426","","Games;Heart rate;Humans;Robot sensing systems;Speech recognition;Training","cognition;intelligent robots;learning (artificial intelligence);service robots;social sciences","cognitively stimulating activity;hierarchical reinforcement learning;human cognitive function;intelligent socially assistive robot;learning-based control architecture;memory game interaction","","4","","18","","","","9-13 May 2011","","IEEE","IEEE Conferences"
"Angle of arrival estimation in dynamic indoor THz channels with Bayesian filter and reinforcement learning","B. Peng; Q. Jiao; T. Kürner","Technische Universit&#x00E4;t Braunschweig Schleinitzstra&#x00DF;e 22, 38106 Braunschweig, Germany","2016 24th European Signal Processing Conference (EUSIPCO)","20161201","2016","","","1975","1979","This paper presents a novel algorithm to estimate the Angle of Arrival (AoA) in a dynamic indoor Terahertz channel. In a realistic application, the user equipment is often moved by the user during the data transmission and the AoA must be estimated periodically, such that the adaptive directional antenna can be adjusted to realize a high antenna gain. The Bayesian filter is applied to exploit continuity and smoothness of the channel dynamics for the AoA estimation. Reinforcement learning is introduced to adapt the prior transition probabilities between system states, in order to fit the variation of application scenarios and personal habits. The algorithm is validated using the ray launching channel simulator and realistic human movement models.","","Electronic:978-0-9928-6265-7; POD:978-1-5090-1891-8","10.1109/EUSIPCO.2016.7760594","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7760594","Bayesian filter;Terahertz communication;angle of arrival estimation;dynamic channel;reinforcement learning","Azimuth;Bayes methods;Directive antennas;Estimation;Gain;Learning (artificial intelligence)","belief networks;directive antennas;filtering theory;learning (artificial intelligence);probability","AoA estimation;Bayesian filter;adaptive directional antenna;angle of arrival estimation;dynamic indoor THz channels;high antenna gain;prior transition probabilities;ray launching channel simulator;reinforcement learning","","1","","","","","","Aug. 29 2016-Sept. 2 2016","","IEEE","IEEE Conferences"
