"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication_Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Towards efficient, personalized anesthesia using continuous reinforcement learning for propofol infusion control","C. Lowery; A. A. Faisal","Dept. of Comput., Imperial Coll. London, London, UK","2013 6th International IEEE/EMBS Conference on Neural Engineering (NER)","20140102","2013","","","1414","1417","We demonstrate the use of reinforcement learning algorithms for efficient and personalized control of patients' depth of general anesthesia during surgical procedures - an important aspect for Neurotechnology. We used the continuous actor-critic learning automaton technique, which was trained and tested in silico using published patient data, physiological simulation and the bispectral index (BIS) of patient EEG. Our two-stage technique learns first a generic effective control strategy based on average patient data (factory stage) and can then fine-tune itself to individual patients (personalization stage). The results showed that the reinforcement learner as compared to a bang-bang controller reduced the dose of the anesthetic agent administered by 9.4% and kept the patient closer to the target state, as measured by RMSE (4.90 compared to 8.47). It also kept the BIS error within a narrow, clinically acceptable range 93.9% of the time. Moreover, the policy was trained using only 50 simulated operations. Being able to learn a control strategy this quickly indicates that the reinforcement learner could also adapt regularly to a patient's changing responses throughout a live operation and facilitate the task of anesthesiologists by prompting them with recommended actions.","1948-3546;19483546","CD-ROM:978-1-4673-1968-3; Electronic:978-1-4673-1969-0; POD:978-1-4673-1967-6","10.1109/NER.2013.6696208","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6696208","","Algorithm design and analysis;Anesthesia;Brain modeling;Indexes;Learning (artificial intelligence);Monitoring;Surgery","bang-bang control;drug delivery systems;drugs;electroencephalography;learning (artificial intelligence);medical control systems;neurophysiology;surgery","BIS error;EEG;RMSE;anesthesiology;anesthetic agent dose reduction;bang-bang controller;bispectral index;continuous actor-critic learning automaton technique;continuous reinforcement learning algorithm;control fine tuning;depth of general anesthesia control;efficient personalized anesthesia control;generic effective control strategy learning;neurotechnology;physiological simulation;propofol infusion control;surgical procedure","","1","1","20","","","","6-8 Nov. 2013","","IEEE","IEEE Conferences"
"A learning multi-agent system for personalized information filtering","Junhua Chen; Zhonghua Yang","Sch. of Electr. & Electron. Eng., Nanyang Technol. Univ., Singapore, Singapore","Fourth International Conference on Information, Communications and Signal Processing, 2003 and the Fourth Pacific Rim Conference on Multimedia. Proceedings of the 2003 Joint","20040504","2003","3","","1864","1868 vol.3","A multi-agent hybrid learning approach to the problem of personalized information filtering is proposed in this paper. There are four agents in the multi-agent model. The problem is modeled as Monte Carlo reinforcement learning. Our proposed algorithm is modified Monte Carlo method combined with features of unsupervised suffix tree clustering and supervised backpropagation network. We argue that this proposed approach could precisely capture the user's interest without repeatedly asking for his/her explicit rates and converge to the user's interest quickly. A conclusion is drawn that our approach is efficient, precise and converges more quickly compared with existing approaches. A prototype system is being developed.","","POD:0-7803-8185-8","10.1109/ICICS.2003.1292790","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1292790","","Backpropagation algorithms;Clustering algorithms;Contacts;Information filtering;Information filters;Information retrieval;Monte Carlo methods;Multiagent systems;Search engines;Supervised learning","Internet;Monte Carlo methods;backpropagation;information filters;multi-agent systems","Monte Carlo reinforcement learning;backpropagation network;learning multiagent system;personalized information filtering;suffix tree clustering","","1","","9","","","","15-18 Dec. 2003","","IEEE","IEEE Conferences"
"A Novel Scheduling Algorithm for Video Traffic in High-Rate WPANs","S. Moradi; A. H. Mohsenian Rad; V. W. S. Wong","Univ. of British Columbia, Vancouver","IEEE GLOBECOM 2007 - IEEE Global Telecommunications Conference","20071226","2007","","","742","747","The emerging high-rate wireless personal area network (WPAN) technology is capable of supporting high-speed and high-quality real-time multimedia applications. In particular, MPEG-4 video streams are deemed to be a widespread traffic type. However, in the current IEEE 802.15.3 standard for media access control (MAC) of high-rate WPANs, the implementation details of some key issues such as scheduling and quality of service (QoS) provisioning have not been addressed. In this paper, we first propose a mathematical model for the optimal scheduling scheme for MPEG-4 flows in high-rate WPANs. We also propose an RL scheduler based on the reinforcement learning (RL) technique. Simulation results show that our proposed RL scheduler achieves nearly optimal performance and performs better than F-SRPT (Mangharam et al., 2004), EDD+SRPT (Torok et al., 2005), and PAP (Kim and Cho, 2005) scheduling algorithms in terms of a lower decoding failure rate.","1930-529X;1930529X","CD-ROM:978-1-4244-1043-9; POD:978-1-4244-1042-2","10.1109/GLOCOM.2007.144","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4411054","","Communication system traffic control;MPEG 4 Standard;Mathematical model;Media Access Protocol;Optimal scheduling;Quality of service;Scheduling algorithm;Streaming media;Traffic control;Wireless personal area networks","personal area networks;scheduling;telecommunication traffic;video coding;video streaming;wireless sensor networks","MPEG-4 video streams;RL scheduler;high-rate wireless personal area network;real-time multimedia;reinforcement learning;scheduling algorithm;video traffic","","3","","22","","","","26-30 Nov. 2007","","IEEE","IEEE Conferences"
"An Effective Approach to Continuous User Authentication for Touch Screen Smart Devices","A. B. Buduru; S. S. Yau","Inf. Assurance Center, Sch. of Comput., Inf., & Decision Syst. Eng., Arizona State Univ., Tempe, AZ, USA","2015 IEEE International Conference on Software Quality, Reliability and Security","20150924","2015","","","219","226","Due to the rapid increase in the use of personal smart devices, more sensitive data is stored and viewed on these smart devices. This trend makes it easier for attackers to access confidential data by physically compromising (including stealing) these smart devices. Currently, most personal smart devices employ one of the one-time user authentication schemes, such as four-to-six digits, fingerprint or pattern-based schemes. These authentication schemes are often not good enough for securing personal smart devices because the attackers can easily extract all the confidential data from the smart device by breaking such schemes, or by keeping the authenticated session open on a physically compromised smart device. In addition, existing re-authentication or continuous authentication techniques for protecting personal smart devices use centralized architecture and require servers at a centralized location to train and update the learning model used for continuous authentication, which impose additional communication overhead. In this paper, an approach is presented to generating and updating the authentication model on the user's smart device with user's gestures, instead of a centralized server. There are two major advantages in this approach. One is that this approach continuously learns and authenticates finger gestures of the user in the background without requiring the user to provide specific gesture inputs. The other major advantage is to have better authentication accuracy by treating uninterrupted user finger gestures over a short time interval as a single gesture for continuous user authentication.","","Electronic:978-1-4673-7989-2; POD:978-1-4673-7990-8","10.1109/QRS.2015.40","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7272936","Touch-screen smart devices;adaptive continuous user authentication;and user re-authentication;reinforcement learning","Accuracy;Authentication;Context;Fingers;Object recognition;Performance evaluation","authorisation;computer crime;gesture recognition;message authentication;smart phones;touch sensitive screens","attackers;authentication accuracy;authentication model;centralized server;confidential data access;continuous user authentication;finger gestures authentication;personal smart devices;sensitive data;touch screen smart devices;uninterrupted user finger gestures","","2","","19","","","","3-5 Aug. 2015","","IEEE","IEEE Conferences"
"Learning social relations for culture aware interaction","P. Patompak; S. Jeong; I. Nilkhamhang; N. Y. Chong","School of Information Science, Japan Advanced Institute of Science and Technology, 1-1 Asahidai, Nomi, Ishikawa 923-1292, Japan","2017 14th International Conference on Ubiquitous Robots and Ambient Intelligence (URAI)","20170727","2017","","","26","31","Each person has their private physical and/or psychological area where they do not want to share with others during social interactions. This area gives them comfort about interactions and its size usually depends on various factors such as culture, personal traits, and acquaintanceship. This issue may also arise in case of human-robot interaction, especially when the robot is required to generate a socially competent interaction strategy toward people they are interacting with. Here, we propose a new robot exploration strategy to socially interact with people by considering the social relationship between the robot and each person. To that end, two definitions of interaction area are made: (1) Acceptable area allowed to be shared with other people and robots, and (2) Private area where a human does not want to be interfered by others. Based on these definitions, the robot can optimize the path to maximize the frequency/degree of visiting the acceptable area of each person and to minimize the frequency/degree of trespassing into the private area of them at the same time in an iterative way. In this paper, the social force model (SFM) of each person, based on the potential field concept, is designed by a fuzzy inference system and its parameter is optimized by the reinforcement learning model during interactions. We have shown that the proposed model can generate a suitable SFM of each person, which was quite similar to a ground truth model, allowing to plan a path to simultaneously optimize the two factors of interaction area, respectively.","","Electronic:978-1-5090-3056-9; POD:978-1-5090-3057-6","10.1109/URAI.2017.7992879","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7992879","","Adaptation models;Force;Human-robot interaction;Iron;Mathematical model;Navigation;Robots","fuzzy reasoning;human-robot interaction;learning (artificial intelligence);social aspects of automation","SFM;culture aware interaction;fuzzy inference system;human-robot interaction;potential field concept;reinforcement learning model;robot exploration strategy;social force model;social interactions;social relations;socially competent interaction strategy","","","","","","","","June 28 2017-July 1 2017","","IEEE","IEEE Conferences"
"Joint radio resource management for LTE-UMTS coexistence scenarios","N. Vučević; J. Pérez-Romero; O. Sallent; R. Agustí","Dept. TSC, Universitat Polit&#232;cnica de Catalunya (UPC), c/ Jordi Girona 1-3, 08034, Barcelona, Spain","2009 IEEE 20th International Symposium on Personal, Indoor and Mobile Radio Communications","20100415","2009","","","12","16","Constantly increasing demand for throughput and quality in wireless communication systems leads to continuous research of wise radio resource management, because of the scarce availability of frequency bands and the consequent capacity limitations. In addition, technology evolution is addressed towards spectral efficient techniques that can offer higher data rates. This is the case of OFDMA (Orthogonal Frequency-Division Multiple Access), introduced by 3GPP as the technology for future Long Term Evolution (LTE). However, given the current penetration of legacy technologies such as UMTS (Universal Mobile Telecommunications System), operators will have to deal with the coexistence of multiple Radio Access Technologies (RATs), so that the exploitation of the complementarities between technologies through Joint Radio Resource Management (JRRM) mechanisms will be needed. In this paper we propose a novel dynamic JRRM algorithm for LTE-UMTS coexistence scenarios. The proposed mechanism is based on Reinforcement Learning (RL) which is considered to be a good candidate to achieve cognition in future reconfigurable networks. The proposed solution implements autonomous RL agents in each base station which decide on the allocation of the most suitable RAT to each user. We give a detailed description of the solution and analyze the behavior under various load conditions. We also demonstrate the capability of the algorithm to adjust in dynamic scenarios.","2166-9570;21669570","Electronic:978-1-4244-5123-4; POD:978-1-4244-5122-7","10.1109/PIMRC.2009.5450181","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5450181","LTE;WCDMA;joint radio resource management;reinforcement learning","3G mobile communication;Availability;Cognition;Heuristic algorithms;Learning;Long Term Evolution;Rats;Resource management;Throughput;Wireless communication","3G mobile communication;OFDM modulation;frequency division multiple access","3GPP;LTE-UMTS coexistence;OFDMA;joint radio resource management;multiple radio access technology;orthogonal frequency-division multiple access;reinforcement learning;spectral efficient technique;universal mobile telecommunications system;wireless communication system","","3","1","18","","","","13-16 Sept. 2009","","IEEE","IEEE Conferences"
"A Comparative Study of Parallel Reinforcement Learning Methods with a PC Cluster System","M. Kushida; K. Takahashi; H. Ueda; T. Miyahara","Hiroshima City University, Japan","2006 IEEE/WIC/ACM International Conference on Intelligent Agent Technology","20070108","2006","","","416","419","This paper presents a comparative study of three parallel implementation models for reinforcement learning. Two of them utilize Q-learning, and the other one utilizes fuzzy Q-learning for agent learning. In order to evaluate performance and validity of the three method, a PC (personal computer) cluster system consisting of 16 PCs connected via Gigabit ethernet has been built. For communications to deliver data among PCs, MPI (Message Passing Interface) is employed. Experimental results are compared with one another to show the performance and characteristics of the three methods.","","POD:0-7695-2748-5","10.1109/IAT.2006.3","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4052954","","Computer simulation;Ethernet networks;Learning systems;Master-slave;Message passing;Personal communication networks;Process control","fuzzy set theory;learning (artificial intelligence);message passing;parallel algorithms;workstation clusters","PC cluster system;agent learning;fuzzy Q-learning;gigabit Ethernet;message passing interface;parallel implementation model;parallel reinforcement learning","","2","","7","","","","18-22 Dec. 2006","","IEEE","IEEE Conferences"
"Comparing generic parameter controllers for EAs","G. Karafotias; M. Hoogendoorn; B. Weel","Computational Intelligence Group, VU University Amsterdam, The Netherlands","2014 IEEE Symposium on Foundations of Computational Intelligence (FOCI)","20150115","2014","","","46","53","Parameter controllers for Evolutionary Algorithms (EAs) deal with adjusting parameter values during an evolutionary run. Many ad hoc approaches have been presented for parameter control, but few generic parameter controllers exist and, additionally, no comparisons or in depth analyses of these generic controllers are available in literature. This paper presents an extensive comparison of such generic parameter control methods, including a number of novel controllers based on reinforcement learning which are introduced here. We conducted experiments with different EAs and test problems in an one-off setting, i.e. relatively long runs with controllers used out-of-the-box with no tailoring to the problem at hand. Results reveal several interesting insights regarding the effectiveness of parameter control, the niche applications/EAs, the effect of continuous treatment of parameters and the influence of noise and randomness on control.","","Electronic:978-1-4799-4491-0; POD:978-1-4799-4490-3","10.1109/FOCI.2014.7007806","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7007806","","Aerospace electronics;Computational intelligence;Estimation;Interpolation;Learning (artificial intelligence);Phase change random access memory;Silicon","control engineering computing;evolutionary computation;learning (artificial intelligence)","ad hoc approaches;depth analyses;evolutionary algorithms;generic parameter control methods;niche applications;reinforcement learning","","0","","24","","","","9-12 Dec. 2014","","IEEE","IEEE Conferences"
"Latent state models of primary user behavior for opportunistic spectrum access","J. Pajarinen; J. Peltonen; M. A. Uusitalo; A. Hottinen","Department of Information and Computer Science, Helsinki University of Technology, P.O. Box 5400, FI-02015 TKK, Finland","2009 IEEE 20th International Symposium on Personal, Indoor and Mobile Radio Communications","20100415","2009","","","1267","1271","Opportunistic spectrum access, where cognitive radio devices detect available unused radio channels and exploit them for communication, avoiding collisions with existing users of the channels, is a central topic of research for future wireless communication. When each device has limited resources to sense which channels are available, the task becomes a reinforcement learning problem that has been studied with partially observable Markov decision processes (POMDPs). However, current POMDP solutions are based on simplistic representations where channels are simply on/off (transmitting or idle). We show that more complicated Markov models where on/off states are part of complicated behavior of the channel owner (primary user) yield better POMDPs achieving more successful transmissions and less collisions.","2166-9570;21669570","Electronic:978-1-4244-5123-4; POD:978-1-4244-5122-7","10.1109/PIMRC.2009.5450037","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5450037","","Chromium;Cognitive radio;Computer science;Interference;Internet telephony;Learning;Road accidents;Telecommunication traffic;Wireless communication;Wireless sensor networks","Markov processes;cognitive radio;learning (artificial intelligence);wireless channels","cognitive radio devices;latent state models;opportunistic spectrum access;partially observable Markov decision processes;primary user behavior;radio channels;reinforcement learning;wireless communication","","3","4","16","","","","13-16 Sept. 2009","","IEEE","IEEE Conferences"
"Spectrum markets for service provider spectrum trading with reinforcement learning","N. Abji; A. Leon-Garcia","University of Toronto, Canada","2011 IEEE 22nd International Symposium on Personal, Indoor and Mobile Radio Communications","20120126","2011","","","650","655","We present an auction-based spectrum market approach to service provider spectrum trading. Service providers buy and sell spectrum amongst one another in a spectrum market and simultaneously compete for customers from a common pool. Multi-agent reinforcement learning solutions are applied in both customer nodes and service providers to dynamically manage participation in the market. We outline four possible regulatory scenarios with varying degrees of flexibility and competition. Simulations demonstrate that the allocation of spectrum is efficient and fair. Customers and service providers of varying size are shown to benefit from this approach while the system spectrum efficiency is also significantly improved.","2166-9570;21669570","Electronic:978-1-4577-1348-4; POD:978-1-4577-1346-0; USB:978-1-4577-1347-7","10.1109/PIMRC.2011.6140043","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6140043","","Base stations;FCC;Learning;Radio spectrum management;Real time systems;Resource management;Wireless communication","cognitive radio;multi-agent systems;telecommunication services","customer providers;multiagent reinforcement learning solutions;reinforcement learning;service provider spectrum trading","","2","","11","","","","11-14 Sept. 2011","","IEEE","IEEE Conferences"
"Planning and learning algorithms for routing in Disruption-Tolerant Networks","M. O. Stehr; C. Talcott","SRI International, Computer Science Laboratory, Menlo Park, California 94025, USA","MILCOM 2008 - 2008 IEEE Military Communications Conference","20090119","2008","","","1","8","We give an overview of algorithms that we have been developing in the DARPA disruption-tolerant networking program, which aims at improving communication in networks with intermittent and episodic connectivity. Thanks to the use of network caching, this can be accomplished without the need for a simultaneous end-to-end path that is required by traditional Internet and mobile ad-hoc network (MANET) protocols. We employ a disciplined two-level approach that clearly distinguishes the dissemination of application content from the dissemination of network-related knowledge, each of which can be supported by different algorithms. Specifically, we present probabilisitc reflection, a single-message protocol enabling the dissemination of knowledge in strongly disrupted networks. For content dissemination, we present two approaches, namely a symbolic planning algorithm that exploits partially predictable temporal behavior, and a distributed and disruption-tolerant reinforcement learning algorithm that takes into account feedback about past performance.","2155-7578;21557578","POD:978-1-4244-2676-8","10.1109/MILCOM.2008.4753336","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4753336","","Ad hoc networks;Costs;Disruption tolerant networking;IP networks;Mobile ad hoc networks;Personal digital assistants;Protocols;Routing;Satellites;Unmanned aerial vehicles","learning (artificial intelligence);protocols;telecommunication computing;telecommunication network planning;telecommunication network routing","DARPA;disruption-tolerant networks;probabilisitc reflection;reinforcement learning algorithm;routing;single-message protocol;symbolic planning algorithm","","10","","21","","","","16-19 Nov. 2008","","IEEE","IEEE Conferences"
"Personalized automatic image annotation based on reinforcement learning","Yabo Ni; Miao Zheng; Jiajun Bu; Chun Chen; Dazhou Wang","Zhejiang Provincial Key Laboratory of Service Robot, College of Computer Science, Zhejiang University, Hangzhou 310027, China","2013 IEEE International Conference on Multimedia and Expo (ICME)","20130926","2013","","","1","6","With the rapidly increasing number of personal image collections on the web, it is of great importance to annotate these user-uploaded images in personalized manner. But personalized image annotation is largely ignored by the mainstream of image annotation research. In this paper, we focus on personalizing the automatic image annotation by proposing a general framework which jointly exploits the generic content-based image annotation, personal image tagging history and the content of personal history images. In our framework, two sets of candidate annotations are extracted for each image based on content-based annotation and personal image tagging history. Considering that the user's interest may not stay the same, when exploiting the personal image tagging history, we also take the content of personal history images into account to avoid the noise. To get the final annotations, we propose an unsupervised algorithm based on reinforcement learning to combine the above two candidate annotation sets. Encouraging results show that the proposed framework is effective and promising for personalizing automatic image annotation.","1945-7871;19457871","Electronic:978-1-4799-0015-2; POD:978-1-4799-0014-5; USB:978-1-4799-0013-8","10.1109/ICME.2013.6607456","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6607456","Automatic image annotation;Personal image tagging history;Personalization;Reinforcement learning","History;Learning (artificial intelligence);Noise;Semantics;Tagging;Unsupervised learning;Vocabulary","Internet;image classification;image retrieval;learning (artificial intelligence)","Web;generic content-based image annotation;personal image collections;personal image tagging history;personalized automatic image annotation;reinforcement learning;user-uploaded images","","0","","14","","","","15-19 July 2013","","IEEE","IEEE Conferences"
"Context-aware reinforcement learning-based mobile cloud computing for telemonitoring","X. Wang; W. Wang; Z. Jin","Department of Electrical and Computer Engineering, Binghamton University, State University of New York, Binghamton, NY, 13902 USA","2018 IEEE EMBS International Conference on Biomedical & Health Informatics (BHI)","20180409","2018","","","426","429","Mobile cloud computing (MCC) has been extensively studied to provide pervasive healthcare services in a more affordable manner. Through offloading computation-intensive tasks from mobile to cloud, a significant portion of energy can be saved to extend the mobile battery life, which is critical to maintaining continuous and uninterrupted healthcare services. However, given the ever-changing clinical severity, personal demands, and environmental conditions, it is essential to explore context-aware approach capable of dynamically determining the optimal task offloading strategies and algorithmic settings, with the goal of achieving a balanced trade-off among energy efficiency, diagnostic accuracy, and processing latency. To this aim, we propose a model-free reinforcement learning based task scheduling approach to adapt to the changing requirements.","","Electronic:978-1-5386-2405-0; POD:978-1-5386-2406-7","10.1109/BHI.2018.8333459","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8333459","","Batteries;Cloud computing;Electrocardiography;Hidden Markov models;Medical services;Monitoring;Task analysis","cloud computing;health care;learning (artificial intelligence);mobile computing;scheduling","affordable manner;context-aware approach capable;context-aware reinforcement learning;continuous healthcare services;mobile battery life;mobile cloud;model-free reinforcement learning;offloading computation-intensive tasks;optimal task offloading strategies;pervasive healthcare services;task scheduling approach;uninterrupted healthcare services","","","","","","","","4-7 March 2018","","IEEE","IEEE Conferences"
"Automatically Learning User Preferences for Personalized Service Composition","Y. Zhao; S. Wang; Y. Zou; J. Ng; T. Ng","Queen's Univ., Kingston, ON, Canada","2017 IEEE International Conference on Web Services (ICWS)","20170911","2017","","","776","783","With the rapid growth of the web services technologies, users often leverage various web services to perform their daily activities, such as on-line shopping. Due to the massive amount of web services available, a user faces numerous choices to meet their personal preferences when selecting the desired services from the web services with the similar functionality. Therefore, it becomes tedious and cumbersome tasks for users to discover and compose services. To reduce user's cognitive burden, it is critical to support automated service composition and make efficient recommendation of personalized services to achieve user's overall goals. However, existing approaches only offer users with limited options designed for the interest of a group of users without considering individual users' interests. To allow users to compose personalized services without much manual specification, we propose a machine learning approach that applies a learning-to-rank algorithm, RankBoost, to automatically learn user preferences and the prioritization of the preferences from users' historical data. Moreover, our approach uses the multi-objective reinforcement learning (MORL) algorithm to make trade-offs among user preferences and recommends a collection of services to achieve the highest objective. We conduct an empirical study to evaluate our approach by collecting the historical data from 12 subjects. The results demonstrate that our approach outperforms the two well-established baseline approaches by 100%-200% in terms of precision on recommending services.","","Electronic:978-1-5386-0752-7; POD:978-1-5386-0753-4","10.1109/ICWS.2017.93","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8029835","","Data mining;Feature extraction;History;Learning (artificial intelligence);Machine learning algorithms;Time-frequency analysis;Web services","Internet;Web services;learning (artificial intelligence);recommender systems;retail data processing","MORL algorithm;RankBoost;Web service technologies;automated service composition;automatic user preference learning;learning-to-rank algorithm;machine learning approach;multiobjective reinforcement learning algorithm;online shopping;personalized service composition;service recommendation","","","","","","","","25-30 June 2017","","IEEE","IEEE Conferences"
"Hello! Mr. Sage","O. E. Lancaster","","IEEE Transactions on Education","20071112","1976","19","2","54","58","Mr. Sage, an ideal Professor, can motivate, evoke involvement, and supply rewards and reinforcement, for each individual student all within the same class period. Although his minimum standards require mastery of concepts at all levels of learning, from simple memory to creativity, he does not expect the same performance of all students. His grades are directly related to the breadth of subject matter and depth of mastery. He personalizes his instruction within the classroom and in homework assignments by a range in the difficulty of illustration, thereby challenging each student to his capacity. He uses tests and examinations as learning experiences. To achieve this he combines the excellent feature of the conventional system and the current views on personalized system of instruction.","0018-9359;00189359","","10.1109/TE.1976.4321037","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4321037","","Engineering education;Eyes;History;Testing;Vehicle dynamics;Vehicles","","","","0","","15","","","","May 1976","","IEEE","IEEE Journals & Magazines"
"Introduce the ""Flipped Classroom"" into the Basic Medical Experimental Teaching by the Medical Virtual Simulation Platform","G. Zhenying; B. Huiling; W. Guoying","Sch. of Med., Henan Univ., Kaifeng, China","2015 7th International Conference on Information Technology in Medicine and Education (ITME)","20160310","2015","","","484","487","Based on drawing ""flipped classroom"" experience of practitioners domestic and foreign, together with the full use of modern information tools and the reinforcement of the construction of discipline support system, we build the medical virtual simulation platform. On this basis, we perform reasonable instructional design and good application of ""flipped classroom"" in medical experimental teaching. These efforts adapt the learning requirements of students at different levels, and can enhance students' self-learning ability. These efforts can also train students' creative and independent thinking ability, achieve personalized learning, and improve the quality of medical students' experimental teaching. Construction of medical virtual simulation platform in the school of medicine not only provides a new method for basic medical experimental teaching to enable introduction of ""flipped classroom"" into basic medical experimental teaching, but also promotes implementation of information education and improves the teaching quality of professional disciplines.","","CD-ROM:978-1-4673-8301-1; Electronic:978-1-4673-8302-8; POD:978-1-4673-8303-5","10.1109/ITME.2015.172","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7429195","""flipped classroom"";basic medicine;experimental teaching","Adaptation models;Computational modeling;Computers;Education;Online services;Solid modeling;Videos","computer aided instruction;educational institutions;human factors;learning (artificial intelligence);medical computing;teaching","""Flipped Classroom"";information education;medical experimental teaching;medical virtual simulation platform;modern information tool","","","","9","","","","13-15 Nov. 2015","","IEEE","IEEE Conferences"
"Work in progress — Tools and technology to implement a students personal laboratory","M. Walters","Academic Product Manager, National Instruments","2011 Frontiers in Education Conference (FIE)","20120202","2011","","","F1G-1","F1G-2","Today's students want to solve problems and experience engineering regardless of where they are - in lecture, in the laboratory, or the dorm room. Professors want to provide a hands-on learning experience to empower students who want to tinker, experiment, and explore concepts while improving the comprehension through reinforcement. Student access to affordable, low-cost technology enables educators to address limitations in the laboratory, including access to equipment, time on task, and cost. With a portable laboratory, a student can learn concepts in their preferred environments and provides a supplement to the traditional lecture and laboratory based courses.","0190-5848;01905848","Electronic:978-1-61284-469-5; POD:978-1-61284-468-8; USB:978-1-61284-467-1","10.1109/FIE.2011.6143112","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6143112","hands-on;myDAQ;student-laboratory;student-ownership","Data acquisition;Educational institutions;Hardware;Instruments;Laboratories;Nickel;Signal generators","data acquisition;educational technology;engineering education;laboratory techniques;portable instruments;virtual instrumentation","equipment access;hands-on learning experience;low-cost educational technology;myDAQ;portable laboratory;students personal laboratory;work in progress","","1","","3","","","","12-15 Oct. 2011","","IEEE","IEEE Conferences"
"Implications of decentralized Q-learning resource allocation in wireless networks","F. Wilhelmi; B. Bellalta; C. Cano; A. Jonsson","Wireless Networking (WN-UPF), Universitat Pompeu Fabra, Barcelona, Spain","2017 IEEE 28th Annual International Symposium on Personal, Indoor, and Mobile Radio Communications (PIMRC)","20180215","2017","","","1","5","Reinforcement Learning is gaining attention by the wireless networking community due to its potential to learn good-performing configurations only from the observed results. In this work we propose a stateless variation of Q-learning, which we apply to exploit spatial reuse in a wireless network. In particular, we allow networks to modify both their transmission power and the channel used solely based on the experienced throughput. We concentrate in a completely decentralized scenario in which no information about neighbouring nodes is available to the learners. Our results show that although the algorithm is able to find the best-performing actions to enhance aggregate throughput, there is high variability in the throughput experienced by the individual networks. We identify the cause of this variability as the adversarial setting of our setup, in which the most played actions provide intermittent good/poor performance depending on the neighbouring decisions. We also evaluate the effect of the intrinsic learning parameters of the algorithm on this variability.","","Electronic:978-1-5386-3531-5; POD:978-1-5386-3532-2; Paper:978-1-5386-3529-2; USB:978-1-5386-3530-8","10.1109/PIMRC.2017.8292321","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8292321","","Aggregates;Interference;Meters;Resource management;Signal to noise ratio;Throughput;Wireless networks","learning (artificial intelligence);radio networks;resource allocation","Reinforcement Learning;decentralized Q-learning resource allocation;wireless network;wireless networking community","","","","","","","","8-13 Oct. 2017","","IEEE","IEEE Conferences"
