Title,Abstract,Keywords,Domain,Domain other,Database,How many learners are used?,Where are traits of individuals included?,Is training performed online or in batch?,Is training performed on a simulator?,Is training performed on static real life data?,"Is training performed live, in a real-life setting?",Is an evaluation performed on a simulator?,Is an evaluation performed on static real life data?,Is a live evaluation performed in a real life setting?,Is a comparison with 'no personalization' performed?,Is there a comparison between RL/CB and other personalization techniques?,Is suitability of actions explicitly defined by users?,Is suitability of actions implicitly derived from observations on user behavior?,Is safety mentioned as a concern in the application?,Are models of user responses to system behavior available?,Are data on human responses to system behavior available?,Can new interactions with users be sampled with ease?,Is privacy mentioned as a concern in the application?,Can all information to base personalization on be measured directly?,algorithms,Source Title,Authors,Authors with affiliations,Citation Count,DOI,Type,Year,Bibtex_key,Bibtex
A multimodal adaptive session manager for physical rehabilitation exercising,"Physical exercising is an essential part of any rehabilitation plan. The subject must be committed to a daily exercising routine, as well as to a frequent contact with the therapist. Rehabilitation plans can be quite expensive and time-consuming. On the other hand, tele-rehabilitation systems can be really helpful and efficient for both subjects and therapists. In this paper, we present ReAdapt, an adaptive module for a tele-rehabilitation system that takes into consideration the progress and performance of the exercising utilizing multisensing data and adjusts the session difficulty resulting to a personalized session. Multimodal data such as speech, facial expressions and body motion are being collected during the exercising and feed the system to decide on the exercise and session difficulty. We formulate the problem as a Markov Decision Process and apply a Reinforcement Learning algorithm to train and evaluate the system on simulated data. © 2015 ACM.",Markov Decision Process; Multimodal adaptive systems; Personalized rehabilitation systems; Reinforcement Learning,Health,,SCOPUS,1,state representation,online,y,n,n,y,n,n,n,n,y,y,y,y,n,y,n,y,DYNA-Q,"8th ACM International Conference on PErvasive Technologies Related to Assistive Environments, PETRA 2015 - Proceedings","Tsiakas K., Huber M., Makedon F.","Tsiakas, K., HERACLEIA Lab, Computer Science and Engineering Department, University of Texas, Arlington, United States; Huber, M., Computer Science and Engineering Department, University of Texas, Arlington, United States; Makedon, F., HERACLEIA Lab, Computer Science and Engineering Department, University of Texas, Arlington, United States",6.0,10.1145/2769493.2769507,Conference Paper,2015-01-01,Tsiakas_2015," @article{Tsiakas_2015, title={A multimodal adaptive session manager for physical rehabilitation exercising}, ISBN={9781450334525}, url={http://dx.doi.org/10.1145/2769493.2769507}, DOI={10.1145/2769493.2769507}, journal={Proceedings of the 8th ACM International Conference on PErvasive Technologies Related to Assistive Environments - PETRA  ’15}, publisher={ACM Press}, author={Tsiakas, Konstantinos and Huber, Manfred and Makedon, Fillia}, year={2015}}
"
An Actor-Critic based controller for glucose regulation in type 1 diabetes,"A novel adaptive approach for glucose control in individuals with type 1 diabetes under sensor-augmented pump therapy is proposed. The controller, is based on Actor-Critic (AC) learning and is inspired by the principles of reinforcement learning and optimal control theory. The main characteristics of the proposed controller are (i) simultaneous adjustment of both the insulin basal rate and the bolus dose, (ii) initialization based on clinical procedures, and (iii) real-time personalization. The effectiveness of the proposed algorithm in terms of glycemic control has been investigated in silico in adults, adolescents and children under open-loop and closed-loop approaches, using announced meals with uncertainties in the order of ±25% in the estimation of carbohydrates.The results show that glucose regulation is efficient in all three groups of patients, even with uncertainties in the level of carbohydrates in the meal. The percentages in the A. +. B zones of the Control Variability Grid Analysis (CVGA) were 100% for adults, and 93% for both adolescents and children.The AC based controller seems to be a promising approach for the automatic adjustment of insulin infusion in order to improve glycemic control. After optimization of the algorithm, the controller will be tested in a clinical trial. © 2012 Elsevier Ireland Ltd.",Actor-Critic; Closed-loop control; Glucose control; Reinforcement learning,Health,,y,1/group,not used,unknown,y,n,n,y,n,n,n,n,n,y,n,n,n,y,n,y,Actor-Critic,Computer Methods and Programs in Biomedicine,"Daskalaki E., Diem P., Mougiakakou S.G.","Daskalaki, E., ARTORG Center for Biomedical Engineering Research, Diabetes Technology Research Group, University of Bern, Murtenstrasse 50, 3010 Bern, Switzerland; Diem, P., Division of Endocrinology, Diabetes and Clinical Nutrition, University Hospital, Inselspital, University of Bern, 3010 Bern, Switzerland; Mougiakakou, S.G., ARTORG Center for Biomedical Engineering Research, Diabetes Technology Research Group, University of Bern, Murtenstrasse 50, 3010 Bern, Switzerland",6.0,10.1016/j.cmpb.2012.03.002,Article,2013-01-01,Daskalaki_2013_0," @article{Daskalaki_2013_0, title={An Actor–Critic based controller for glucose regulation in type 1 diabetes}, volume={109}, ISSN={0169-2607}, url={http://dx.doi.org/10.1016/j.cmpb.2012.03.002}, DOI={10.1016/j.cmpb.2012.03.002}, number={2}, journal={Computer Methods and Programs in Biomedicine}, publisher={Elsevier BV}, author={Daskalaki, Elena and Diem, Peter and Mougiakakou, Stavroula G.}, year={2013}, month={Feb}, pages={116–125}}
"
A personalized QoE-aware handover decision based on distributed reinforcement learning,"Recent developments in heterogeneous mobile networks and growing demands for variety of real-time and multimedia applications have emphasized the necessity of more intelligent handover decisions. Addressing the context knowledge of mobile devices, users, applications, and networks is the subject of context-aware handoff decision as a recent effort to this aim. However, user perception has not been attended adequately in the area of context-aware handover decision making. Mobile users may have different judgments about the Quality of Service (QoS) depending on their environmental conditions, and personal and psychological characteristics. This reality has been exploited in this paper to introduce a personalized user-centric handoff decision method to decide about the time and target of handover based on User Perceived Quality (UPQ) feedbacks. The UPQ degradations are mainly for the sake of (1) exiting the coverage of the serving Point of Attachment (PoA) or (2) QoS degradation of serving access network. Using UPQ metric, the proposed method obviates the necessity of being aware about rapidly varying network QoS parameters and overcomes the complexity and overhead of gathering and managing some other context information. Moreover, considering the underlying network and geographical map, the proposed method is able to inherently exploit the trajectory information of mobile users for handover decision. UPQ degradation is not only due to the user behaviour, but also due to the behaviours of others users. As such, multi-agent reinforcement learning paradigm has been considered for target PoA selection. The employed decision algorithm is based on WoLF-PHC learning method where UPQ is used as a delayed reward for training. The proposed handoff decision has been implemented under IEEE 802.21 framework using NS2 network simulator. The results have shown better performance of the proposed method comparing to conventional methods assuming regular movement of mobile users. © 2013 Springer Science+Business Media New York.",Context-aware handover; Distributed reinforcement learning; QoE-aware handover; User perceived quality,Entertainment,,SCOPUS,1,not used,online,y,n,n,y,n,n,y,n,n,y,n,n,n,n,n,y,"Q-Learning,Multi-agent Reinforcement Learning",Wireless Networks,"Ghahfarokhi B.S., Movahhedinia N.","Ghahfarokhi, B.S., Department of Information Technology Engineering, University of Isfahan, Isfahan, Iran; Movahhedinia, N., Department of Computer Engineering, University of Isfahan, Isfahan, Iran",5.0,10.1007/s11276-013-0572-2,Article,2013-01-01,Ghahfarokhi_2013," @article{Ghahfarokhi_2013, title={A personalized QoE-aware handover decision based on distributed reinforcement learning}, volume={19}, ISSN={1572-8196}, url={http://dx.doi.org/10.1007/s11276-013-0572-2}, DOI={10.1007/s11276-013-0572-2}, number={8}, journal={Wireless Networks}, publisher={Springer Nature}, author={Ghahfarokhi, Behrouz Shahgholi and Movahhedinia, Naser}, year={2013}, month={Mar}, pages={1807–1828}}
"
A self-taught artificial agent for multi-physics computational model personalization,"Personalization is the process of fitting a model to patient data, a critical step towards application of multi-physics computational models in clinical practice. Designing robust personalization algorithms is often a tedious, time-consuming, model- and data-specific process. We propose to use artificial intelligence concepts to learn this task, inspired by how human experts manually perform it. The problem is reformulated in terms of reinforcement learning. In an off-line phase, Vito, our self-taught artificial agent, learns a representative decision process model through exploration of the computational model: it learns how the model behaves under change of parameters. The agent then automatically learns an optimal strategy for on-line personalization. The algorithm is model-independent; applying it to a new model requires only adjusting few hyper-parameters of the agent and defining the observations to match. The full knowledge of the model itself is not required. Vito was tested in a synthetic scenario, showing that it could learn how to optimize cost functions generically. Then Vito was applied to the inverse problem of cardiac electrophysiology and the personalization of a whole-body circulation model. The obtained results suggested that Vito could achieve equivalent, if not better goodness of fit than standard methods, while being more robust (up to 11% higher success rates) and with faster (up to seven times) convergence rate. Our artificial intelligence approach could thus make personalization algorithms generalizable and self-adaptable to any patient and any model. © 2016",Artificial intelligence; Computational modeling; Model personalization; Reinforcement learning,Health,,SCOPUS,1,state representation,batch,n,y,n,n,y,n,n,y,n,y,n,y,n,n,n,y,model based RL,Medical Image Analysis,"Neumann D., Mansi T., Itu L., Georgescu B., Kayvanpour E., Sedaghat-Hamedani F., Amr A., Haas J., Katus H., Meder B., Steidl S., Hornegger J., Comaniciu D.","Neumann, D., Medical Imaging Technologies, Siemens Healthcare GmbH, Erlangen, Germany, Pattern Recognition Lab, FAU Erlangen-Nürnberg, Erlangen, Germany; Mansi, T., Medical Imaging Technologies, Siemens Healthcare, Princeton, United States; Itu, L., Siemens Corporate Technology, Siemens SRL, Brasov, Romania, Transilvania University of Brasov, Brasov, Romania; Georgescu, B., Medical Imaging Technologies, Siemens Healthcare, Princeton, United States; Kayvanpour, E., Department of Internal Medicine III, University Hospital Heidelberg, Germany; Sedaghat-Hamedani, F., Department of Internal Medicine III, University Hospital Heidelberg, Germany; Amr, A., Department of Internal Medicine III, University Hospital Heidelberg, Germany; Haas, J., Department of Internal Medicine III, University Hospital Heidelberg, Germany; Katus, H., Department of Internal Medicine III, University Hospital Heidelberg, Germany; Meder, B., Department of Internal Medicine III, University Hospital Heidelberg, Germany; Steidl, S., Pattern Recognition Lab, FAU Erlangen-Nürnberg, Erlangen, Germany; Hornegger, J., Pattern Recognition Lab, FAU Erlangen-Nürnberg, Erlangen, Germany; Comaniciu, D., Medical Imaging Technologies, Siemens Healthcare, Princeton, United States",5.0,10.1016/j.media.2016.04.003,Article,2016-01-01,Neumann_2016," @article{Neumann_2016, title={A self-taught artificial agent for multi-physics computational model personalization}, volume={34}, ISSN={1361-8415}, url={http://dx.doi.org/10.1016/j.media.2016.04.003}, DOI={10.1016/j.media.2016.04.003}, journal={Medical Image Analysis}, publisher={Elsevier BV}, author={Neumann, Dominik and Mansi, Tommaso and Itu, Lucian and Georgescu, Bogdan and Kayvanpour, Elham and Sedaghat-Hamedani, Farbod and Amr, Ali and Haas, Jan and Katus, Hugo and Meder, Benjamin and et al.}, year={2016}, month={Dec}, pages={52–64}}
"
Knowledge transfer between speakers for personalised dialogue management,"Model-free reinforcement learning has been shown to be a promising data driven approach for automatic dialogue policy optimization, but a relatively large amount of dialogue interactions is needed before the system reaches reasonable performance. Recently, Gaussian process based reinforcement learning methods have been shown to reduce the number of dialogues needed to reach optimal performance, and pre-training the policy with data gathered from different dialogue systems has further reduced this amount. Following this idea, a dialogue system designed for a single speaker can be initialised with data from other speakers, but if the dynamics of the speakers are very different the model will have a poor performance. When data gathered from different speakers is available, selecting the data from the most similar ones might improve the performance. We propose a method which automatically selects the data to transfer by defining a similarity measure between speakers, and uses this measure to weight the influence of the data from each speaker in the policy model. The methods are tested by simulating users with different severities of dysarthria interacting with a voice enabled environmental control system.. © 2015 Association for Computational Linguistics.",,Domain Independent,,SCOPUS,1/person,other,online,y,n,n,y,n,n,n,n,n,y,n,n,y,y,n,n,GP-RL,"SIGDIAL 2015 - 16th Annual Meeting of the Special Interest Group on Discourse and Dialogue, Proceedings of the Conference","Casanueva I., Hain T., Christensen H., Marxer R., Green P.","Casanueva, I., Department of Computer Science, University of Sheffield, United Kingdom; Hain, T., Department of Computer Science, University of Sheffield, United Kingdom; Christensen, H., Department of Computer Science, University of Sheffield, United Kingdom; Marxer, R., Department of Computer Science, University of Sheffield, United Kingdom; Green, P., Department of Computer Science, University of Sheffield, United Kingdom",5.0,,Conference Paper,2015-01-01,casanueva2015knowledge,"@inproceedings{casanueva2015knowledge,
  title={Knowledge transfer between speakers for personalised dialogue management},
  author={Casanueva, Inigo and Hain, Thomas and Christensen, Heidi and Marxer, Ricard and Green, Phil},
  booktitle={Proceedings of the 16th Annual Meeting of the Special Interest Group on Discourse and Dialogue},
  pages={12--21},
  year={2015}
}
"
Personalized intelligent tutoring system using reinforcement learning,"In this paper, we present a Personalized Intelligent Tutoring System that uses Reinforcement Learning techniques to implicitly learn teaching rules and provide instructions to students based on their needs. The system works on coarsely labeled data with minimum expert knowledge to ease extension to newer domains. Copyright © 2011, Association for the Advancement of Artificial Intelligence. All rights reserved.",,Education,,y,1,not used,batch,n,y,n,n,y,n,n,n,n,y,n,n,n,n,n,n,Actor-Critic,"Proceedings of the 24th International Florida Artificial Intelligence Research Society, FLAIRS - 24","Malpani A., Ravindran B., Murthy H.","Malpani, A., Microsoft Corporation, India; Ravindran, B., Department of Computer Science and Engineering, IIT Madras, India; Murthy, H., Department of Computer Science and Engineering, IIT Madras, India",5.0,,Conference Paper,2011-01-01,Malpani2011PersonalizedIT,"@inproceedings{Malpani2011PersonalizedIT,
  title={Personalized Intelligent Tutoring System Using Reinforcement Learning},
  author={Ankit Malpani and Balaraman Ravindran and Hema Murthy},
  booktitle={FLAIRS Conference},
  year={2011}
}"
Reinforcement learning utilizes proxemics: An avatar learns to manipulate the position of people in immersive virtual reality,"A reinforcement learning (RL) method was used to train a virtual character to move participants to a specified location. The virtual environment depicted an alleyway displayed through a wide field-of-view head-tracked stereo head-mounted display. Based on proxemics theory, we predicted that when the character approached within a personal or intimate distance to the participants, they would be inclined to move backwards out of the way. We carried out a between-groups experiment with 30 female participants, with 10 assigned arbitrarily to each of the following three groups: In the Intimate condition the character could approach within 0.38m and in the Social condition no nearer than 1.2m. In the Random condition the actions of the virtual character were chosen randomly from among the same set as in the RL method, and the virtual character could approach within 0.38m. The experiment continued in each case until the participant either reached the target or 7 minutes had elapsed. The distributions of the times taken to reach the target showed significant differences between the three groups, with 9 out of 10 in the Intimate condition reaching the target significantly faster than the 6 out of 10 who reached the target in the Social condition. Only 1 out of 10 in the Random condition reached the target. The experiment is an example of applied presence theory: we rely on the many findings that people tend to respond realistically in immersive virtual environments, and use this to get people to achieve a task of which they had been unaware. This method opens up the door for many such applications where the virtual environment adapts to the responses of the human participants with the aim of achieving particular goals. © 2012 ACM 1544-3558/2012/03- ART3 ©10.00.",Experimentation; Human Factors,Education,,SCOPUS,1,not used,online,n,n,y,n,n,y,n,y,n,y,n,n,n,n,n,y,Q-Learning,ACM Transactions on Applied Perception,"Kastanis I., Slater M.","Kastanis, I., Facultat de Psicologia, Campus de Mundet - Edifici Teatre, Universitat de Barcelona, Passeig de la Vall d'Hebron 171, 08035 Barcelona, Spain; Slater, M., University College London, United Kingdom, Facultat de Psicologia, Campus de Mundet - Edifici Teatre, ICREA-Universitat de Barcelona, Passeig de la Vall d'Hebron 171, 08035 Barcelona, Spain",5.0,10.1145/2134203.2134206,Article,2012-01-01,Kastanis_2012," @article{Kastanis_2012, title={Reinforcement learning utilizes proxemics}, volume={9}, ISSN={1544-3558}, url={http://dx.doi.org/10.1145/2134203.2134206}, DOI={10.1145/2134203.2134206}, number={1}, journal={ACM Transactions on Applied Perception}, publisher={Association for Computing Machinery (ACM)}, author={Kastanis, Iason and Slater, Mel}, year={2012}, month={Mar}, pages={1–15}}
"
Video summarization using reinforcement learning in eigenspace,"We propose video summarization using reinforcement learning. The importance score of each frame in a video is calculated from the user's actions in handling similar previous frames; if such frames were watched rather than skipped, a high score is assigned. To calculate the score, instead of using raw feature vectors extracted from images, we use feature vectors projected on eigenspace: as a result, we can deal with the features comprehensively. We also give an algorithm that uses the reinforcement learning method to create a personalized video summary. The summarization algorithm is applied to a soccer video to confirm its effectiveness.",,Entertainment,Videos,,1/person,not used,online,n,y,n,n,y,n,n,n,n,y,n,n,n,y,n,y,"RL, not further specified",Proceedings 2000 International Conference on Image Processing (Cat. No.00CH37101),K. Masumitsu; T. Echigo,,4.0,10.1109/ICIP.2000.899351,IEEE Conferences,2000-01-01,Masumitsu_2000," @article{Masumitsu_2000, title={Video summarization using reinforcement learning in eigenspace}, url={http://dx.doi.org/10.1109/ICIP.2000.899351}, DOI={10.1109/icip.2000.899351}, journal={Proceedings 2000 International Conference on Image Processing (Cat. No.00CH37101)}, publisher={IEEE}, author={Masumitsu, K. and Echigo, T.}, year={2000}}
"
Patient tailored virtual rehabilitation,"Virtual rehabilitation should be adaptable to the patient need and progress. To do so, patient in-game performace and ability are monitored to maintain an adequate level of challenge. A novel adaptation strategy is proposed by which patient control and speed are dynamically interrogated to adjust the game difficulty. The strategy is based on a Markov decision process seeding a therapist-guided reinforcement learning algorithm. The optimal learning scheme for the algorithm is established (α = 0.5). Convergence to an optimal therapeutic plan is demonstrated for patients with non-deterministic behaviour. The proposed adaptation algorithm can enhance existing virtual reality-based motor rehabilitation platforms by tailoring the games response to the patient changing needs. © 2013, Springer-Verlag Berlin Heidelberg.",,Health,,,1/person,not used,online,y,n,n,y,n,n,n,n,y,y,n,y,n,y,n,y,Q-Learning,Biosystems and Biorobotics,"Ávila-Sansores S., Orihuela-Espina F., Enrique-Sucar L.","Ávila-Sansores, S., Optics and Electronics, National Institute for Astrophysics, Puebla, Mexico; Orihuela-Espina, F., Optics and Electronics, National Institute for Astrophysics, Puebla, Mexico; Enrique-Sucar, L., Optics and Electronics, National Institute for Astrophysics, Puebla, Mexico",4.0,10.1007/978-3-642-34546-3_143,Book Chapter,2013-01-01,_vila_Sansores_2013," @article{_vila_Sansores_2013, title={Patient Tailored Virtual Rehabilitation}, ISBN={9783642345463}, ISSN={2195-3570}, url={http://dx.doi.org/10.1007/978-3-642-34546-3_143}, DOI={10.1007/978-3-642-34546-3_143}, journal={Biosystems & Biorobotics}, publisher={Springer Berlin Heidelberg}, author={Ávila-Sansores, Shender and Orihuela-Espina, Felipe and Enrique-Sucar, Luis}, year={2013}, pages={879–883}}
"
User centered and context dependent personalization through experiential transcoding,"The pervasive presence of devices exploited to use and deliver entertainment text-based content can make reading easier to get but more difficult to enjoy, in particular for people with reading-related disabilities. The main solutions that allow overcoming some of the difficulties experienced by users with specific and special needs are based on content adaptation and user profiling. This paper presents a system that aims to improve content legibility by exploiting experiential transcoding techniques. The system we propose tracks users' behaviors so as to provide a tailored adaptation of textual content, in order to fit the needs of a specific user on the several different devices she/he actually uses.",content adaptation;device capabilities;legibility;reinforcement learning;user profiling,Entertainment,,,1/person,not used,batch,y,n,n,y,n,n,y,n,y,n,n,y,n,y,n,y,Q-Learning,2014 IEEE 11th Consumer Communications and Networking Conference (CCNC),S. Ferretti; S. Mirri; C. Prandi; P. Salomoni,,4.0,10.1109/CCNC.2014.6940520,IEEE Conferences,2014-01-01,Ferretti_2014_0," @article{Ferretti_2014_0, title={User centered and context dependent personalization through experiential transcoding}, ISBN={9781479923557}, url={http://dx.doi.org/10.1109/CCNC.2014.6940520}, DOI={10.1109/ccnc.2014.6940520}, journal={2014 IEEE 11th Consumer Communications and Networking Conference (CCNC)}, publisher={IEEE}, author={Ferretti, Stefano and Mirri, Silvia and Prandi, Catia and Salomoni, Paola}, year={2014}, month={Jan}}
"
On-line policy learning and adaptation for real-time personalization of an artificial pancreas,"The dynamic complexity of the glucose-insulin metabolism in diabetic patients is the main obstacle towards widespread use of an artificial pancreas. The significant level of subject-specific glycemic variability requires continuously adapting the control policy to successfully face daily changes in patient's metabolism and lifestyle. In this paper, an on-line selective reinforcement learning algorithm that enables real-time adaptation of a control policy based on ongoing interactions with the patient so as to tailor the artificial pancreas is proposed. Adaptation includes two online procedures: on-line sparsification and parameter updating of the Gaussian process used to approximate the control policy. With the proposed sparsification method, the support data dictionary for on-line learning is modified by checking if in the arriving data stream there exists novel information to be added to the dictionary in order to personalize the policy. Results obtained in silico experiments demonstrate that on-line policy learning is both safe and efficient for maintaining blood glucose variability within the normoglycemic range. © 2014 Elsevier Ltd. All rights reserved.",Diabetes; Gaussian processes; Glycemic variability; On-line sparsification; Policy learning; Reinforcement learning,Health,,,1/person,not used,other,y,n,n,y,n,n,y,n,n,y,y,y,n,y,n,y,Q-Learning,Expert Systems with Applications,"De Paula M., Acosta G.G., Martínez E.C.","De Paula, M., INTELYMEC, Centro de Investigaciones en Física e Ingeniería del Centro - CIFICEN, CONICET, Av. del Valle 5737, Olavarría, Argentina; Acosta, G.G., UNCPBA-Facultad de Ingeniería, Universidad Nacional del Centro de la Provincia de Buenos Aires, Av. del Valle 5737, Olavarría, Argentina; Martínez, E.C., INGAR (CONICET-UTN), Avellaneda 3657, Santa Fe, Argentina",4.0,10.1016/j.eswa.2014.10.038,Article,2015-01-01,De_Paula_2015_0," @article{De_Paula_2015_0, title={On-line policy learning and adaptation for real-time personalization of an artificial pancreas}, volume={42}, ISSN={0957-4174}, url={http://dx.doi.org/10.1016/j.eswa.2014.10.038}, DOI={10.1016/j.eswa.2014.10.038}, number={4}, journal={Expert Systems with Applications}, publisher={Elsevier BV}, author={De Paula, Mariano and Acosta, Gerardo G. and Martínez, Ernesto C.}, year={2015}, month={Mar}, pages={2234–2255}}
"
A learning-based control architecture for an assistive robot providing social engagement during cognitively stimulating activities,"Recent studies have shown that sustained engagement in cognitively stimulating activities has had positive effects on the cognitive functioning of humans. The objective of our work is to develop an intelligent socially assistive robot that can engage individuals in person-centered cognitively stimulating activities. In this paper, we present the design of a novel learning-based control architecture that enables the robot to act as a social motivator by providing assistance, encouragement and celebration during the course of an activity. A hierarchical reinforcement learning (HRL) approach is used to provide the robot with the ability to: (i) learn appropriate assistive behaviors based on the structure of the activity and (ii) personalize the interaction based on the person's affective state during the activity. Preliminary experiments show that the proposed learning-based control architecture is effective in determining the optimal assistive behaviors of the robot during a memory game interaction.",,Education,,IEEE Explore,1,state representation,online,n,n,y,n,n,y,n,n,n,y,n,n,y,n,n,y,hierarchical reinforcement learning,2011 IEEE International Conference on Robotics and Automation,J. Chan; G. Nejat,,4.0,10.1109/ICRA.2011.5980426,IEEE Conferences,2011-01-01,Chan_2011," @article{Chan_2011, title={A learning-based control architecture for an assistive robot providing social engagement during cognitively stimulating activities}, ISBN={9781612843865}, url={http://dx.doi.org/10.1109/ICRA.2011.5980426}, DOI={10.1109/icra.2011.5980426}, journal={2011 IEEE International Conference on Robotics and Automation}, publisher={IEEE}, author={Chan, Jeanie and Nejat, Goldie}, year={2011}, month={May}}
"
Learning cooperative persuasive dialogue policies using framing,"In this paper, we propose a new framework of cooperative persuasive dialogue, where a dialogue system simultaneously attempts to achieve user satisfaction while persuading the user to take some action that achieves a pre-defined system goal. Within this framework, we describe a method for reinforcement learning of cooperative persuasive dialogue policies by defining a reward function that reflects both the system and user goal, and using framing, the use of emotionally charged statements common in persuasive dialogue between humans. In order to construct the various components necessary for reinforcement learning, we first describe a corpus of persuasive dialogues between human interlocutors, then propose a method to construct user simulators and reward functions specifically tailored to persuasive dialogue based on this corpus. Then, we implement a fully automatic text-based dialogue system for evaluating the learned policies. Using the implemented dialogue system, we evaluate the learned policy and the effect of framing through experiments both with a user simulator and with real users. The experimental evaluation indicates that the proposed method is effective for construction of cooperative persuasive dialogue systems. © 2016 Elsevier B.V.",Cooperative persuasive dialogue; Dialogue modeling; Dialogue system; Framing; Reinforcement learning,Education,,SCOPUS,1,not used,unknown,y,n,n,y,n,y,y,y,y,y,n,y,n,y,n,y,"RL, not further specified",Speech Communication,"Hiraoka T., Neubig G., Sakti S., Toda T., Nakamura S.","Hiraoka, T., Graduate School of Information Science, Nara Institute of Science and Technology, 8916-5 Takayama, Ikoma, Nara, Japan; Neubig, G., Graduate School of Information Science, Nara Institute of Science and Technology, 8916-5 Takayama, Ikoma, Nara, Japan; Sakti, S., Graduate School of Information Science, Nara Institute of Science and Technology, 8916-5 Takayama, Ikoma, Nara, Japan; Toda, T., Nagoya University, Furo-cho, Chikusa-kuNagoya, Japan; Nakamura, S., Graduate School of Information Science, Nara Institute of Science and Technology, 8916-5 Takayama, Ikoma, Nara, Japan",3.0,10.1016/j.specom.2016.09.002,Article,2016-01-01,Hiraoka_2016," @article{Hiraoka_2016, title={Learning cooperative persuasive dialogue policies using framing}, volume={84}, ISSN={0167-6393}, url={http://dx.doi.org/10.1016/j.specom.2016.09.002}, DOI={10.1016/j.specom.2016.09.002}, journal={Speech Communication}, publisher={Elsevier BV}, author={Hiraoka, Takuya and Neubig, Graham and Sakti, Sakriani and Toda, Tomoki and Nakamura, Satoshi}, year={2016}, month={Nov}, pages={83–96}}
"
Personalized tuning of a reinforcement learning control algorithm for glucose regulation,"Artificial pancreas is in the forefront of research towards the automatic insulin infusion for patients with type 1 diabetes. Due to the high inter- and intra-variability of the diabetic population, the need for personalized approaches has been raised. This study presents an adaptive, patient-specific control strategy for glucose regulation based on reinforcement learning and more specifically on the Actor-Critic (AC) learning approach. The control algorithm provides daily updates of the basal rate and insulin-to-carbohydrate (IC) ratio in order to optimize glucose regulation. A method for the automatic and personalized initialization of the control algorithm is designed based on the estimation of the transfer entropy (TE) between insulin and glucose signals. The algorithm has been evaluated in silico in adults, adolescents and children for 10 days. Three scenarios of initialization to i) zero values, ii) random values and iii) TE-based values have been comparatively assessed. The results have shown that when the TE-based initialization is used, the algorithm achieves faster learning with 98%, 90% and 73% in the A+B zones of the Control Variability Grid Analysis for adults, adolescents and children respectively after five days compared to 95%, 78%, 41% for random initialization and 93%, 88%, 41% for zero initial values. Furthermore, in the case of children, the daily Low Blood Glucose Index reduces much faster when the TE-based tuning is applied. The results imply that automatic and personalized tuning based on TE reduces the learning period and improves the overall performance of the AC algorithm.",,Health,,IEEE Explore,1,state representation,online,y,n,n,y,n,n,n,n,n,y,y,y,n,y,n,y,Actor-Critic,2013 35th Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC),E. Daskalaki; P. Diem; S. G. Mougiakakou,,3.0,10.1109/EMBC.2013.6610293,IEEE Conferences,2013-01-01,Daskalaki_2013," @article{Daskalaki_2013, title={Personalized tuning of a reinforcement learning control algorithm for glucose regulation}, ISBN={9781457702167}, url={http://dx.doi.org/10.1109/EMBC.2013.6610293}, DOI={10.1109/embc.2013.6610293}, journal={2013 35th Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC)}, publisher={IEEE}, author={Daskalaki, Elena and Diem, Peter and Mougiakakou, Stavroula G.}, year={2013}, month={Jul}}
"
Controlling blood glucose variability under uncertainty using reinforcement learning and Gaussian processes,"Abstract Automated control of blood glucose (BG) concentration with a fully automated artificial pancreas will certainly improve the quality of life for insulin-dependent patients. Closed-loop insulin delivery is challenging due to inter- and intra-patient variability, errors in glucose sensors and delays in insulin absorption. Responding to the varying activity levels seen in outpatients, with unpredictable and unreported food intake, and providing the necessary personalized control for individuals is a challenging task for existing control algorithms. A novel approach for controlling glycemic variability using simulation-based learning is presented. A policy iteration algorithm that combines reinforcement learning with Gaussian process approximation is proposed. To account for multiple sources of uncertainty, a control policy is learned off-line using an Ito's stochastic model of the glucose-insulin dynamics. For safety and performance, only relevant data are sampled through Bayesian active learning. Results obtained demonstrate that a generic policy is both safe and efficient for controlling subject-specific variability due to a patient's lifestyle and its distinctive metabolic response. © 2015 Elsevier B.V.",Artificial pancreas; Diabetes; Gaussian processes; Policy iteration; Reinforcement learning; Stochastic optimal control,Health,,SCOPUS,1,not used,online,y,n,n,y,n,n,n,n,n,n,y,y,n,y,n,y,"RL, not further specified",Applied Soft Computing Journal,"De Paula M., Ávila L.O., Martínez E.C.","De Paula, M., INTELYMEC - Centro de Investigaciones en Física e Ingeniería del Centro - CIFICEN - CONICET, Facultad de Ingeniería, Universidad Nacional del Centro de la Provincia de Buenos Aires - UNCPBA, Av. del Valle 5737, Olavarría, Argentina; Ávila, L.O., INGAR (CONICET - UTN), Avellaneda 3657, Santa Fe, Argentina; Martínez, E.C., INGAR (CONICET - UTN), Avellaneda 3657, Santa Fe, Argentina",3.0,10.1016/j.asoc.2015.06.041,Article,2015-01-01,De_Paula_2015," @article{De_Paula_2015, title={Controlling blood glucose variability under uncertainty using reinforcement learning and Gaussian processes}, volume={35}, ISSN={1568-4946}, url={http://dx.doi.org/10.1016/j.asoc.2015.06.041}, DOI={10.1016/j.asoc.2015.06.041}, journal={Applied Soft Computing}, publisher={Elsevier BV}, author={De Paula, Mariano and Ávila, Luis Omar and Martínez, Ernesto C.}, year={2015}, month={Oct}, pages={310–332}}
"
