ID,Preference Author1,Preference Author2,Preference Author3,Preference Author4,Title,Abstract / URL / DOI,Abstract,Access Type,Affiliations,Art. No.,Author Affiliations,Keywords,Screening,Check,A RL or CB algorithm is used (reject/ accept/ uncertain),Check (agree/ disagree),Definition of personalization & direction (reject/ accept/ uncertain),Check (agree/ disagree).1,Peer-reviewed & English (reject/ accept/ uncertain),Check (agree/ disagree).2,Domain,Check (agree/ disagree).3,Remarks,Remarks.1,"Screening result (a/r/u): automatic
",Check result (a/d): automatic,Source Title,PDF Link,URL,Authors,Authors with affiliations,Citation Count,Copyright Year,DOI,Database,DOI counts,DOI count,Date Added To Xplore,End Page,Funding Information,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,ISBN,ISSN,Issue,Issue Date,Journal,License,Local ID,Meeting Date,Mesh_Terms,Online Date,Page count,Page end,Page start,Pages,Patent Citation Count,Publisher,Reference Count,Source,Source ISBN,Source ISSN,Start Page,Type,Unnamed: 64,Unnamed: 12,Volume,Volume.1,Year if accepted,Year,0,1,2,Egibility check
23,1,0,1,1,Automatic ad format selection via contextual bandits,"Visual design plays an important role in online display advertising: changing the layout of an online ad can increase or decrease its effectiveness, measured in terms of click-through rate (CTR) or total revenue. The decision of which layout to use for an ad involves a trade-off: using a layout provides feedback about its effectiveness (exploration), but collecting that feedback requires sacrificing the immediate reward of using a layout we already know is effective (exploitation). To balance exploration with exploitation, we pose automatic layout selection as a contextual bandit problem. There are many bandit algorithms, each generating a policy which must be evaluated. It is impractical to test each policy on live traffic. However, we have found that offline replay (a.k.a. exploration scavenging) can be adapted to provide an accurate estimator for the performance of ad layout policies at Linkedin, using only historical data about the effectiveness of layouts. We describe the development of our offline replayer, and benchmark a number of common bandit algorithms. Copyright 2013 ACM.","Visual design plays an important role in online display advertising: changing the layout of an online ad can increase or decrease its effectiveness, measured in terms of click-through rate (CTR) or total revenue. The decision of which layout to use for an ad involves a trade-off: using a layout provides feedback about its effectiveness (exploration), but collecting that feedback requires sacrificing the immediate reward of using a layout we already know is effective (exploitation). To balance exploration with exploitation, we pose automatic layout selection as a contextual bandit problem. There are many bandit algorithms, each generating a policy which must be evaluated. It is impractical to test each policy on live traffic. However, we have found that offline replay (a.k.a. exploration scavenging) can be adapted to provide an accurate estimator for the performance of ad layout policies at Linkedin, using only historical data about the effectiveness of layouts. We describe the development of our offline replayer, and benchmark a number of common bandit algorithms. Copyright 2013 ACM.",,"School of Computer Science, Florida International Univ., 11200 S.W. 8th St., Miami, FL 33199, United States; Applied Relevance Science LinkedIn, 2029 Stierlin Ct., Mountain View, CA 94043, United States",,,Bandit algorithms; Exploration/exploitation; Layout; Offline evaluation; Online advertising; Personalization; Recommender systems,Author2,Author3,a,a,a,a,a,a,Recommender Systems,a,,,a,a,"International Conference on Information and Knowledge Management, Proceedings",,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84889567137&doi=10.1145%2f2505515.2514700&partnerID=40&md5=652c81fbee7adda7e08bcedb57239955,"Tang L., Rosales R., Singh A.P., Agarwal D.","Tang, L., School of Computer Science, Florida International Univ., 11200 S.W. 8th St., Miami, FL 33199, United States; Rosales, R., Applied Relevance Science LinkedIn, 2029 Stierlin Ct., Mountain View, CA 94043, United States; Singh, A.P., Applied Relevance Science LinkedIn, 2029 Stierlin Ct., Mountain View, CA 94043, United States; Agarwal, D., School of Computer Science, Florida International Univ., 11200 S.W. 8th St., Miami, FL 33199, United States",20,,10.1145/2505515.2514700,SCOPUS,1,,,,,,,,,,,,,,2-s2.0-84889567137,,,,,1594,1587,,,,,Scopus,,,,Conference Paper,,,,,2013,2013,1,3,0,Author4
24,2,2,0,2,Patient tailored virtual rehabilitation,"Virtual rehabilitation should be adaptable to the patient need and progress. To do so, patient in-game performace and ability are monitored to maintain an adequate level of challenge. A novel adaptation strategy is proposed by which patient control and speed are dynamically interrogated to adjust the game difficulty. The strategy is based on a Markov decision process seeding a therapist-guided reinforcement learning algorithm. The optimal learning scheme for the algorithm is established (α = 0.5). Convergence to an optimal therapeutic plan is demonstrated for patients with non-deterministic behaviour. The proposed adaptation algorithm can enhance existing virtual reality-based motor rehabilitation platforms by tailoring the games response to the patient changing needs. © 2013, Springer-Verlag Berlin Heidelberg.","Virtual rehabilitation should be adaptable to the patient need and progress. To do so, patient in-game performace and ability are monitored to maintain an adequate level of challenge. A novel adaptation strategy is proposed by which patient control and speed are dynamically interrogated to adjust the game difficulty. The strategy is based on a Markov decision process seeding a therapist-guided reinforcement learning algorithm. The optimal learning scheme for the algorithm is established (α = 0.5). Convergence to an optimal therapeutic plan is demonstrated for patients with non-deterministic behaviour. The proposed adaptation algorithm can enhance existing virtual reality-based motor rehabilitation platforms by tailoring the games response to the patient changing needs. © 2013, Springer-Verlag Berlin Heidelberg.",,"Optics and Electronics, National Institute for Astrophysics, Puebla, Mexico",,,,Author3,Author4,a,a,a,a,a,a,Healthcare,a,"Although authors describe a 'game', the goal of the game seems for patients to rehabilitate. This would make Healthcare the main domain in my view.","Yep, I would also call this healthcare.",a,a,Biosystems and Biorobotics,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85014689131&doi=10.1007%2f978-3-642-34546-3_143&partnerID=40&md5=4843998cb02fe4a40767841dcace8bed,"Ávila-Sansores S., Orihuela-Espina F., Enrique-Sucar L.","Ávila-Sansores, S., Optics and Electronics, National Institute for Astrophysics, Puebla, Mexico; Orihuela-Espina, F., Optics and Electronics, National Institute for Astrophysics, Puebla, Mexico; Enrique-Sucar, L., Optics and Electronics, National Institute for Astrophysics, Puebla, Mexico",4,,10.1007/978-3-642-34546-3_143,SCOPUS,1,,,,,,,,,,,,,,2-s2.0-85014689131,,,,,883,879,,,,,Scopus,,,,Book Chapter,,,1,,2013,2013,1,0,3,Author4
25,0,1,1,1,Satisfaction based Q-learning for integrated lighting and blind control,"Various lighting and blind control methods have been presented to improve user comfort and reduce energy consumption simultaneously. However, there are opportunities to improve control performances by introducing more recent information and machine learning technologies which allow more comprehensive consideration of the balance between user comfort and system energy consumption. To be more specific, in terms of user comfort, unified set-point may not be desirable since different people may have different comfort preferences. In terms of energy consumption, the excessive cooling load of HVAC system should be considered in summer when utilizing solar incidence to reduce the lighting electricity consumption. The setting of the blind slat angle still has great room to improve instead of the cut-off angle. Moreover, users' demands are not fully met, so sometimes they still want to override the automated control. Thus, a closed-loop satisfaction based system is developed in this paper, specifically we introduce an improved reinforcement learning controller to obtain an optimal control strategy of blinds and lights. It could provide a personalized service via introducing subjects perceptions of surroundings gathered by a novel interface as the feedback signal. The proposed system was implemented on a practical test-bed in an energy-efficient building. Compared with the traditional control, it can provide a more acceptable and energy-efficient luminous environment. © 2016 Elsevier B.V.","Various lighting and blind control methods have been presented to improve user comfort and reduce energy consumption simultaneously. However, there are opportunities to improve control performances by introducing more recent information and machine learning technologies which allow more comprehensive consideration of the balance between user comfort and system energy consumption. To be more specific, in terms of user comfort, unified set-point may not be desirable since different people may have different comfort preferences. In terms of energy consumption, the excessive cooling load of HVAC system should be considered in summer when utilizing solar incidence to reduce the lighting electricity consumption. The setting of the blind slat angle still has great room to improve instead of the cut-off angle. Moreover, users' demands are not fully met, so sometimes they still want to override the automated control. Thus, a closed-loop satisfaction based system is developed in this paper, specifically we introduce an improved reinforcement learning controller to obtain an optimal control strategy of blinds and lights. It could provide a personalized service via introducing subjects perceptions of surroundings gathered by a novel interface as the feedback signal. The proposed system was implemented on a practical test-bed in an energy-efficient building. Compared with the traditional control, it can provide a more acceptable and energy-efficient luminous environment. © 2016 Elsevier B.V.",,"Center for Intelligent and Networked System, Department of Automation and TNList, Tsinghua University, Beijing, China; Department of Building Science, Tsinghua University, Beijing, China; United Technologies Research Center (China) Ltd., Shanghai, China",,,Blinds; Day-light; Energy saving; Integrated control; Q-learning,Author4,Author1,a,a,a,a,a,a,Personal Assistants,,,,a,a,Energy and Buildings,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84971643867&doi=10.1016%2fj.enbuild.2016.05.067&partnerID=40&md5=57f6a8db85f9f0b6c01f3c0021a579e0,"Cheng Z., Zhao Q., Wang F., Jiang Y., Xia L., Ding J.","Cheng, Z., Center for Intelligent and Networked System, Department of Automation and TNList, Tsinghua University, Beijing, China; Zhao, Q., Center for Intelligent and Networked System, Department of Automation and TNList, Tsinghua University, Beijing, China; Wang, F., Department of Building Science, Tsinghua University, Beijing, China; Jiang, Y., Department of Building Science, Tsinghua University, Beijing, China; Xia, L., Center for Intelligent and Networked System, Department of Automation and TNList, Tsinghua University, Beijing, China; Ding, J., United Technologies Research Center (China) Ltd., Shanghai, China",7,,10.1016/j.enbuild.2016.05.067,SCOPUS,1,,,,,,,,,,,,,,2-s2.0-84971643867,,,,,55,43,,,,,Scopus,,,,Article,,,127,,2016,2016,1,3,0,Author4
26,0,0,0,0,A task-oriented service personalization scheme for smart environments using reinforcement learning,"Users want IoT environments to provide them with personalized support. These environments therefore need to be able to learn user preferences, such as what temperature the room should be or which lights should be turned on. We propose a novel system that separates the tasks of learning a user's preferences and realizing them within the environment. The system is able to capture user preferences by reinterpreting the problem as an optimization problem and applying inverse reinforcement learning to it. The system is shown to be able to accurately extract simple preferences given a small number of user demonstrations. These preferences are then realized by actuates devices running reinforcement learning-based agents to provide an environment consistent with the learnt preferences, also in situations not included in any user demonstration.","Users want IoT environments to provide them with personalized support. These environments therefore need to be able to learn user preferences, such as what temperature the room should be or which lights should be turned on. We propose a novel system that separates the tasks of learning a user's preferences and realizing them within the environment. The system is able to capture user preferences by reinterpreting the problem as an optimization problem and applying inverse reinforcement learning to it. The system is shown to be able to accurately extract simple preferences given a small number of user demonstrations. These preferences are then realized by actuates devices running reinforcement learning-based agents to provide an environment consistent with the learnt preferences, also in situations not included in any user demonstration.",,,,"School of Computer Science, KAIST, Daejeon, S. Korea",,Author2,Author3,a,a,a,a,a,a,Personal Assistants,a,,,a,a,2016 IEEE International Conference on Pervasive Computing and Communication Workshops (PerCom Workshops),https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7457110,,B. Tegelund; H. Son; D. Lee,,2,,10.1109/PERCOMW.2016.7457110,IEEE Xplore,1,,20160421,6,,Brightness;Context;Context modeling;Learning (artificial intelligence);Motion pictures;Performance evaluation;Sensors,Internet of Things;ambient intelligence;learning (artificial intelligence);multi-agent systems,IoT environments;personalized support;reinforcement learning-based agents;smart environments;task-oriented service personalization scheme;user preference learning,,,,14-18 March 2016,,,,,,,,,,,,IEEE,10,,Electronic:978-1-5090-1941-0; POD:978-1-5090-1942-7,,1,IEEE Conferences,,,,,2016,2016,4,0,0,Author2
27,1,0,2,1,The best privacy defense is a good privacy offense: obfuscating a search engine user’s profile,"User privacy on the internet is an important and unsolved problem. So far, no sufficient and comprehensive solution has been proposed that helps a user to protect his or her privacy while using the internet. Data are collected and assembled by numerous service providers. Solutions so far focused on the side of the service providers to store encrypted or transformed data that can be still used for analysis. This has a major flaw, as it relies on the service providers to do this. The user has no chance of actively protecting his or her privacy. In this work, we suggest a new approach, empowering the user to take advantage of the same tool the other side has, namely data mining to produce data which obfuscates the user’s profile. We apply this approach to search engine queries and use feedback of the search engines in terms of personalized advertisements in an algorithm similar to reinforcement learning to generate new queries potentially confusing the search engine. We evaluated the approach using a real-world data set. While evaluation is hard, we achieve results that indicate that it is possible to influence the user’s profile that the search engine generates. This shows that it is feasible to defend a user’s privacy from a new and more practical perspective. © 2017, The Author(s).","User privacy on the internet is an important and unsolved problem. So far, no sufficient and comprehensive solution has been proposed that helps a user to protect his or her privacy while using the internet. Data are collected and assembled by numerous service providers. Solutions so far focused on the side of the service providers to store encrypted or transformed data that can be still used for analysis. This has a major flaw, as it relies on the service providers to do this. The user has no chance of actively protecting his or her privacy. In this work, we suggest a new approach, empowering the user to take advantage of the same tool the other side has, namely data mining to produce data which obfuscates the user’s profile. We apply this approach to search engine queries and use feedback of the search engines in terms of personalized advertisements in an algorithm similar to reinforcement learning to generate new queries potentially confusing the search engine. We evaluated the approach using a real-world data set. While evaluation is hard, we achieve results that indicate that it is possible to influence the user’s profile that the search engine generates. This shows that it is feasible to defend a user’s privacy from a new and more practical perspective. © 2017, The Author(s).",,"Institute of Computer Science, Johannes Gutenberg University Mainz, Staudingerweg 9, Mainz, Germany",,,Personalized ads; Privacy; Reinforcement learning; Search engines; Web mining,Author3,Author4,u,a,a,a,a,a,other,a,domain: privacy,"They use an algorithm quite similar to reinforcement learning. In my opinion, that means that it is not RL right? :)",u,a,Data Mining and Knowledge Discovery,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85025085865&doi=10.1007%2fs10618-017-0524-z&partnerID=40&md5=247afda6050dd89a6a7d18d84d0dc5ee,"Wicker J., Kramer S.","Wicker, J., Institute of Computer Science, Johannes Gutenberg University Mainz, Staudingerweg 9, Mainz, Germany; Kramer, S., Institute of Computer Science, Johannes Gutenberg University Mainz, Staudingerweg 9, Mainz, Germany",,,10.1007/s10618-017-0524-z,SCOPUS,1,,,,,,,,,,5,,,,2-s2.0-85025085865,,,,,1443,1419,,,,,Scopus,,,,Article,,,31,,,2017,1,2,1,Author3
28,0,0,0,0,Data-driven inverse learning of passenger preferences in urban public transits,"Urban public transit planning is crucial in reducing traffic congestion and enabling green transportation. However, there is no systematic way to integrate passengers' personal preferences in planning public transit routes and schedules so as to achieve high occupancy rates and efficiency gain of ride-sharing. In this paper, we take the first step tp exact passengers' preferences in planning from history public transit data. We propose a data-driven method to construct a Markov decision process model that characterizes the process of passengers making sequential public transit choices, in bus routes, subway lines, and transfer stops/stations. Using the model, we integrate softmax policy iteration into maximum entropy inverse reinforcement learning to infer the passenger's reward function from observed trajectory data. The inferred reward function will enable an urban planner to predict passengers' route planning decisions given some proposed transit plans, for example, opening a new bus route or subway line. Finally, we demonstrate the correctness and accuracy of our modeling and inference methods in a large-scale (three months) passenger-level public transit trajectory data from Shenzhen, China. Our method contributes to smart transportation design and human-centric urban planning.","Urban public transit planning is crucial in reducing traffic congestion and enabling green transportation. However, there is no systematic way to integrate passengers' personal preferences in planning public transit routes and schedules so as to achieve high occupancy rates and efficiency gain of ride-sharing. In this paper, we take the first step tp exact passengers' preferences in planning from history public transit data. We propose a data-driven method to construct a Markov decision process model that characterizes the process of passengers making sequential public transit choices, in bus routes, subway lines, and transfer stops/stations. Using the model, we integrate softmax policy iteration into maximum entropy inverse reinforcement learning to infer the passenger's reward function from observed trajectory data. The inferred reward function will enable an urban planner to predict passengers' route planning decisions given some proposed transit plans, for example, opening a new bus route or subway line. Finally, we demonstrate the correctness and accuracy of our modeling and inference methods in a large-scale (three months) passenger-level public transit trajectory data from Shenzhen, China. Our method contributes to smart transportation design and human-centric urban planning.",,,,"Worcester Polytechnic Institute (WPI), 100 Institute Road, Worcester, MA 01609, USA",,Author4,Author1,a,a,a,a,a,a,Personal Assistants,,,,a,a,2017 IEEE 56th Annual Conference on Decision and Control (CDC),https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8264410,,G. Wu; Y. Ding; Y. Li; J. Luo; F. Zhang; J. Fu,,,,10.1109/CDC.2017.8264410,IEEE Xplore,1,,20180122,5073,,Data models;Entropy;Markov processes;Planning;Public transportation;Roads;Trajectory,Markov processes;data analysis;entropy;learning (artificial intelligence);town and country planning;traffic engineering computing;transportation,China;Markov decision process model;Shenzhen;bus route;bus routes;data-driven inverse learning;data-driven method;enabling green transportation;green transportation;high occupancy rates;history public transit data;human-centric urban planning;inference methods;inferred reward function;large-scale passenger-level public transit trajectory data;maximum entropy inverse reinforcement;observed trajectory data;public transit routes;sequential public transit choices;smart transportation design;traffic congestion;transit plans;urban planner;urban public transit planning,,,,12-15 Dec. 2017,,,,,,,,,,,,IEEE,,,Electronic:978-1-5090-2873-3; POD:978-1-5090-2874-0; USB:978-1-5090-2872-6,,5068,IEEE Conferences,,,,,2017,2017,4,0,0,Author4
29,2,1,2,2,Reinforcement learning approach towards effective content recommendation in MOOC environments,"Understanding the Learner requirements is an important aspect of any learning environment as it helps to recommend the LOs in a more personalized manner. With the growing demand for MOOCs offered by coursera, edx, etc. the learner information plays a vital role in understanding the extent to which the learners can gain out of such courses. The Learning Management Systems (LMS) across the web uses the explicit (rating, performance, etc.) and implicit feedback (LOs used) obtained through interaction with the learners to derive such information. As the requirements of the learners varies with the individual's interest and learning background, a common approach for recommending LOs may not cater the needs of all the learners. To overcome this issue, this paper proposes reinforcement learning based algorithm to analyze the learner information (derived from both implicit and explicit feedback) and generate the knowledge on the learner's requirements and capabilities inside a specific learning context. The reinforcement learning system (RILS) implemented as a part of this work utilizes the knowledge thus generated in order to recommend the appropriate LOs for the learners. The results have highlighted that the knowledge derived from the learning information analysis proved to effective in generating personalized recommendation policies that can cater the context specific requirements of the learners.","Understanding the Learner requirements is an important aspect of any learning environment as it helps to recommend the LOs in a more personalized manner. With the growing demand for MOOCs offered by coursera, edx, etc. the learner information plays a vital role in understanding the extent to which the learners can gain out of such courses. The Learning Management Systems (LMS) across the web uses the explicit (rating, performance, etc.) and implicit feedback (LOs used) obtained through interaction with the learners to derive such information. As the requirements of the learners varies with the individual's interest and learning background, a common approach for recommending LOs may not cater the needs of all the learners. To overcome this issue, this paper proposes reinforcement learning based algorithm to analyze the learner information (derived from both implicit and explicit feedback) and generate the knowledge on the learner's requirements and capabilities inside a specific learning context. The reinforcement learning system (RILS) implemented as a part of this work utilizes the knowledge thus generated in order to recommend the appropriate LOs for the learners. The results have highlighted that the knowledge derived from the learning information analysis proved to effective in generating personalized recommendation policies that can cater the context specific requirements of the learners.",,,,"SCSE, VIT University, Vellore, Tamilnadu, India",LO recommendation;MOOC;Reinforcement Learning;learning context;learning experience,Author2,Author3,a,a,a,a,a,a,Recommender Systems,a,,,a,a,"2014 IEEE International Conference on MOOC, Innovation and Technology in Education (MITE)",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7020289,,V. R. Raghuveer; B. K. Tripathy; T. Singh; S. Khanna,,1,,10.1109/MITE.2014.7020289,IEEE Xplore,1,,20150126,289,,Collaboration;Conferences;Context;Educational institutions;Electronic learning;Technological innovation,Internet;computer aided instruction;educational courses;human computer interaction;information analysis;learning (artificial intelligence);recommender systems,LMS;MOOC environments;RILS;Web;content recommendation;explicit feedback;generating personalized recommendation policies;implicit feedback;knowledge utilization;learning information analysis;learning management systems;massive open online course;reinforcement learning system,,,,19-20 Dec. 2014,,,,,,,,,,,,IEEE,14,,Electronic:978-1-4799-6876-3; POD:978-1-4799-6877-0,,285,IEEE Conferences,,,,,2014,2014,0,1,3,Author4
30,1,1,2,1,A Service Recommendation Using Reinforcement Learning for Network-based Robots in Ubiquitous Computing Environments,"Ubiquitous robotic companion (URC ) is a new concept for the network-based robot platform which can enable to be following its master wherever or whenever he/she be in order to provide necessary services. The robot platforms in present normally interest in providing services through the direct interaction in responding to the user's demands. On the other hand, URC services are required to be provided by the means of recognizing the circumstances and taking a user's preference into account. In this paper, we propose a service recommendation scheme for URC robots. The proposed service recommendation, developed based on the reinforcement learning, can be used to provide personalized services by learning users' preferences or tasks through the interaction with users. Using simulation for rapid testing, we evaluate of the proposed scheme under a variety of user modeling types and discount factors.","Ubiquitous robotic companion (URC ) is a new concept for the network-based robot platform which can enable to be following its master wherever or whenever he/she be in order to provide necessary services. The robot platforms in present normally interest in providing services through the direct interaction in responding to the user's demands. On the other hand, URC services are required to be provided by the means of recognizing the circumstances and taking a user's preference into account. In this paper, we propose a service recommendation scheme for URC robots. The proposed service recommendation, developed based on the reinforcement learning, can be used to provide personalized services by learning users' preferences or tasks through the interaction with users. Using simulation for rapid testing, we evaluate of the proposed scheme under a variety of user modeling types and discount factors.",,,,"Electronice and Telecommunication Research Institute, 161 Gajeong-dong, Yuseong-gu, Daejeon, 305-350, Korea. Email: akmoon@etri.re.kr",,Author3,Author4,a,a,a,a,a,a,other,a,domain: robotics,Could also say this is a personal assistant (in a physical form),a,a,RO-MAN 2007 - The 16th IEEE International Symposium on Robot and Human Interactive Communication,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4415198,,A. Moon; T. Kang; H. Kim; H. Kim,,2,,10.1109/ROMAN.2007.4415198,IEEE Xplore,1,,20080116,826,,Control systems;Human robot interaction;Intelligent robots;Inventory management;Machine learning;Moon;Robot control;Robot sensing systems;Service robots;Ubiquitous computing,computer networks;control engineering computing;learning (artificial intelligence);man-machine systems;robots;ubiquitous computing;user modelling,human-robot interaction;network-based robot;network-based robot platform;rapid testing;reinforcement learning;service recommendation scheme;ubiquitous computing environment;ubiquitous robotic companion;user modeling,,1944-9445;19449445,,26-29 Aug. 2007,,,,,,,,,,,,IEEE,15,,CD-ROM:978-1-4244-1635-6; POD:978-1-4244-1634-9,,821,IEEE Conferences,,,,,2007,2007,0,3,1,Author3
31,1,1,2,1,Reinforcement learning of context models for a ubiquitous personal assistant,"Ubiquitous environments may become a reality in a foreseeable future and research is aimed on making them more and more adapted and comfortable for users. Our work consists on applying reinforcement learning techniques in order to adapt services provided by a ubiquitous assistant to the user. The learning produces a context model, associating actions to perceived situations of the user. Associations are based on feedback given by the user as a reaction to the behavior of the assistant. Our method brings a solution to some of the problems encountered when applying reinforcement learning to systems where the user is in the loop. For instance, the behavior of the system is completely incoherent at the be-ginning and needs time to converge. The user does not accept to wait that long to train the system. The user's habits may change over time and the assistant needs to integrate these changes quickly. We study methods to accelerate the reinforced learning process. © 2009 Springer-Verlag Berlin Heidelberg.","Ubiquitous environments may become a reality in a foreseeable future and research is aimed on making them more and more adapted and comfortable for users. Our work consists on applying reinforcement learning techniques in order to adapt services provided by a ubiquitous assistant to the user. The learning produces a context model, associating actions to perceived situations of the user. Associations are based on feedback given by the user as a reaction to the behavior of the assistant. Our method brings a solution to some of the problems encountered when applying reinforcement learning to systems where the user is in the loop. For instance, the behavior of the system is completely incoherent at the be-ginning and needs time to converge. The user does not accept to wait that long to train the system. The user's habits may change over time and the assistant needs to integrate these changes quickly. We study methods to accelerate the reinforced learning process. © 2009 Springer-Verlag Berlin Heidelberg.",,"Laboratoire LIG, 681 rue de la Passerelle, St-Martin d'Hères 38402, France",,,,Author4,Author1,a,a,a,a,a,a,Personal Assistants,,Ambient intelligence/ubiquitous computing. Used PA to describe it.,,a,a,Advances in Soft Computing,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-58149109424&doi=10.1007%2f978-3-540-85867-6_30&partnerID=40&md5=7b74657e0245e5a528b0a4029e063cd7,"Zaidenberg S., Reignier P., Crowley J.L.","Zaidenberg, S., Laboratoire LIG, 681 rue de la Passerelle, St-Martin d'Hères 38402, France; Reignier, P., Laboratoire LIG, 681 rue de la Passerelle, St-Martin d'Hères 38402, France; Crowley, J.L., Laboratoire LIG, 681 rue de la Passerelle, St-Martin d'Hères 38402, France",6,,10.1007/978-3-540-85867-6_30,SCOPUS,1,,,,,,,,,,,,,,2-s2.0-58149109424,,,,,264,254,,,,,Scopus,,,,Conference Paper,,,51,,2009,2009,0,3,1,Author3
32,2,2,0,2,Reinforcement learning strategies for clinical trials in nonsmall cell lung cancer,"Typical regimens for advanced metastatic stage IIIB/IV nonsmall cell lung cancer (NSCLC) consist of multiple lines of treatment. We present an adaptive reinforcement learning approach to discover optimal individualized treatment regimens from a specially designed clinical trial (a ""clinical reinforcement trial"") of an experimental treatment for patients with advanced NSCLC who have not been treated previously with systemic therapy. In addition to the complexity of the problem of selecting optimal compounds for first- and second-line treatments based on prognostic factors, another primary goal is to determine the optimal time to initiate second-line therapy, either immediately or delayed after induction therapy, yielding the longest overall survival time. A reinforcement learning method calledQ-learning is utilized, which involves learning an optimal regimen from patient data generated from the clinical reinforcement trial. Approximating theQ-function with time-indexed parameters can be achieved by using a modification of support vector regression that can utilize censored data. Within this framework, a simulation study shows that the procedure can extract optimal regimens for two lines of treatment directly from clinical data without prior knowledge of the treatment effect mechanism. In addition, we demonstrate that the design reliably selects the best initial time for second-line therapy while taking into account the heterogeneity of NSCLC across patients. © 2011, The International Biometric Society.","Typical regimens for advanced metastatic stage IIIB/IV nonsmall cell lung cancer (NSCLC) consist of multiple lines of treatment. We present an adaptive reinforcement learning approach to discover optimal individualized treatment regimens from a specially designed clinical trial (a ""clinical reinforcement trial"") of an experimental treatment for patients with advanced NSCLC who have not been treated previously with systemic therapy. In addition to the complexity of the problem of selecting optimal compounds for first- and second-line treatments based on prognostic factors, another primary goal is to determine the optimal time to initiate second-line therapy, either immediately or delayed after induction therapy, yielding the longest overall survival time. A reinforcement learning method calledQ-learning is utilized, which involves learning an optimal regimen from patient data generated from the clinical reinforcement trial. Approximating theQ-function with time-indexed parameters can be achieved by using a modification of support vector regression that can utilize censored data. Within this framework, a simulation study shows that the procedure can extract optimal regimens for two lines of treatment directly from clinical data without prior knowledge of the treatment effect mechanism. In addition, we demonstrate that the design reliably selects the best initial time for second-line therapy while taking into account the heterogeneity of NSCLC across patients. © 2011, The International Biometric Society.",,"Global Biostatistics and Epidemiology, Amgen Inc., One Amgen Center Drive, Thousand Oaks, CA 91320, United States; Department of Biostatistics, University of North Carolina at Chapel Hill, 3101 McGavran-Greenberg, CB 7420, Chapel Hill, NC 27599, United States; Department of Medicine, University of North Carolina at Chapel Hill, Physicians Office Building, 170 Manning Drive, Chapel Hill, NC 27599, United States",,,Adaptive design; Dynamic treatment regime; Individualized therapy; Multistage decision problems; Nonsmall cell lung cancer; Personalized medicine; Q-learning; Reinforcement learning; Support vector regression,Author1,Author2,a,a,a,a,a,a,Healthcare,,,,a,a,Biometrics,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-83655181241&doi=10.1111%2fj.1541-0420.2011.01572.x&partnerID=40&md5=64ad4676c2bde9eeed5337ac997d331a,"Zhao Y., Zeng D., Socinski M.A., Kosorok M.R.","Zhao, Y., Global Biostatistics and Epidemiology, Amgen Inc., One Amgen Center Drive, Thousand Oaks, CA 91320, United States; Zeng, D., Department of Biostatistics, University of North Carolina at Chapel Hill, 3101 McGavran-Greenberg, CB 7420, Chapel Hill, NC 27599, United States; Socinski, M.A., Department of Medicine, University of North Carolina at Chapel Hill, Physicians Office Building, 170 Manning Drive, Chapel Hill, NC 27599, United States; Kosorok, M.R., Department of Biostatistics, University of North Carolina at Chapel Hill, 3101 McGavran-Greenberg, CB 7420, Chapel Hill, NC 27599, United States",50,,10.1111/j.1541-0420.2011.01572.x,SCOPUS,1,,,,,,,,,,4,,,,2-s2.0-83655181241,,,,,1433,1422,,,,,Scopus,,,,Article,,,67,,2011,2011,1,0,3,Author2
