Title,Abstract,Access Type,Affiliations,Art. No.,Author Affiliations,Authors,Authors with affiliations,Citation Count,Copyright Year,DOI,Database,DOI counts,DOI count,Date Added To Xplore,End Page,Funding Information,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,ISBN,ISSN,Issue,Issue Date,Journal,Source Title,Keywords,License,Local ID,Meeting Date,Mesh_Terms,Online Date,PDF Link,Page count,Page end,Page start,Pages,Patent Citation Count,Publisher,Reference Count,Source,Source ISBN,Source ISSN,Source Title,Start Page,Type,URL,Unnamed: 12,Volume,Volume.1,Year,acronym,booktitle,cluster_id,conf_loc,description,edition,issue_date,issue_no,key,month,num_pages,num_versions,number,pages,pdf_url,publisher_loc,url_citation,url_citations,venue
Sequential approaches for learning datum-wise sparse representations,"In supervised classification, data representation is usually considered at the dataset level: one looks for the ""best"" representation of data assuming it to be the same for all the data in the data space. We propose a different approach where the representations used for classification are tailored to each datum in the data space. One immediate goal is to obtain sparse datum-wise representations: our approach learns to build a representation specific to each datum that contains only a small subset of the features, thus allowing classification to be fast and efficient. This representation is obtained by way of a sequential decision process that sequentially chooses which features to acquire before classifying a particular point; this process is learned through algorithms based on Reinforcement Learning. The proposed method performs well on an ensemble of medium-sized sparse classification problems. It offers an alternative to global sparsity approaches, and is a natural framework for sequential classification problems. The method extends easily to a whole family of sparsity-related problem which would otherwise require developing specific solutions. This is the case in particular for cost-sensitive and limited-budget classification, where feature acquisition is costly and is often performed sequentially. Finally, our approach can handle non-differentiable loss functions or combinatorial optimization encountered in more complex feature selection problems. © 2012 The Author(s).",,"UPMC, LIP6, Université Pierre et Marie Curie, 4 Place Jussieu Case 169, Paris 75005, France; LIFL (UMR CNRS) and INRIA Lille Nord-Europe, Université de Lille, Villeneuve d'Ascq, France",,,"Dulac-Arnold G., Denoyer L., Preux P., Gallinari P.","Dulac-Arnold, G., UPMC, LIP6, Université Pierre et Marie Curie, 4 Place Jussieu Case 169, Paris 75005, France; Denoyer, L., UPMC, LIP6, Université Pierre et Marie Curie, 4 Place Jussieu Case 169, Paris 75005, France; Preux, P., LIFL (UMR CNRS) and INRIA Lille Nord-Europe, Université de Lille, Villeneuve d'Ascq, France; Gallinari, P., UPMC, LIP6, Université Pierre et Marie Curie, 4 Place Jussieu Case 169, Paris 75005, France",6,,10.1007/s10994-012-5306-7,SCOPUS,1,,,,,,,,,,1-2,,,Machine Learning,Classification; Features selection; Reinforcement learning; Sequential models; Sparsity,,2-s2.0-84865273017,,,,,,122,87,,,,,Scopus,,,Machine Learning,,Article,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865273017&doi=10.1007%2fs10994-012-5306-7&partnerID=40&md5=711ea68e179921d4c90e65895e356bde,,89,,2012,,,,,,,,,,,,,,,,,,,
Automated negotiation in multiple e-Marketplaces by using Learning Personalized Mobile Shopping Agents,"In the B2C- or C2C- based e-Marketplaces, the same merchandise is sold by different sellers in different e-Marketplaces. The trading platforms nowadays has resulted in information explosion that makes buyers unable to retrieve and analyze entire merchandise information easily and, therefore, decreases their negotiation power. Moreover, without the records of buyers ' transaction preference, it 's not easy for most agent systems to help common buyers to increase their negotiation power. In this paper, we propose the Learning Personalized Mobile Shopping Agent (LPMSA) and apply it to three e-Marketplace architectures: alliance, broker, noncooperation. The buyer can dispatch mobile agents to multiple e-Marketplaces for collecting merchandise information, negotiating with sellers, and buying merchandise from the above architectures. Furthermore, the agent can learn more about buyer's preference. As a result, the proposed architecture can not only find suitable trading partners for buyers but also help them to get better deals.",,"Department of Information Management, Chaoyang University of Technology, 168, GiFeng East Road, Wufeng, Taichung County, Taiwan",,,"Lee F.-M., Li L.-H., Liu Y.-C.","Lee, F.-M., Department of Information Management, Chaoyang University of Technology, 168, GiFeng East Road, Wufeng, Taichung County, Taiwan; Li, L.-H., Department of Information Management, Chaoyang University of Technology, 168, GiFeng East Road, Wufeng, Taichung County, Taiwan; Liu, Y.-C., Department of Information Management, Chaoyang University of Technology, 168, GiFeng East Road, Wufeng, Taichung County, Taiwan",,,,SCOPUS,0,,,,,,,,,,,,,"Proceedings of the International Conference on Artificial Intelligence, IC-AI'04",Automated Negotiation; E-Marketplace; Mobile Agent; Reinforcement Learning,,2-s2.0-12744281483,,,,,,783,777,,,,,Scopus,,,"Proceedings of the International Conference on Artificial Intelligence, IC-AI'04",,Conference Paper,https://www.scopus.com/inward/record.uri?eid=2-s2.0-12744281483&partnerID=40&md5=d315d9774254985d85ee436efabd63d8,,2,,2004,,,,,,,,,,,,,,,,,,,
Personalised Human-Robot Co-Adaptation in Instructional Settings using Reinforcement Learning,"In the domain of robotic tutors, personalised tutoring has started to receive scientists' attention, but is still relatively underexplored. Previous work using reinforcement learning (RL) has addressed personalised tutoring from the perspective of affective policy learning. In …",,,,,,,1,,,Google Scholar,0,,,,,,,,,,,,,,,,,,,,"http://scholar.google.com/scholar?cluster=14209507154038331625&hl=en&as_sdt=0,5",,,,,,,,,,,,,,http://www.diva-portal.org/smash/get/diva2:1162389/FULLTEXT01.pdf,,,,2017,,,1.42095071540383E+019,,,,,,,,,3,,,http://www.diva-portal.org/smash/get/diva2:1162389/FULLTEXT01.pdf,,,"http://scholar.google.com/scholar?cites=14209507154038331625&as_sdt=2005&sciodt=0,5&hl=en",
Multi-agent quality of experience control,"In the framework of the Future Internet, the aim of the Quality of Experience (QoE) Control functionalities is to track the personalized desired QoE level of the applications. The paper proposes to perform such a task by dynamically selecting the most appropriate Classes of Service (among the ones supported by the network), this selection being driven by a novel heuristic Multi-Agent Reinforcement Learning (MARL) algorithm. The paper shows that such an approach offers the opportunity to cope with some practical implementation problems: in particular, it allows to face the so-called “curse of dimensionality” of MARL algorithms, thus achieving satisfactory performance results even in the presence of several hundreds of Agents. © 2017, Institute of Control, Robotics and Systems and The Korean Institute of Electrical Engineers and Springer-Verlag Berlin Heidelberg.",,"Department of Computer, Control and Management Engineering “Antonio Ruberti”, University of Rome “La Sapienza”, via Ariosto 25, Rome, Italy; eCampus University, via Isimbardi 10, Novedrate, Italy",,,"Delli Priscoli F., Di Giorgio A., Lisi F., Monaco S., Pietrabissa A., Celsi L.R., Suraci V.","Delli Priscoli, F., Department of Computer, Control and Management Engineering “Antonio Ruberti”, University of Rome “La Sapienza”, via Ariosto 25, Rome, Italy; Di Giorgio, A., Department of Computer, Control and Management Engineering “Antonio Ruberti”, University of Rome “La Sapienza”, via Ariosto 25, Rome, Italy; Lisi, F., Department of Computer, Control and Management Engineering “Antonio Ruberti”, University of Rome “La Sapienza”, via Ariosto 25, Rome, Italy; Monaco, S., Department of Computer, Control and Management Engineering “Antonio Ruberti”, University of Rome “La Sapienza”, via Ariosto 25, Rome, Italy; Pietrabissa, A., Department of Computer, Control and Management Engineering “Antonio Ruberti”, University of Rome “La Sapienza”, via Ariosto 25, Rome, Italy; Celsi, L.R., Department of Computer, Control and Management Engineering “Antonio Ruberti”, University of Rome “La Sapienza”, via Ariosto 25, Rome, Italy; Suraci, V., eCampus University, via Isimbardi 10, Novedrate, Italy",5,,10.1007/s12555-015-0465-5,SCOPUS,1,,,,,,,,,,2,,,"International Journal of Control, Automation and Systems",Future internet; multi-agent reinforcement learning; quality of experience; quality of service,,2-s2.0-85009932576,,,,,,904,892,,,,,Scopus,,,"International Journal of Control, Automation and Systems",,Article,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85009932576&doi=10.1007%2fs12555-015-0465-5&partnerID=40&md5=17ab2471409262bc448290a2494ab7e4,,15,,2017,,,,,,,,,,,,,,,,,,,
"Erratum to: MRL-SCSO: Multi-agent Reinforcement Learning-Based Self-Configuration and Self-Optimization Protocol for Unattended Wireless Sensor Networks (Wireless Personal Communications, (2017), 96, 4, (5061-5079), 10.1007/s11277-016-3729-3)","In the original publication, the variable Er in Eq. (5) should read Er and the three levels mentioned in the text between Eqs. (8) and (9) should have read ‘α, β, and Γ’ instead of ‘α, β, and γ.’. © 2017, Springer Science+Business Media New York.",,"Mobile Ad-hoc and Sensor Network Lab, TIFAC-CORE in Pervasive Computing Technologies, Velammal Engineering College, Chennai, India; Department of Computer Science and Engineering, Sri Krishna College of Engineering and Technology, Coimbatore, India",,,"Pravin Renold A., Chandrakala S.","Pravin Renold, A., Mobile Ad-hoc and Sensor Network Lab, TIFAC-CORE in Pervasive Computing Technologies, Velammal Engineering College, Chennai, India; Chandrakala, S., Department of Computer Science and Engineering, Sri Krishna College of Engineering and Technology, Coimbatore, India",,,10.1007/s11277-016-3832-5,SCOPUS,1,,,,,,,,,,4,,,Wireless Personal Communications,,,2-s2.0-84992349001,,,,,,,5081,,,,,Scopus,,,Wireless Personal Communications,,Erratum,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84992349001&doi=10.1007%2fs11277-016-3832-5&partnerID=40&md5=d0b9e0407f8fd1fbae0768b468384dea,,96,,2017,,,,,,,,,,,,,,,,,,,
Recency gets larger as lesions move from anterior to posterior locations within the ventromedial prefrontal cortex,"In the past two decades neuroimaging research has substantiated the important role of the prefrontal cortex (PFC) in decision-making. In the current study, we use the complementary lesion based approach to deepen our knowledge concerning the specific cognitive mechanisms modulated by prefrontal activity. Specifically, we assessed the brain substrates implicated in two decision making dimensions in a sample of prefrontal cortex patients: (a) the tendency to differently weigh recent compared to past experience; and (b) the tendency to differently weigh gains compared to losses. The participants performed the Iowa Gambling Task, a complex experience-based decision-making task [3], which was analyzed with a formal cognitive model (the Expectancy-Valance model; [12]). The results indicated that decisions become influenced by more recent, as opposed to older, events when the damage reaches the posterior sectors of the ventromedial prefrontal cortex (VMPC). Furthermore, the degree of this recency deficit was related to the size of the lesion. These results suggest that the posterior area of the prefrontal cortex directly modulates the capacity to use time-delayed information. In contrast, we did not find similar modulation for the sensitivity to gains versus losses. © 2010 Elsevier B.V.",,"Max Wertheimer Minerva Center for Cognitive Studies, Faculty of Industrial Engineering and Management, Technion - Israel Institute of Technology, Haifa 32000, Israel; USC Neuroscience, University of Southern California, Los Angeles, CA 90033, United States",,,"Hochman G., Yechiam E., Bechara A.","Hochman, G., Max Wertheimer Minerva Center for Cognitive Studies, Faculty of Industrial Engineering and Management, Technion - Israel Institute of Technology, Haifa 32000, Israel; Yechiam, E., Max Wertheimer Minerva Center for Cognitive Studies, Faculty of Industrial Engineering and Management, Technion - Israel Institute of Technology, Haifa 32000, Israel; Bechara, A., USC Neuroscience, University of Southern California, Los Angeles, CA 90033, United States",8,,10.1016/j.bbr.2010.04.023,SCOPUS,1,,,,,,,,,,1,,,Behavioural Brain Research,Cognitive models; Recency; Reinforcement learning; Risk taking,,2-s2.0-77953362266,,,,,,34,27,,,,,Scopus,,,Behavioural Brain Research,,Article,https://www.scopus.com/inward/record.uri?eid=2-s2.0-77953362266&doi=10.1016%2fj.bbr.2010.04.023&partnerID=40&md5=aa7b60b245add046b6257561846611c7,,213,,2010,,,,,,,,,,,,,,,,,,,
Towards learning reward functions from user interactions,"In the physical world, people have dynamic preferences, e.g., the same situation can lead to satisfaction for some humans and to frustration for others. Personalization is called for. The same observation holds for online behavior with interactive systems. It is natural to represent the behavior of users who are engaging with interactive systems such as a search engine or a recommender system, as a sequence of actions where each next action depends on the current situation and the user reward of taking a particular action. By and large, current online evaluation metrics for interactive systems such as search engines or recommender systems, are static and do not reflect differences in user behavior. They rarely capture or model the reward experienced by a user while interacting with an interactive system.We argue that knowing a user's reward function is essential for an interactive system as both for learning and evaluation. We propose to learn users' reward functions directly from observed interaction traces. In particular, we present how users' reward functions can be uncovered directly using inverse reinforcement learning techniques. We also show how to incorporate user features into the learning process. Our main contribution is a novel and dynamic approach to restore a user's reward function. We present an analytic approach to this problem and complement it with initial experiments using the interaction logs of a cultural heritage institution that demonstrate the feasibility of the approach by uncovering different reward functions for different user groups. © 2017 Copyright held by the owner/author(s).",,"University of Amsterdam, Amsterdam, Netherlands; UserSat.com, University of Amsterdam, Amsterdam, Netherlands",,,"Li Z., Kiseleva J., De Rijke M., Grotov A.","Li, Z., University of Amsterdam, Amsterdam, Netherlands; Kiseleva, J., UserSat.com, University of Amsterdam, Amsterdam, Netherlands; De Rijke, M., University of Amsterdam, Amsterdam, Netherlands; Grotov, A., University of Amsterdam, Amsterdam, Netherlands",,,10.1145/3121050.3121098,SCOPUS,1,,,,,,,,,,,,,ICTIR 2017 - Proceedings of the 2017 ACM SIGIR International Conference on the Theory of Information Retrieval,Interactive systems; Inverse reinforcement learning; Online evaluation,,2-s2.0-85033215376,,,,,,292,289,,,,,Scopus,,,ICTIR 2017 - Proceedings of the 2017 ACM SIGIR International Conference on the Theory of Information Retrieval,,Conference Paper,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85033215376&doi=10.1145%2f3121050.3121098&partnerID=40&md5=ddbe414389c116035f0fe3ceee854a01,,,,2017,,,,,,,,,,,,,,,,,,,
An immersive learning model using evolutionary learning,"In this article, we have proposed an educational model using virtual reality on a mobile platform by personalizing the simulated environments as per user actions. We have also proposed an evolutionary learning algorithm based on which the user learning path is designed and the corresponding simulated learning environment is modified. The main objective of this study is to create a personalized learning path for each student as per their calibre and make the learning immersive and retainable using virtual reality. Our proposed model emulates the innate natural learning process in humans and uses that to customize the virtual simulations of the lessons by applying the evolutionary learning technique. A quasi-experimental study is conducted by taking different case studies to establish the effectiveness of our learning model. The results show that our learning model is immersive and gives long term retention while enhancing creativity through reinforced customization of the simulations. © 2017 Elsevier Ltd",,"Department of Computer Science and Engineering, Kyungpook National University, Daegu, South Korea; Department of Electronics and Telecommunication Engineering, Karpagam College of Engineering, Coimbatore, TN, India",,,"Bhattacharjee D., Paul A., Kim J.H., Karthigaikumar P.","Bhattacharjee, D., Department of Computer Science and Engineering, Kyungpook National University, Daegu, South Korea; Paul, A., Department of Computer Science and Engineering, Kyungpook National University, Daegu, South Korea; Kim, J.H., Department of Computer Science and Engineering, Kyungpook National University, Daegu, South Korea; Karthigaikumar, P., Department of Electronics and Telecommunication Engineering, Karpagam College of Engineering, Coimbatore, TN, India",1,,10.1016/j.compeleceng.2017.08.023,SCOPUS,1,,,,,,,,,,,,,Computers and Electrical Engineering,Education; Evolutionary learning; Immersive learning; Immersive virtual reality; m-learning; Personalized learning; Reinforcement learning,,2-s2.0-85032829128,,,,,,249,236,,,,,Scopus,,,Computers and Electrical Engineering,,Article,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032829128&doi=10.1016%2fj.compeleceng.2017.08.023&partnerID=40&md5=e276a65771f4540bb5bcd68a3cc6b0e1,,65,,2018,,,,,,,,,,,,,,,,,,,
On the relationship between learning capability and the Boltzmann-Formula,In this paper a combined use of reinforcement learning and simulated annealing is treated. Most of the simulated annealing methods suggest using heuristic temperature bounds as the basis of annealing. Here a theoretically established approach tailored to reinforcement learning following Softmax action selection policy will be shown. An application example of agent-based routing will also be illustrated. © Springer-Verlag Berlin Heidelberg 2001.,,"Computer and Automation Research Institute, Hungarian Academy of Sciences, Kende u. 13-17, Budapest, Hungary",,,"Stefán P., Monostori L.","Stefán, P., Computer and Automation Research Institute, Hungarian Academy of Sciences, Kende u. 13-17, Budapest, Hungary; Monostori, L., Computer and Automation Research Institute, Hungarian Academy of Sciences, Kende u. 13-17, Budapest, Hungary",2,,,SCOPUS,0,,,,,,,,,,,,,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),,,2-s2.0-77953822952,,,,,,236,227,,,,,Scopus,,,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),,Conference Paper,https://www.scopus.com/inward/record.uri?eid=2-s2.0-77953822952&partnerID=40&md5=bb5fa3ea3da126332e9faf22e1a5b4f3,,2070,,2001,,,,,,,,,,,,,,,,,,,
Distributed Q-learning based dynamic spectrum access in high capacity density cognitive cellular systems using secondary LTE spectrum sharing,"In this paper a distributed Q-learning based dynamic spectrum access (DSA) algorithm is applied to a cognitive cellular system designed for providing ultra high capacity density with only secondary access to an LTE channel. Large scale simulations of a stadium temporary event scenario show that the distributed Q-learning based DSA scheme provides robust quality of service (QoS) and extremely high system throughput densities to the users of the stadium network, whilst successfully coexisting with a primary network of macro eNodeBs on the same LTE channel. It is also shown that incorporating spectrum awareness or spectrum sensing based admission control into the DSA algorithm in this scenario does not improve its performance. Therefore, distributed Q-learning based DSA is a viable and easily implementable solution for facilitating secondary LTE spectrum sharing in high capacity density cognitive cellular systems.",,,,"Department of Electronics, University of York, Heslington, YO10 5DD, United Kingdom",N. Morozs; D. Grace; T. Clarke,,4,,10.1109/WPMC.2014.7014863,IEEE Xplore,1,,20150122,467,,Cognitive radio;Data models;Interference;Quality of service;Sensors;Throughput,Long Term Evolution;cellular radio;channel allocation;cognitive radio;learning (artificial intelligence);quality of service;radio spectrum management;signal detection;telecommunication computing;telecommunication congestion control,LTE channel secondary access;admission control;distributed Q-learning;dynamic spectrum access;high capacity density cognitive cellular systems;macro eNodeBs;quality of service;secondary LTE spectrum sharing;spectrum awareness;spectrum sensing,,1347-6890;13476890,,7-10 Sept. 2014,,2014 International Symposium on Wireless Personal Multimedia Communications (WPMC),Cognitive Cellular Systems;Dynamic Spectrum Access;Reinforcement Learning;Small Cells;Spectrum Sharing,,,,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7014863,,,,,,IEEE,23,,Electronic:978-9860-3-3407-4,,2014 International Symposium on Wireless Personal Multimedia Communications (WPMC),462,IEEE Conferences,,,,,2014,,,,,,,,,,,,,,,,,,,
A Fast Interactive Search System for Healthcare Services,"In this paper we describe the design, development, and evaluation of a general human-machine interaction search system, and its potential and use in the context of a collaboration project with SAP and Saffron. The objective of a specialized version of the system is to provide medical and healthcare information services to users via interactive search for personalized patient needs. Patients usually have questions regarding healthcare, including those which concern illness symptoms, duration and types of treatment, possible drug effects, and more. Authorized personnel would often be ideal in responding to such needs; however they could potentially be very expensive, and not easy to support and maintain. If patients could have access to information at their home, by means of i-phone or online access, this could save time, doctor office visit expenses, as well as valuable and restricted medical time. What is more, information concerning other anonymized and similar patient cases provides knowledge and perspective on a wide range of patient issues. From the doctors' perspective, they typically need to spend time on differential analysis about new patient cases: study symptoms, research possible causes, rank results by emergency priority and treat them accordingly. A search system that would direct a doctor (or patient/user) to similar patient cases would save significant amount of manual search time. The powerful new feature of this system is the storage and mining of past patient cases knowledge, to create metadata to be used in the subsequent retrieval of relevant documents. Finally, the interactive search system would speed up identification of rare cases; for instance, symptoms that do not appear commonly in past cases may require special treatment or expert referral. We build a model which dynamically learns medical needs of interacting MDs and patients. The model works on free or unstructured text, allowing disambiguation of vague words and flexibility in descri- ing medical needs. In addition, both experts with an advanced knowledge of medical terminology, and beginning users using basic medical terms, can achieve high search relevance. Furthermore, our approach obviates the need for the assignment of tags or labels, such as treatment, symptoms, causes, to documents, to respond effectively to user queries. In particular, we build a temporal difference algorithm to predict user's information needs by incorporating both current and predicted knowledge into learning the user profile. Our source of information about the user consists of submitted queries and feedback on the returned results. We tested our system on publicly available medical data (OhsuMed TREC dataset 2002) and we achieved a significant improvement in retrieval accuracy, compared to the literature. We provide quantitative results as well as demonstration screenshots which illustrate a) the value of interaction (user time spent with system versus results accuracy), b) the value of using medical terminology understanding, when compared with simple general words, and c) the value of allowing the maximum number of feedback submissions to vary.",,,,"Technol. & Inf. Manage., Univ. of California Santa Cruz, Santa Cruz, CA, USA",M. Daltayanni; C. Wang; R. Akella,,0,,10.1109/SRII.2012.65,IEEE Xplore,1,,20120924,534,,Diseases;Information services;Medical diagnostic imaging;Senior citizens;Terminology;Unified modeling language,data mining;health care;human computer interaction;information needs;information retrieval;interactive systems;medical information systems;text analysis,SAP;Saffron;basic medical terms;collaboration project;data mining;data storage;differential analysis;document retrieval;fast interactive search system;free or unstructured text;healthcare information services;human-machine interaction search system;information needs;medical information services;medical terminology;metadata;patient cases knowledge;patient issues;personalized patient needs;publicly available medical data;rare cases;submitted queries;temporal difference algorithm;unstructured text,,2166-0778;21660778,,24-27 July 2012,,2012 Annual SRII Global Conference,healthcare information services;interactive retrieval;medical data retrieval;reinforcement learning;temporal difference,,,,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6311035,,,,,,IEEE,25,,Electronic:978-1-5090-5643-9; POD:978-1-4673-2318-5; USB:978-0-7695-4770-1,,2012 Annual SRII Global Conference,525,IEEE Conferences,,,,,2012,,,,,,,,,,,,,,,,,,,
Clyde: A deep reinforcement learning DOOM playing agent,"In this paper we present the use of deep reinforcement learning techniques in the context of playing partially observable multi-agent 3D games. These techniques have traditionally been applied to fully observable 2D environments, or navigation tasks in 3D environments. We show the performance of Clyde in comparison to other competitors within the context of the ViZDOOM competition that saw 9 bots compete against each other in DOOM death matches. Clyde managed to achieve 3rd place in the ViZDOOM competition held at the IEEE Conference on Computational Intelligence and Games 2016. Clyde performed very well considering its relative simplicity and the fact that we deliberately avoided a high level of customisation to keep the algorithm generic. © 2017, Association for the Advancement of Artificial Intelligence (www.aaai.org). All rights reserved.",,"University of Essex, Colchester, United Kingdom; University of York, York, United Kingdom",,,"Ratcliffe D.S., Devlin S., Kruschwit U., Citi Z.","Ratcliffe, D.S., University of Essex, Colchester, United Kingdom; Devlin, S., University of York, York, United Kingdom; Kruschwit, U., University of Essex, Colchester, United Kingdom; Citi, Z., University of Essex, Colchester, United Kingdom",1,,,SCOPUS,0,,,,,,,,,,,,,AAAI Workshop - Technical Report,,,2-s2.0-85044754102,,,,,,990,983,,,,,Scopus,,,AAAI Workshop - Technical Report,,Conference Paper,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044754102&partnerID=40&md5=c4dd4a346b27c0a2bdfdef7601a4fc4e,,WS-17-01 - WS-17-15,,2017,,,,,,,,,,,,,,,,,,,
Self-organized femto-to-macro interference coordination with partial information,"In this paper we propose a self-organized method for Intercell Interference Coordination (ICIC) between femto and macro layers. We consider the challenging situation where femtocells are completely autonomous, i.e. they do not receive feedback from the macro network. The absence of a macro to femto interface is compliant with 3GPP Releases 10. We propose a distributed learning approach, based on Reinforcement Learning (RL), for environments characterized by partial information, due to the lack of communication between femtos and macros. The theory behind this approach is funded in the Partially Observable Markov Decision Process (POMDP). The POMDP requires to construct a set of beliefs about the environment. These beliefs are constructed following the spatial Interpolation theory, which allows to estimate the interference perceived by the macrousers. Simulation results show that, through the proposed methodology, femtocells can autonomously learn a transmission power policy to manage the aggregated interference at macrousers. Performances are compared to the complete information situation, which is compliant with the status of Release 11.",,,,"Centre Tecnol. de Telecomunicacions de Catalunya (CTTC), Castelldefels, Spain",A. Galindo-Serrano; L. Giupponi,,0,,10.1109/PIMRCW.2013.6707847,IEEE Xplore,1,,20140109,116,,Estimation;Femtocells;Interference;Interpolation;Macrocell networks;OFDM;Signal to noise ratio,Markov processes;femtocellular radio;learning (artificial intelligence);telecommunication computing,3GPP Releases 10;POMDP;RL;distributed learning approach;femtocell;intercell interference coordination;macrouser;partially observable Markov decision process;reinforcement learning;self-organized femto-to-macro interference coordination;spatial interpolation theory;transmission power policy,,,,8-9 Sept. 2013,,"2013 IEEE 24th International Symposium on Personal, Indoor and Mobile Radio Communications (PIMRC Workshops)",Femtocell network;POMDP;interference management;multiagent system;spatial interpolation,,,,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6707847,,,,,1,IEEE,16,,Electronic:978-1-4799-0122-7; POD:978-1-4799-0121-0; USB:978-1-4799-0120-3,,"2013 IEEE 24th International Symposium on Personal, Indoor and Mobile Radio Communications (PIMRC Workshops)",111,IEEE Conferences,,,,,2013,,,,,,,,,,,,,,,,,,,
A game-theoretic framework with reinforcement learning for multinode cooperation in wireless networks,"In this paper, a game-theoretic framework based on the iterated prisoner's dilemma (IPD) is proposed to model the repeated dynamic interactions of multiple source nodes when communicating with multiple destinations in ad-hoc wireless networks. In such networks where nodes are autonomous, selfish, and not familiar with other nodes' strategies, fully cooperative behaviors cannot be assumed. Thus, a Q-learning algorithm is proposed to allow network nodes to adapt to and play the IPD game against opponents with a variety of known and unknown strategies. Simulation results illustrate that the proposed Q-learning algorithm allows network nodes to play optimally and achieve their maximum expected return values.",,,,"Dept. of Electr. Eng., Kuwait Univ., Kuwait City, Kuwait",M. W. Baidas,,2,,10.1109/PIMRC.2013.6666280,IEEE Xplore,1,,20131125,986,,Broadcasting;Convergence;Games;Learning (artificial intelligence);Silicon;Thin film transistors;Wireless networks,ad hoc networks;cooperative communication;game theory;learning (artificial intelligence);telecommunication computing,IPD;IPD game;Q-learning algorithm;ad-hoc wireless networks;fully cooperative behaviors;game-theoretic framework;iterated prisoner dilemma;multinode cooperation;multiple source nodes;network nodes;reinforcement learning,,2166-9570;21669570,,8-11 Sept. 2013,,"2013 IEEE 24th Annual International Symposium on Personal, Indoor, and Mobile Radio Communications (PIMRC)",Amplify-and-forward (AF);Q-learning;cooperation;game-theory;prisoner's dilemma;reinforcement learning,,,,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6666280,,,,,,IEEE,21,,Electronic:978-1-4673-6235-1; POD:978-1-4673-6233-7; USB:978-1-4673-6234-4,,"2013 IEEE 24th Annual International Symposium on Personal, Indoor, and Mobile Radio Communications (PIMRC)",981,IEEE Conferences,,,,,2013,,,,,,,,,,,,,,,,,,,
A reinforcement self-learning model on an intelligent behavior avatar in a virtual world,"In this paper, a novel method for personal intelligent behavior avatar (IBA) is proposed to acquire autonomous behavior based on the interactions between user and smart objects in the virtual environment. In this method, the behavior decision model and the self-learning model are integrated by Bayesian networks and reinforcement learning. The Bayesian networks can treat interaction experiences using statistical processes, and the sureness of decision making is represented by certainty factors using stochastic reasoning. The reinforcement learning is implemented by learning experimentation or trial and error mechanisms to improve the performance of IBA through feedback. Therefore, the IBA makes a strategic decision that is approximated and appropriate to the user through the self-learning process by reinforcement learning. Finally, the feasibility of this method is investigated by imitating user's behavior and the results of self-learning process. The results of simulation show that the method is successful in imitating user's behavior and improving the performance of IBA",,,,"Dept. of Inf. Eng., Tamkang Univ., Tamsui, Taiwan",Jui-Fa Chen; Wei-Chuan Lin; Hua-Sheng Bai; Hsiao-Chuan Chao,,0,,10.1109/SUTC.2006.1636185,IEEE Xplore,1,,20060619,,,Artificial intelligence;Avatars;Bayesian methods;Chaos;Decision making;Educational institutions;Information technology;Intelligent agent;Learning;Virtual environment,approximation theory;avatars;belief networks;decision making;heuristic programming;statistical analysis;unsupervised learning,Bayesian network;IBA;approximation theory;behavior decision model;learning experimentation;personal intelligent behavior avatar;reinforcement self-learning model;statistical process;stochastic reasoning;strategic decision making,,,,5-7 June 2006,,"IEEE International Conference on Sensor Networks, Ubiquitous, and Trustworthy Computing (SUTC'06)",,,,,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1636185,,,,,,IEEE,11,,POD:0-7695-2553-9,,"IEEE International Conference on Sensor Networks, Ubiquitous, and Trustworthy Computing (SUTC'06)",7 pp.,IEEE Conferences,,,1,,2006,,,,,,,,,,,,,,,,,,,
