Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication_Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
<formula><tex>$mathsf{Hap-SliceR}$</tex></formula>: A Radio Resource Slicing Framework for 5G Networks With Haptic Communications,A. Aijaz,"Telecommunications Research Laboratory, Toshiba Research Europe, Ltd., Bristol, BS1 4ND, U.K.&#x00A0;(e-mail: adnan.aijaz@toshiba-trel.com).",IEEE Systems Journal,,2017,Early Access,Early Access,1,12,"It is expected that the emerging 5G networks will not only support diverse use cases, but also enable unprecedented applications such as haptic communications. Therefore, network slicing will provide the required design flexibility. Radio resource slicing would be an indispensable component of any network slicing solution. This paper proposes <formula><tex>$mathsf{Hap-SliceR}$</tex></formula>, which is a novel radio resource slicing framework for 5G networks with haptic communications. First, <formula><tex>$mathsf{Hap-SliceR}$</tex></formula> derives a network-wide radio resource slicing strategy for 5G networks. The optimal slicing strategy, which is based on a reinforcement learning approach, allocates radio resources to different slices while accounting for the dynamics and utility requirements of different slices. Second, <formula><tex>$mathsf{Hap-SliceR}$</tex></formula> provides customization of radio resources for haptic communications over 5G networks. The radio resource allocation requirements of haptic communications have been translated into a unique radio resource allocation problem. A low-complexity heuristic algorithm has been developed for resource allocation. Finally, a comprehensive performance evaluation of <formula><tex>$mathsf{Hap-SliceR}$</tex></formula> has been conducted based on a recently proposed 5G air-interface design.",1932-8184;19328184,,10.1109/JSYST.2017.2647970,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7831356,5G;LTE-A;haptic communications;radio resource allocation;radio resource slicing;virtualization,5G mobile communication;Base stations;Dynamic scheduling;Haptic interfaces;Resource virtualization;Wireless communication,,,,,,,,,20170124,,,IEEE,IEEE Early Access Articles
Contextual multi-armed bandit algorithms for personalized learning action selection,I. Manickam; A. S. Lan; R. G. Baraniuk,"Rice University, United States of America","2017 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",20170619,2017,,,6344,6348,"Optimizing the selection of learning resources and practice questions to address each individual student's needs has the potential to improve students' learning efficiency. In this paper, we study the problem of selecting a personalized learning action for each student (e.g. watching a lecture video, working on a practice question, etc.), based on their prior performance, in order to maximize their learning outcome. We formulate this problem using the contextual multi-armed bandits framework, where students' prior concept knowledge states (estimated from their responses to questions in previous assessments) correspond to contexts, the personalized learning actions correspond to arms, and their performance on future assessments correspond to rewards. We propose three new Bayesian policies to select personalized learning actions for students that each exhibits advantages over prior work, and experimentally validate them using real-world datasets.",,Electronic:978-1-5090-4117-6; POD:978-1-5090-4118-3; USB:978-1-5090-4116-9,10.1109/ICASSP.2017.7953377,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7953377,contextual bandits;personalized learning,Approximation algorithms;Bayes methods;Context;Programmable logic arrays;Random variables;Schedules;Uncertainty,educational institutions,Bayesian policies;contextual multi-armed bandit algorithms;learning resources;personalized learning action selection;prior concept knowledge states;student learning efficiency,,,,,,,,5-9 March 2017,,IEEE,IEEE Conferences
User modeling with limited data: Application to stakeholder-driven watershed design,S. Mukhopadhyay; V. B. Singh; M. Babbar-Sebens,"Computer & Information Science, Indiana University Purdue University Indianapolis, USA","2014 IEEE International Conference on Systems, Man, and Cybernetics (SMC)",20141204,2014,,,3855,3860,"We have developed a web-based, interactive, watershed planning system called WRESTORE (Watershed Restoration Using Spatio-Temporal Optimization of Resources) (http://wrestore.iupui.edu) that allows stake-holder communities to participate in a democratic, collaborative form of optimization process for designing best management practices (BMPs) on their landscape, while also optimizing based on subjective, qualitative landowners' criteria beyond the usual socio-economic, physical, and ecological criteria. This system utilizes multiple advanced computational approaches including the SWAT (Soil and Water Assessment Tool) hydrologic model for watershed simulations, interactive genetic algorithms and reinforcement-based machine learning algorithms for search and optimization, and deep learning artificial neural networks for user modeling, within an encompassing human-computer interaction framework. A substantial user study of the WRESTORE system was conducted recently involving multiple real stakeholders varying from consultants, government officials, watershed alliance members, etc., with the objective of gaining insight about WRESTORE'S usability and utility. In particular focus was the user modeling component that develops a computational model of a user's preferences and criteria, based on real-time user-provided ratings for a subset of possible designs (similar to the idea of user profiling commonly done for human-computer interaction systems). The user model constructed based on the real user's personalized feedbacks can then be used to influence the automated search and optimization for BMP alternatives in WRESTORE. In this paper, we describe the methods developed for user modeling for interactive optimization, and the experimental set-up as well as results with real user studies. These results clearly demonstrate that development of user models for such personalized, interactive optimization is both feasible and valuable for developing community-based computa- ional water sustainability solutions.",1062-922X;1062922X,Electronic:978-1-4799-3840-7; POD:978-1-4799-3841-4; USB:978-1-4799-3839-1,10.1109/SMC.2014.6974532,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6974532,decision support system;interactive optimization;machine learning;sustainability design;user modeling,Adaptation models;Artificial neural networks;Computational modeling;Data models;Mathematical model;Optimization,Internet;environmental science computing;human computer interaction;hydrology;interactive systems;learning (artificial intelligence);neural nets;socio-economic effects;water resources,BMP;SWAT hydrologic model;WRESTORE;Web-based interactive watershed planning system;best management practices;community-based computational water sustainability solutions;deep learning artificial neural networks;ecological criteria;human-computer interaction framework;interactive genetic algorithms;limited data;physical criteria;reinforcement-based machine learning algorithms;socio-economic criteria;soil and water assessment tool;stakeholder-driven watershed design;user modeling;watershed restoration using spatio-temporal optimization of resources,,0,,21,,,,5-8 Oct. 2014,,IEEE,IEEE Conferences
Learning motor skills with non-rigid materials by reinforcement learning,D. Shinohara; T. Matsubara; M. Kidode,"Graduate School of Information Science, Nara Institute of Science and Technology, Japan",2011 IEEE International Conference on Robotics and Biomimetics,20120412,2011,,,2676,2681,"This paper focuses on learning motor skills for anthropomorphic robots which must interact with non-rigid materials to perform tasks, such as wearing clothes, turning socks inside out, and bandaging. To learn such a motor skill, the task to be performed needs to be quantitatively defined using not only the state of the robot, but also the state of the non-rigid material. However, the non-rigid material is generally represented in a high dimensional configuration space (e.g., [1]) and obtaining such information in a real environment is difficult. In this paper we propose a novel learning framework for learning motor skills interacting with non-rigid materials by reinforcement learning that avoids these difficulties. Our learning framework focuses on the topological relationship between the configuration of the robot and the non-rigid material based on the consideration that most details of the material (e.g., wrinkles) are not important for performing the motor tasks. This focus allows us to define the task performance and provide reward signals based on a low-dimensional variable and to measure task performance in a real environment using reliable sensors. We constructed an experimental setting with an anthropomorphic dual-arm robot and a tailor-made T-shirt for the robot. To demonstrate the feasibility of the proposed method, we applied the method to have the robot perform the motor task of putting on the T-shirt. As a result of our learning framework, through trial and error the robot was able to acquire sequential movements that performed the goal of putting both arms into the corresponding sleeves of the T-shirt.",,DVD:978-1-4577-2137-3; Electronic:978-1-4577-2138-0; POD:978-1-4577-2136-6,10.1109/ROBIO.2011.6181709,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6181709,,Joints;Manipulators;Materials;Robot kinematics;Topology;Trajectory,humanoid robots;learning (artificial intelligence);motion control,anthropomorphic robot;dual-arm robot;high dimensional configuration space;low-dimensional variable;motor skill;nonrigid material;reinforcement learning;sequential movement;tailor-made T-shirt;topological relationship,,2,,18,,,,7-11 Dec. 2011,,IEEE,IEEE Conferences
Genetic reinforcement learning for scheduling heterogeneous machines,G. H. Kim; C. S. G. Lee,"Sch. of Electr. & Comput. Eng., Purdue Univ., West Lafayette, IN, USA",Proceedings of IEEE International Conference on Robotics and Automation,20020806,1996,3,,2798,2803 vol.3,"Concerns the development of a learning-based heuristic for scheduling heterogeneous machines. List scheduling methods are flexible enough to be used for a large class of problems, including the heterogeneous machine problem. However, designing a priority rule requires insight into the characteristics of the problem. We propose the iterative list scheduling, which refines priority rules while generating a number of schedules. We also show that the iterative list scheduling can be formulated as a reinforcement learning problem, defining states and actions. Due to the large number of possible states, reinforcement learning algorithms which use value functions in constructing an optimal policy may not be suitable for scheduling problems. Encoding the policies of reinforcement learning into genetic algorithms leads to the genetic reinforcement learning (GRL), which directly works with the policies rather than the values of states. A GRL-based scheduler, EVIS (Evolutionary Intracell Scheduler), has been applied to problems such as the heterogeneous machine scheduling, the job-shop scheduling, the flow-shop scheduling, and the open-shop scheduling problems. The proposed model of EVIS, which has the linear order of population-fitness convergence, was verified with computer experiments. Even without fine tuning of EVIS, the quality of solutions found by EVIS was comparable to that of problem-tailored heuristics for most of the problem instances",1050-4729;10504729,POD:0-7803-2988-0,10.1109/ROBOT.1996.506586,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=506586,,Biological cells;Encoding;Genetic algorithms;Genetic engineering;Iterative algorithms;Job shop scheduling;Learning;Processor scheduling;Scheduling algorithm;Space exploration,genetic algorithms;heuristic programming;iterative methods;learning (artificial intelligence);production control,EVIS;Evolutionary Intracell Scheduler;genetic reinforcement learning;heterogeneous machine scheduling;iterative list scheduling;learning-based heuristic;linear-order population-fitness convergence;optimal policy;reinforcement learning problem,,3,,16,,,,22-28 Apr 1996,22 Apr 1996-28 Apr 1996,IEEE,IEEE Conferences
Learning capabilities for improving automatic transmission control,L. Fournier,"Dept. of Comput. Sci., Stanford Univ., CA, USA","Intelligent Vehicles '94 Symposium, Proceedings of the",20020806,1994,,,455,460,"We analyzed the gear-box position selection (GPS) problem on automatic transmission (AT) and proposed an algorithm, based on learning control, to improve vehicle behavior and driver satisfaction. Our approach guarantees optimization of vehicle performance and adaptation to the driver's style with road condition sensitivity. This improvement has been achieved by combining three knowledge acquisition sources: embedded dynamic models of powertrain, inductive inspection of driver actions and AT designer expertise; and by adding learning capabilities in order to significantly increase the system autonomy. Technically, GPS raises the following four problems which this paper addresses: (1) To achieve vehicle performance optimization of multiple antagonistic criteria, locally and globally over time, we considered a parametric disciminant function depending on an evaluation of the driver satisfaction and so called driver-style-state functions, as a reward for the system, and applied a reinforcement learning algorithm, derived from Q-learning method and combined with a mechanism to escape local optima. (2) Learning directly from the driver is performed when he selects AT ratio in manual mode. (3) Each driver's personal style is represented by a Glass creation/selection mechanism. (4) GPS raises a few singularities which are addressed by a set of restriction rules derived from AT control expertise.",,POD:0-7803-2135-9,10.1109/IVS.1994.639561,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=639561,,Algorithm design and analysis;Automatic control;Global Positioning System;Inspection;Knowledge acquisition;Mechanical power transmission;Power system modeling;Road vehicles;Vehicle driving;Vehicle dynamics,intelligent control;learning (artificial intelligence);learning systems;road vehicles,Glass creation/selection mechanism;Q-learning method;automatic transmission control;driver satisfaction;driver-style-state functions;embedded dynamic models;gear-box position selection;inductive inspection;knowledge acquisition;learning control;multiple antagonistic criteria;parametric disciminant function;performance optimization;powertrain;reinforcement learning algorithm;road condition sensitivity;singularities;vehicle behavior,,1,1,5,,,,24-26 Oct. 1994,,IEEE,IEEE Conferences
Computer-aided process control laboratory systems,K. M. Yusof; T. K. Liong; A. K. Baderon,"Dept. of Chem. Eng., Univ. Teknologi Malaysia, Malaysia",Proceedings IEEE 1st International Conference on Multi Media Engineering Education,20020806,1994,,,276,280,"This paper presents the use of personal computers in the process control laboratory at the Department of Chemical Engineering, Universiti Teknologi Malaysia. A description of four control systems interfaced to computers-a flow control system, a level control system, a heated tank control system and a fermenter/batch reactor control system are given. Being versatile controllers and data loggers, the computers also provide a friendly and appealing environment for students to perform experiments on the systems. The different characteristic of each system provides a variety of hands-on experience which incorporates the application of process control and reinforcement of the theories learnt in class. Finally, a sample experiment is included to illustrate the application and experience gained by students",,POD:0-7803-1963-X,10.1109/MMEE.1994.383204,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=383204,,Application software;Chemical engineering;Computer interfaces;Control systems;Inductors;Laboratories;Level control;Microcomputers;Process control;Temperature control,computer aided instruction;control engineering computing;control engineering education;flow control;level control;process control,computer-aided process control laboratory systems;data loggers;fermenter/batch reactor control system;flow control system;heated tank control system;level control system;versatile controllers,,0,,,,,,6-8 Jul 1994,06 Jul 1994-08 Jul 1994,IEEE,IEEE Conferences
Multi-objective reinforcement learning algorithm and its application in drive system,Zhang Huajun; Zhao Jin; Wang Rui; Ma Tan,"Department of Control Science and Engineering, Huazhong University of Science and Technology, China",2008 34th Annual Conference of IEEE Industrial Electronics,20090123,2008,,,274,279,"Generally, reinforcement learning (RL) is used to design neurocontroller for control system with single objective. When facing multi-objective system, it is necessary to design the neurocontroller according to the personal preference. This paper proposed a multi-objective reinforcement learning algorithm (MORLA) to design neurocontroller with the personal preference. It transformed the multi-objective into synthetical objective and applied parallel genetic algorithm (PGA) to evolve the neurocontroller according to the synthetical objective. To establish the synthetical objective, the objective weight which represents the personal preference is calculated by solving the constrained optimization problem (COP) at the end of each generation. The COP requires not only the biggest variance of the synthetical objective in the population, but also requires the weight to fit the designerpsilas preference. After acquiring the weights, the PGA can select the elitists from the population according to the designerpsilas preference and design a satisfying neurocontroller by evolutionary operations. At last, the MORLA is used to design neurocontroller for a speed-controlled induction motor drive with indirect vector control. This paper designed several neurocontrollers with different personal preferences for the drive system. The simulation results show the feasibility and validity of the MORLA.",1553-572X;1553572X,CD-ROM:978-1-4244-1766-7; POD:978-1-4244-1767-4,10.1109/IECON.2008.4757965,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4757965,,Algorithm design and analysis;Constraint optimization;Control systems;Convergence;Design engineering;Design optimization;Electronics packaging;Genetic algorithms;Learning;Neurocontrollers,control system synthesis;genetic algorithms;induction motor drives;learning (artificial intelligence);machine control;neurocontrollers;velocity control,MORLA;constrained optimization problem;control system;drive system;indirect vector control;multiobjective reinforcement learning algorithm;neurocontroller;parallel genetic algorithm;speed-controlled induction motor drive,,1,,32,,,,10-13 Nov. 2008,,IEEE,IEEE Conferences
Visual summary of egocentric photostreams by representative keyframes,M. Bolaños; R. Mestre; E. Talavera; X. Giró-i-Nieto; P. Radeva,"Universitat de Barcelona, Catalonia/Spain",2015 IEEE International Conference on Multimedia & Expo Workshops (ICMEW),20150730,2015,,,1,6,"Building a visual summary from an egocentric photostream captured by a lifelogging wearable camera is of high interest for different applications (e.g. memory reinforcement). In this paper, we propose a new summarization method based on keyframes selection that uses visual features extracted by means of a convolutional neural network. Our method applies an unsupervised clustering for dividing the photostreams into events, and finally extracts the most relevant keyframe for each event. We assess the results by applying a blind-taste test on a group of 20 people who assessed the quality of the summaries.",,Electronic:978-1-4799-7079-7; POD:978-1-4799-7080-3,10.1109/ICMEW.2015.7169863,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7169863,egocentric;keyframes;lifelogging;summarization,Cameras;Feature extraction;Image segmentation;Indexes;Motion segmentation;Videos;Visualization,cameras;convolution;feature extraction;neural nets;pattern clustering;personal computing;unsupervised learning,blind-taste test;convolutional neural network;egocentric photostreams;keyframe selection;lifelogging wearable camera;memory reinforcement;representative keyframes;summarization method;unsupervised clustering;visual feature extraction;visual summary,,2,,17,,,,June 29 2015-July 3 2015,,IEEE,IEEE Conferences
Illustration about a Metacognition-based learning detection system conceived to improve web-based self-regulated learning,J. Liang,"Institute of Educational Technology, Institute of Education, Tsinghua University, Beijing, China",2011 International Conference on E-Business and E-Government (ICEE),20110616,2011,,,1,4,"Many learners have found that it is difficult to complete their web-based learning plan. Once on the Internet, they can't help browsing more interesting Web pages instead of continuing to do their learning tasks. This situation we called Information Trek. To solve this problem, this study proposes an learning detection system which can discover whether the contents of a web page a student viewing is about learning or not. If a student is detected to be in the state of viewing the non-learning pages, then the alert reinforcement window will be shown. If the attentive time in learning has been reached, then encouraging reinforcement feedback is given. We must consider adequately about personalization given the different levels of Metacognition. In this system, preferring the method to let learner go back to the learning state themselves, we design some functions to guide learners regulate themselves based on the essential process of online self-regulated leaning integrating Metacognitive process.",,Electronic:978-1-4244-8694-6; POD:978-1-4244-8691-5,10.1109/ICEBEG.2011.5886854,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5886854,learning detection system;metacognitive strategies;metacogniton;web-based self-regulated learning,Artificial neural networks;Conferences;Educational technology;Filtering;Helium;Text categorization;Web pages,,,,0,,10,,,,6-8 May 2011,,IEEE,IEEE Conferences
Adaptive joint call admission control and access network selection for multimedia wireless systems,E. Alexandri; G. Martinez; D. Zeghlache,"INT, Motorola Labs., Paris, France",The 5th International Symposium on Wireless Personal Multimedia Communications,20021216,2002,3,,1390,1394 vol.3,"Third generation wireless networks and beyond will solicit the cooperation of heterogeneous access networks, so as to provide multimedia traffic to different classes of users, with varying quality requisites over regions and time zones. We address the problem of how to partition the traffic demand efficiently onto the underlying radio access networks. The design objective is a resource allocation strategy, which provides a maximal resource utilization across all access networks. At the same time, the allocation should respect quality levels related to handover dropping performance; these levels can be predefined per service and per region. We propose a solution based on reinforcement learning, which runs independently at each of the cells of every access system, and report results. In the case where network revenue does not depend solely on resource utilization, but on parameters such as the type of service and/or the service duration, the method is readily extensible to include these factors.",1347-6890;13476890,POD:0-7803-7442-8,10.1109/WPMC.2002.1088408,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1088408,,Adaptive control;Call admission control;Communication system traffic control;Learning;Multimedia systems;Programmable control;Radio access networks;Resource management;Telecommunication traffic;Wireless networks,3G mobile communication;cellular radio;learning (artificial intelligence);multimedia communication;optimisation;quality of service;radio access networks;resource allocation;telecommunication congestion control;telecommunication traffic,adaptive access network selection;adaptive call admission control;handover dropping;multimedia traffic;network revenue;quality levels;radio access networks;reinforcement learning;resource allocation strategy;resource utilization optimization;third generation wireless networks,,7,,5,,,,27-30 Oct. 2002,,IEEE,IEEE Conferences
Framework for control and deep reinforcement learning in traffic,C. Wu; K. Parvate; N. Kheterpal; L. Dickstein; A. Mehta; E. Vinitsky; A. M. Bayen,"UC Berkeley, Electrical Engineering and Computer Science",2017 IEEE 20th International Conference on Intelligent Transportation Systems (ITSC),20180315,2017,,,1,8,"Recent advances in deep reinforcement learning (RL) offer an opportunity to revisit complex traffic control problems at the level of vehicle dynamics, with the aim of learning locally optimal policies (with respect to the policy parameterization) for a variety of objectives such as matching a target velocity or minimizing fuel consumption. In this article, we present a framework called CISTAR (Customized Interface for SUMO, TraCI, and RLLab) that integrates the widely used traffic simulator SUMO with a standard deep reinforcement learning library RLLab. We create an interface allowing for easy customization of SUMO, allowing users to easily implement new controllers, heterogeneous experiments, and user-defined cost functions that depend on arbitrary state variables. We demonstrate the usage of CISTAR with several benchmark control and RL examples.",,Electronic:978-1-5386-1526-3; POD:978-1-5386-1527-0; USB:978-1-5386-1525-6,10.1109/ITSC.2017.8317694,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8317694,Simulation;control;deep reinforcement learning;vehicle dynamics,Acceleration;Automobiles;Learning (artificial intelligence);Libraries;Machine learning;Roads;Vehicle dynamics,control engineering computing;learning (artificial intelligence);optimisation;road traffic control;road vehicles;traffic engineering computing;vehicle dynamics,Customized Interface;SUMO;benchmark control;fuel consumption minimization;locally optimal policies;policy parameterization;standard deep reinforcement learning library RLLab;traffic control;vehicle dynamics,,,,,,,,16-19 Oct. 2017,,IEEE,IEEE Conferences
Towards a learning framework for dancing robots,I. S. Tholley; Q. Meng; P. W. H. Chung,"Computer Science Department and Research School of Informatics, Loughborough University, UK",2009 IEEE International Conference on Control and Automation,20100208,2009,,,1581,1586,"How can we make robots learn how to dance? How do humans learn to dance? An emerging culture of dancing robots is becoming more prominent in the research community with more emphasis on how we can show of our own creativity rather than allowing the robots to develop their own cognitive and psychological behaviours to the music being played. There are many different types of music and indeed, many different robots and many ways, in which they can dance to music however, much of the work carried out in this field concern limiting robots to dance in particular ways to a specific music and no adaptive behaviour implemented in them to be able to respond intuitively to music in general. We propose in this paper, a way in which such a problem can begin to be looked into, by introducing fundamental things that should be learnt that are necessary for dancing. We programmed a virtual robot to learn to dance to the beat as well as recognise the downbeat of any time-signature and tailor its movements to the loudness of music, using the Sarsa and the Sarsa(Â¿) algorithms from reinforcement learning as the learning framework. Experimental results show that it is possible to make robots learn to dance to these fundamental rhythmic features of music.",1948-3449;19483449,POD:978-1-4244-4706-0,10.1109/ICCA.2009.5410324,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5410324,,Automatic control;Cognitive robotics;Computer science;Humans;Learning;Psychology;Rhythm;Robotics and automation;Robots;Timing,learning systems;robots,Sarsa algorithms;dancing robots;reinforcement learning;time-signature;virtual robot,,2,,20,,,,9-11 Dec. 2009,,IEEE,IEEE Conferences
Automated Ingestion Detection for a Health Monitoring System,W. P. Walker; D. K. Bhatia,"Embedded and Adaptive Computing Group, the University of Texas at Dallas, Richardson, TX, USA",IEEE Journal of Biomedical and Health Informatics,20140303,2014,18,2,682,692,"Obesity is a global epidemic that imposes a financial burden and increased risk for a myriad of chronic diseases. Presented here is an overview of a prototype automated ingestion detection (AID) process implemented in a health monitoring system (HMS). The automated detection of ingestion supports personal record keeping which is essential during obesity management. Personal record keeping allows the care provider to monitor the therapeutic progress of a patient. The AID-HMS determines the levels of ingestion activity from sounds captured by an external throat microphone. Features are extracted from the sound recording and presented to machine learning classifiers, where a simple voting procedure is employed to determine instances of ingestion. Using a dataset acquired from seven individuals consisting of consumption of liquid and solid, speech, and miscellaneous sounds, > 94% of ingestion sounds are correctly identified with false positive rates around 9% based on 10-fold cross validation. The detected levels of ingestion activity are transmitted and stored on a remote web server, where information is displayed through a web application operating in a web browser. This information allows remote users (health provider) determine meal lengths and levels of ingestion activity during the meal. The AID-HMS also provides a basis for automated reinforcement for the patient.",2168-2194;21682194,,10.1109/JBHI.2013.2279193,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6594833,Health monitoring;obesity management;patient empowerment;patient monitoring,Detectors;Feature extraction;Liquids;Microphones;Monitoring;Solids,Internet;data acquisition;diseases;epidemics;feature extraction;learning (artificial intelligence);medical signal processing;microphones;online front-ends;patient care;patient monitoring;pattern classification;signal classification;speech processing,AID-HMS;Web application;Web browser;automated ingestion detection;chronic diseases;dataset acquisition;external throat microphone;false positive rates;feature extraction;health monitoring system;ingestion activity;machine learning classifiers;miscellaneous sounds;myriad;obesity management;patient care;patient monitoring;personal record;prototype automated ingestion detection;remote Web server;sound recording;speech;therapeutic progress,0,4,,65,,,20130909,March 2014,,IEEE,IEEE Journals & Magazines
Imitation Learning for Dynamic VFI Control in Large-Scale Manycore Systems,R. G. Kim; W. Choi; Z. Chen; J. R. Doppa; P. P. Pande; D. Marculescu; R. Marculescu,"Carnegie Mellon University, Pittsburgh, PA, USA",IEEE Transactions on Very Large Scale Integration (VLSI) Systems,20170823,2017,25,9,2458,2471,"Manycore chips are widely employed in high-performance computing and large-scale data analysis. However, the design of high-performance manycore chips is dominated by power and thermal constraints. In this respect, voltage-frequency island (VFI) is a promising design paradigm to create scalable energy-efficient platforms. By dynamically tailoring the voltage and frequency of each island, we can further improve the energy savings within given performance constraints. Inspired by the recent success of imitation learning (IL) in many application domains and its significant advantages over reinforcement learning (RL), we propose the first architecture-independent IL-based methodology for dynamic VFI (DVFI) control in manycore systems. Due to its popularity in the EDA community, we consider an RL-based DVFI control methodology as a strong baseline. Our experimental results demonstrate that IL is able to obtain higher quality policies than RL (on average, 5% less energy with the same level of performance) with significantly less computation time and hardware area overheads (3.1X and 8.8X, respectively).",1063-8210;10638210,,10.1109/TVLSI.2017.2700726,10.13039/100000001 - U.S. National Science Foundation; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7934357,Dynamic voltage and frequency scaling (DVFS);low power;machine learning (ML);manycore systems;voltage-frequency islands (VFIs),Control systems;Energy consumption;Energy dissipation;Hardware;Resource management;Scalability;Very large scale integration,energy conservation;learning (artificial intelligence);microprocessor chips;multiprocessing systems;parallel processing;performance evaluation;power aware computing,DVFI control;EDA community;RL-based DVFI control;architecture-independent IL-based methodology;dynamic VFI control;dynamic voltage and frequency scaling;energy savings;high-performance computing;high-performance manycore chips;imitation learning;large-scale data analysis;large-scale manycore systems;performance constraints;power constraints;reinforcement learning;scalable energy-efficient platforms;thermal constraints;voltage-frequency island,,1,,,,,20170526,Sept. 2017,,IEEE,IEEE Journals & Magazines
A game-theoretic framework with reinforcement learning for multinode cooperation in wireless networks,M. W. Baidas,"Dept. of Electr. Eng., Kuwait Univ., Kuwait City, Kuwait","2013 IEEE 24th Annual International Symposium on Personal, Indoor, and Mobile Radio Communications (PIMRC)",20131125,2013,,,981,986,"In this paper, a game-theoretic framework based on the iterated prisoner's dilemma (IPD) is proposed to model the repeated dynamic interactions of multiple source nodes when communicating with multiple destinations in ad-hoc wireless networks. In such networks where nodes are autonomous, selfish, and not familiar with other nodes' strategies, fully cooperative behaviors cannot be assumed. Thus, a Q-learning algorithm is proposed to allow network nodes to adapt to and play the IPD game against opponents with a variety of known and unknown strategies. Simulation results illustrate that the proposed Q-learning algorithm allows network nodes to play optimally and achieve their maximum expected return values.",2166-9570;21669570,Electronic:978-1-4673-6235-1; POD:978-1-4673-6233-7; USB:978-1-4673-6234-4,10.1109/PIMRC.2013.6666280,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6666280,Amplify-and-forward (AF);Q-learning;cooperation;game-theory;prisoner's dilemma;reinforcement learning,Broadcasting;Convergence;Games;Learning (artificial intelligence);Silicon;Thin film transistors;Wireless networks,ad hoc networks;cooperative communication;game theory;learning (artificial intelligence);telecommunication computing,IPD;IPD game;Q-learning algorithm;ad-hoc wireless networks;fully cooperative behaviors;game-theoretic framework;iterated prisoner dilemma;multinode cooperation;multiple source nodes;network nodes;reinforcement learning,,2,,21,,,,8-11 Sept. 2013,,IEEE,IEEE Conferences
Application of reinforcement learning to admission control in CDMA network,B. Makarevitch,"Commun. Lab., Helsinki Univ. of Technol., Espoo, Finland",11th IEEE International Symposium on Personal Indoor and Mobile Radio Communications. PIMRC 2000. Proceedings (Cat. No.00TH8525),20020806,2000,2,,1353,1357 vol.2,The paper describes an admission control algorithm for the CDMA networks which is able to adapt to the operating environment. The algorithm is based on the principle of reinforcement learning and it achieves near-optimal performance for various radio propagation conditions and network operator's objectives. The performance evaluation results for different state space alternatives and algorithm parameters are presented and compared with the conventional admission control based on the power thresholds,,POD:0-7803-6463-5,10.1109/PIMRC.2000.881639,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=881639,,Admission control;Base stations;Communication system control;Degradation;Downlink;Intelligent networks;Interference;Learning;Multiaccess communication;Paper technology,Markov processes;cellular radio;code division multiple access;learning (artificial intelligence);multiuser channels;radio networks;telecommunication congestion control,CDMA network;Markov decision process;admission control algorithm;algorithm parameters;cellular radio;near-optimal performance;network operator objectives;performance evaluation results;power thresholds;radio propagation conditions;reinforcement learning;state space alternatives,,3,1,4,,,,2000,18 Sep 2000-21 Sep 2000,IEEE,IEEE Conferences
