database,Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Document Type,Access Type,Source,EID
SCOPUS,"Lim J., Son H., Lee D., Lee D.",An MARL-Based Distributed Learning Scheme for Capturing User Preferences in a Smart Environment,2017,"Proceedings - 2017 IEEE 14th International Conference on Services Computing, SCC 2017",,,8034977,132,139,,1,10.1109/SCC.2017.24,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032375138&doi=10.1109%2fSCC.2017.24&partnerID=40&md5=a03b653a6746fb44b78181ad6aee5872,"School of Computing, KAIST, Daejeon, South Korea","Lim, J., School of Computing, KAIST, Daejeon, South Korea; Son, H., School of Computing, KAIST, Daejeon, South Korea; Lee, D., School of Computing, KAIST, Daejeon, South Korea; Lee, D., School of Computing, KAIST, Daejeon, South Korea","Providing a personalized service to a user in a smart environment has been one of the key goals in the area of pervasive computing. The proliferation of individually developed smart devices in the name of Internet of Things opens up a possibility of providing personalized services to a user in an autonomous and distributed manner. As a user's task often involves services supported by multiple devices, capturing a device-specific service preference is not enough to maximize a user's comfort. In this paper, we propose a distributed learning scheme for capturing multiple device service preferences in a smart environment. We exploit multi-Agent reinforcement learning (MARL) method where each smart device acts as a reinforcement learning agent to incrementally and cooperatively capture a user specific preference of a task. Experiments confirm that smart devices with the proposed scheme are able to capture multiple device service preferences from a small number of interactions with a user and an environment. Also, the proposed transfer learning method improves learning performance for a new task. © 2017 IEEE.",Context aware; Distributed learning; Personalization; Smart device; User preference,Conference Paper,,Scopus,2-s2.0-85032375138
SCOPUS,"Liu Y., Logan B., Liu N., Xu Z., Tang J., Wang Y.",Deep Reinforcement Learning for Dynamic Treatment Regimes on Medical Registry Data,2017,"Proceedings - 2017 IEEE International Conference on Healthcare Informatics, ICHI 2017",,,8031178,380,385,,1,10.1109/ICHI.2017.45,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032350439&doi=10.1109%2fICHI.2017.45&partnerID=40&md5=ddb30b458a20668f1f130c70ee00c65e,"Division of Biostatistics, Medical College of Wisconsin, Milwaukee, WI, United States; Department of Electrical Engineering and Computer Science, Syracuse University, Syracuse, NY, United States","Liu, Y., Division of Biostatistics, Medical College of Wisconsin, Milwaukee, WI, United States; Logan, B., Division of Biostatistics, Medical College of Wisconsin, Milwaukee, WI, United States; Liu, N., Department of Electrical Engineering and Computer Science, Syracuse University, Syracuse, NY, United States; Xu, Z., Department of Electrical Engineering and Computer Science, Syracuse University, Syracuse, NY, United States; Tang, J., Department of Electrical Engineering and Computer Science, Syracuse University, Syracuse, NY, United States; Wang, Y., Department of Electrical Engineering and Computer Science, Syracuse University, Syracuse, NY, United States","In this paper, we propose the first deep reinforce-ment learning framework to estimate the optimal Dynamic Treat-ment Regimes from observational medical data. This framework is more flexible and adaptive for high dimensional action and state spaces than existing reinforcement learning methods to model real life complexity in heterogeneous disease progression and treatment choices, with the goal to provide doctor and patients the data-driven personalized decision recommendations. The proposed deep reinforcement learning framework contains a supervised learning step to predict the most possible expert actions; and a deep reinforcement learning step to estimate the long term value function of Dynamic Treatment Regimes. We motivated and implemented the proposed framework on a data set from the Center for International Bone Marrow Transplant Research (CIBMTR) registry database, focusing on the sequence of prevention and treatments for acute and chronic graft versus host disease. We showed results of the initial implementation that demonstrates promising accuracy in predicting human expert decisions and initial implementation for the reinforcement learning step. © 2017 IEEE.",,Conference Paper,,Scopus,2-s2.0-85032350439
SCOPUS,"Zhao Y., Wang S., Zou Y., Ng J., Ng T.",Automatically Learning User Preferences for Personalized Service Composition,2017,"Proceedings - 2017 IEEE 24th International Conference on Web Services, ICWS 2017",,,8029835,776,783,,,10.1109/ICWS.2017.93,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032335863&doi=10.1109%2fICWS.2017.93&partnerID=40&md5=e98f88a57685c4a2b5bbde7f54d9f1bf,"Queen's University, Kingston, ON, Canada; IBM CAS Research, Markham, Canada","Zhao, Y., Queen's University, Kingston, ON, Canada; Wang, S., Queen's University, Kingston, ON, Canada; Zou, Y., Queen's University, Kingston, ON, Canada; Ng, J., IBM CAS Research, Markham, Canada; Ng, T., IBM CAS Research, Markham, Canada","With the rapid growth of the web services technologies, users often leverage various web services to perform their daily activities, such as on-line shopping. Due to the massive amount of web services available, a user faces numerous choices to meet their personal preferences when selecting the desired services from the web services with the similar functionality. Therefore, it becomes tedious and cumbersome tasks for users to discover and compose services. To reduce user's cognitive burden, it is critical to support automated service composition and make efficient recommendation of personalized services to achieve user's overall goals. However, existing approaches only offer users with limited options designed for the interest of a group of users without considering individual users' interests. To allow users to compose personalized services without much manual specification, we propose a machine learning approach that applies a learning-to-rank algorithm, RankBoost, to automatically learn user preferences and the prioritization of the preferences from users' historical data. Moreover, our approach uses the multi-objective reinforcement learning (MORL) algorithm to make trade-offs among user preferences and recommends a collection of services to achieve the highest objective. We conduct an empirical study to evaluate our approach by collecting the historical data from 12 subjects. The results demonstrate that our approach outperforms the two well-established baseline approaches by 100%-200% in terms of precision on recommending services. © 2017 IEEE.",,Conference Paper,,Scopus,2-s2.0-85032335863
SCOPUS,"Gašić M., Mrkšić N., Rojas-Barahona L.M., Su P.-H., Ultes S., Vandyke D., Wen T.-H., Young S.",Dialogue manager domain adaptation using Gaussian process reinforcement learning,2017,Computer Speech and Language,45,,,552,569,,,10.1016/j.csl.2016.09.003,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85007550419&doi=10.1016%2fj.csl.2016.09.003&partnerID=40&md5=d21df44714e6a813bc0ce40cbb80b74f,"University of Cambridge, Trumpington Street, Cambridge, United Kingdom","Gašić, M., University of Cambridge, Trumpington Street, Cambridge, United Kingdom; Mrkšić, N., University of Cambridge, Trumpington Street, Cambridge, United Kingdom; Rojas-Barahona, L.M., University of Cambridge, Trumpington Street, Cambridge, United Kingdom; Su, P.-H., University of Cambridge, Trumpington Street, Cambridge, United Kingdom; Ultes, S., University of Cambridge, Trumpington Street, Cambridge, United Kingdom; Vandyke, D., University of Cambridge, Trumpington Street, Cambridge, United Kingdom; Wen, T.-H., University of Cambridge, Trumpington Street, Cambridge, United Kingdom; Young, S., University of Cambridge, Trumpington Street, Cambridge, United Kingdom","Spoken dialogue systems allow humans to interact with machines using natural speech. As such, they have many benefits. By using speech as the primary communication medium, a computer interface can facilitate swift, human-like acquisition of information. In recent years, speech interfaces have become ever more popular, as is evident from the rise of personal assistants such as Siri, Google Now, Cortana and Amazon Alexa. Recently, data-driven machine learning methods have been applied to dialogue modelling and the results achieved for limited-domain applications are comparable to or out-perform traditional approaches. Methods based on Gaussian processes are particularly effective as they enable good models to be estimated from limited training data. Furthermore, they provide an explicit estimate of the uncertainty which is particularly useful for reinforcement learning. This article explores the additional steps that are necessary to extend these methods to model multiple dialogue domains. We show that Gaussian process reinforcement learning is an elegant framework that naturally supports a range of methods, including prior knowledge, Bayesian committee machines and multi-agent learning, for facilitating extensible and adaptable dialogue systems. © 2016 The Authors",Dialogue systems; Gaussian process; Reinforcement learning,Article,Open Access,Scopus,2-s2.0-85007550419
SCOPUS,"Wicker J., Kramer S.",The best privacy defense is a good privacy offense: obfuscating a search engine user’s profile,2017,Data Mining and Knowledge Discovery,31,5,,1419,1443,,,10.1007/s10618-017-0524-z,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85025085865&doi=10.1007%2fs10618-017-0524-z&partnerID=40&md5=247afda6050dd89a6a7d18d84d0dc5ee,"Institute of Computer Science, Johannes Gutenberg University Mainz, Staudingerweg 9, Mainz, Germany","Wicker, J., Institute of Computer Science, Johannes Gutenberg University Mainz, Staudingerweg 9, Mainz, Germany; Kramer, S., Institute of Computer Science, Johannes Gutenberg University Mainz, Staudingerweg 9, Mainz, Germany","User privacy on the internet is an important and unsolved problem. So far, no sufficient and comprehensive solution has been proposed that helps a user to protect his or her privacy while using the internet. Data are collected and assembled by numerous service providers. Solutions so far focused on the side of the service providers to store encrypted or transformed data that can be still used for analysis. This has a major flaw, as it relies on the service providers to do this. The user has no chance of actively protecting his or her privacy. In this work, we suggest a new approach, empowering the user to take advantage of the same tool the other side has, namely data mining to produce data which obfuscates the user’s profile. We apply this approach to search engine queries and use feedback of the search engines in terms of personalized advertisements in an algorithm similar to reinforcement learning to generate new queries potentially confusing the search engine. We evaluated the approach using a real-world data set. While evaluation is hard, we achieve results that indicate that it is possible to influence the user’s profile that the search engine generates. This shows that it is feasible to defend a user’s privacy from a new and more practical perspective. © 2017, The Author(s).",Personalized ads; Privacy; Reinforcement learning; Search engines; Web mining,Article,,Scopus,2-s2.0-85025085865
SCOPUS,"Yang M., Zhao Z., Zhao W., Chen X., Zhu J., Zhou L., Cao Z.",Personalized response generation via domain adaptation,2017,SIGIR 2017 - Proceedings of the 40th International ACM SIGIR Conference on Research and Development in Information Retrieval,,,,1021,1024,,,10.1145/3077136.3080706,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029357642&doi=10.1145%2f3077136.3080706&partnerID=40&md5=7dbab8245c15ee222478932988b1f01b,"Tencent AI Lab, United States; Zhejiang University, China; Tencent, China; Normal University, China; IIE, Chinese Academy of Sciences, China; South China Normal University, China","Yang, M., Tencent AI Lab, United States; Zhao, Z., Zhejiang University, China; Zhao, W., Tencent, China; Chen, X., Normal University, China; Zhu, J., IIE, Chinese Academy of Sciences, China; Zhou, L., South China Normal University, China; Cao, Z., Tencent AI Lab, United States","In this paper, we propose a novel personalized response generation model via domain adaptation (PRG-DM). First, we learn the human responding style from large general data (without user-specific information). Second, we fine tune the model on a small size of personalized data to generate personalized responses with a dual learning mechanism. Moreover, we propose three new rewards to characterize good conversations that are personalized, informative and grammatical. We employ the policy gradient method to generate highly rewarded responses. Experimental results show that our model can generate better personalized responses for different users. © 2017 Copyright held by the owner/author(s).",Domain adaptation; Reinforcement learning; Response generation,Conference Paper,,Scopus,2-s2.0-85029357642
SCOPUS,"Chen X., Zhai Y., Lu C., Gong J., Wang G.",A learning model for personalized adaptive cruise control,2017,"IEEE Intelligent Vehicles Symposium, Proceedings",,,7995748,379,384,,,10.1109/IVS.2017.7995748,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028054739&doi=10.1109%2fIVS.2017.7995748&partnerID=40&md5=b26dc5f442e29c27aa9eb5b653598e32,"Intelligent Vehicle Research Center, Beijing Institute of Technology, Beijing, China; Shenzhen Institutes of Advanced Technology, Chinese Academy of Sciences, Shenzhen, China","Chen, X., Intelligent Vehicle Research Center, Beijing Institute of Technology, Beijing, China; Zhai, Y., Intelligent Vehicle Research Center, Beijing Institute of Technology, Beijing, China; Lu, C., Intelligent Vehicle Research Center, Beijing Institute of Technology, Beijing, China; Gong, J., Intelligent Vehicle Research Center, Beijing Institute of Technology, Beijing, China; Wang, G., Shenzhen Institutes of Advanced Technology, Chinese Academy of Sciences, Shenzhen, China","This paper develops a learning model for personalized adaptive cruise control that can learn from human demonstration online and mimic a human driver's driving strategies in the dynamic traffic environment. Under the framework of the proposed model, reinforcement learning is used to capture the human-desired driving strategy, and the proportion-integration-differentiation controller is adopted to convert the learning strategy to low-level control commands. The performance of the learning model is tested in the simulation environment built in a driving simulator using PreScan. Experimental results show that the learning model can duplicate human driving strategies with acceptable errors. Moreover, compared with the traditional adaptive cruise control, the proposed model can provide better driving comfort and smoothness in the dynamic situation. © 2017 IEEE.",,Conference Paper,,Scopus,2-s2.0-85028054739
SCOPUS,"Patompak P., Jeong S., Nilkhamhang I., Chong N.Y.",Learning social relations for culture aware interaction,2017,"2017 14th International Conference on Ubiquitous Robots and Ambient Intelligence, URAI 2017",,,7992879,26,31,,,10.1109/URAI.2017.7992879,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85034241305&doi=10.1109%2fURAI.2017.7992879&partnerID=40&md5=ad8b619b874c09954225a50c37cbdff2,"School of Information Science, Japan Advanced Institute of Science and Technology, 1-1 Asahidai, Nomi, Ishikawa, Japan; School of Information Computer and Communication Technology, Sirindhorn International Institute of Technology, Thammasat University, 99 Khlong Luang, Pathum Thani, Thailand","Patompak, P., School of Information Science, Japan Advanced Institute of Science and Technology, 1-1 Asahidai, Nomi, Ishikawa, Japan; Jeong, S., School of Information Science, Japan Advanced Institute of Science and Technology, 1-1 Asahidai, Nomi, Ishikawa, Japan; Nilkhamhang, I., School of Information Computer and Communication Technology, Sirindhorn International Institute of Technology, Thammasat University, 99 Khlong Luang, Pathum Thani, Thailand; Chong, N.Y., School of Information Science, Japan Advanced Institute of Science and Technology, 1-1 Asahidai, Nomi, Ishikawa, Japan","Each person has their private physical and/or psychological area where they do not want to share with others during social interactions. This area gives them comfort about interactions and its size usually depends on various factors such as culture, personal traits, and acquaintanceship. This issue may also arise in case of human-robot interaction, especially when the robot is required to generate a socially competent interaction strategy toward people they are interacting with. Here, we propose a new robot exploration strategy to socially interact with people by considering the social relationship between the robot and each person. To that end, two definitions of interaction area are made: (1) Acceptable area allowed to be shared with other people and robots, and (2) Private area where a human does not want to be interfered by others. Based on these definitions, the robot can optimize the path to maximize the frequency/degree of visiting the acceptable area of each person and to minimize the frequency/degree of trespassing into the private area of them at the same time in an iterative way. In this paper, the social force model (SFM) of each person, based on the potential field concept, is designed by a fuzzy inference system and its parameter is optimized by the reinforcement learning model during interactions. We have shown that the proposed model can generate a suitable SFM of each person, which was quite similar to a ground truth model, allowing to plan a path to simultaneously optimize the two factors of interaction area, respectively. © 2017 IEEE.",,Conference Paper,,Scopus,2-s2.0-85034241305
SCOPUS,"Kuzmanovic B., Rigoux L.",Valence-dependent belief updating: Computational validation,2017,Frontiers in Psychology,8,JUN,1087,,,,1,10.3389/fpsyg.2017.01087,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021326063&doi=10.3389%2ffpsyg.2017.01087&partnerID=40&md5=3fe7f419a8d8399d3369b3a1f11610a2,"Translational Neurocircuitry Group, Max Planck Institute for Metabolism Research, Cologne, Germany; Translational Neuromodeling Unit, Institute for Biomedical Engineering, University of Zurich and ETH Zurich, Zurich, Switzerland","Kuzmanovic, B., Translational Neurocircuitry Group, Max Planck Institute for Metabolism Research, Cologne, Germany; Rigoux, L., Translational Neurocircuitry Group, Max Planck Institute for Metabolism Research, Cologne, Germany, Translational Neuromodeling Unit, Institute for Biomedical Engineering, University of Zurich and ETH Zurich, Zurich, Switzerland","People tend to update beliefs about their future outcomes in a valence-dependent way: they are likely to incorporate good news and to neglect bad news. However, belief formation is a complex process which depends not only on motivational factors such as the desire for favorable conclusions, but also on multiple cognitive variables such as prior beliefs, knowledge about personal vulnerabilities and resources, and the size of the probabilities and estimation errors. Thus, we applied computational modeling in order to test for valence-induced biases in updating while formally controlling for relevant cognitive factors. We compared biased and unbiased Bayesian models of belief updating, and specified alternative models based on reinforcement learning. The experiment consisted of 80 trials with 80 different adverse future life events. In each trial, participants estimated the base rate of one of these events and estimated their own risk of experiencing the event before and after being confronted with the actual base rate. Belief updates corresponded to the difference between the two self-risk estimates. Valence-dependent updating was assessed by comparing trials with good news (better-than-expected base rates) with trials with bad news (worse-than-expected base rates). After receiving bad relative to good news, participants' updates were smaller and deviated more strongly from rational Bayesian predictions, indicating a valence-induced bias. Model comparison revealed that the biased (i.e., optimistic) Bayesian model of belief updating better accounted for data than the unbiased (i.e., rational) Bayesian model, confirming that the valence of the new information influenced the amount of updating. Moreover, alternative computational modeling based on reinforcement learning demonstrated higher learning rates for good than for bad news, as well as a moderating role of personal knowledge. Finally, in this specific experimental context, the approach based on reinforcement learning was superior to the Bayesian approach. The computational validation of valence-dependent belief updating represents a novel support for a genuine optimism bias in human belief formation. Moreover, the precise control of relevant cognitive variables justifies the conclusion that the motivation to adopt the most favorable self-referential conclusions biases human judgments. © 2017 Kuzmanovic and Rigoux.","Bayesian theorem; Belief updating; Computational modeling; Desirability; Motivation, probability; Optimism bias; Risk judgments",Article,,Scopus,2-s2.0-85021326063
SCOPUS,"Bornstein A.M., Norman K.A.",Reinstated episodic context guides sampling-based decisions for reward,2017,Nature Neuroscience,20,7,,997,1003,,5,10.1038/nn.4573,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021392099&doi=10.1038%2fnn.4573&partnerID=40&md5=cbb4c23087bc185fa012c8825f2baf87,"Neuroscience Institute, Princeton University, Princeton, NJ, United States; Department of Psychology, Princeton University, Princeton, NJ, United States","Bornstein, A.M., Neuroscience Institute, Princeton University, Princeton, NJ, United States; Norman, K.A., Neuroscience Institute, Princeton University, Princeton, NJ, United States, Department of Psychology, Princeton University, Princeton, NJ, United States","How does experience inform decisions? In episodic sampling, decisions are guided by a few episodic memories of past choices. This process can yield choice patterns similar to model-free reinforcement learning; however, samples can vary from trial to trial, causing decisions to vary. Here we show that context retrieved during episodic sampling can cause choice behavior to deviate sharply from the predictions of reinforcement learning. Specifically, we show that, when a given memory is sampled, choices (in the present) are influenced by the properties of other decisions made in the same context as the sampled event. This effect is mediated by fMRI measures of context retrieval on each trial, suggesting a mechanism whereby cues trigger retrieval of context, which then triggers retrieval of other decisions from that context. This result establishes a new avenue by which experience can guide choice and, as such, has broad implications for the study of decisions. © 2017 Nature America, Inc., part of Springer Nature. All rights reserved.",,Article,,Scopus,2-s2.0-85021392099
SCOPUS,"Chasparis G.C., Natschläger T.",Supervisory output prediction for bilinear systems by reinforcement learning,2017,IET Control Theory and Applications,11,10,,1514,1521,,,10.1049/iet-cta.2016.1400,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020475446&doi=10.1049%2fiet-cta.2016.1400&partnerID=40&md5=1e360ea4f2acfdac8762b69687fb1685,"Software Competence Center Hagenberg GmbH, Softwarepark 21, Hagenberg, Austria","Chasparis, G.C., Software Competence Center Hagenberg GmbH, Softwarepark 21, Hagenberg, Austria; Natschläger, T., Software Competence Center Hagenberg GmbH, Softwarepark 21, Hagenberg, Austria","Online output prediction is an indispensable part of any model predictive control implementation. For several application scenarios, operating conditions may change quite often, while designing the data collection process may not be an option. To this end, this study introduces a supervisory output prediction scheme, tailored specifically for input-output stable bilinear systems, that intends on automating the process of selecting the most appropriate prediction model during runtime. The selection process is based upon a reinforcement-learning scheme, where prediction models are selected according to their prior prediction performance. An additional selection process is concerned with appropriately partitioning the control-inputs' domain also to allow for switched-system approximations of the original bilinear dynamics. The authors show analytically that the proposed scheme converges (in probability) to the best model and partition. They also demonstrate these properties through simulations of temperature prediction in residential buildings. © The Institution of Engineering and Technology 2017.",,Article,,Scopus,2-s2.0-85020475446
SCOPUS,"Tsiakas K., Papakostas M., Papakostas M., Bell M., Mihalcea R., Wang S., Burzo M., Makedon F.",An interactive multisensing framework for personalized human robot collaboration and assistive training using reinforcement learning,2017,ACM International Conference Proceeding Series,Part F128530,,,423,427,,,10.1145/3056540.3076191,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85025128294&doi=10.1145%2f3056540.3076191&partnerID=40&md5=c676d60143fb0a043e53e429754aa90b,"HERACLEIA Human-Centered Computing Laboratory, CSE Dept., University of Texas, Arlington, United States; Industrial Engineering Dept., University of Texas, Arlington, United States; Dept. of Psychiatry, Yale School of Medicine, United States; CSE Dept., University of Michigan, United States; Mechanical Engineering Dept., University of Michigan-Flint, United States","Tsiakas, K., HERACLEIA Human-Centered Computing Laboratory, CSE Dept., University of Texas, Arlington, United States; Papakostas, M., HERACLEIA Human-Centered Computing Laboratory, CSE Dept., University of Texas, Arlington, United States; Papakostas, M., HERACLEIA Human-Centered Computing Laboratory, CSE Dept., University of Texas, Arlington, United States; Bell, M., Dept. of Psychiatry, Yale School of Medicine, United States; Mihalcea, R., CSE Dept., University of Michigan, United States; Wang, S., Industrial Engineering Dept., University of Texas, Arlington, United States; Burzo, M., Mechanical Engineering Dept., University of Michigan-Flint, United States; Makedon, F., HERACLEIA Human-Centered Computing Laboratory, CSE Dept., University of Texas, Arlington, United States","There is a recent trend of research and applications of Cyber- Physical Systems (CPS) in manufacturing to enhance humanrobot collaboration and production. In this paper, we propose a CPS framework for personalized Human-Robot Collaboration and Training to promote safe human-robot collaboration in manufacturing environments. We propose a human-centric CPS approach that focuses on multimodal human behavior monitoring and assessment, to promote human worker safety and enable human training in Human- Robot Collaboration tasks. We present the architecture of our proposed system, our experimental testbed and our proposed methods for multimodal physiological sensing, human state monitoring and interactive robot adaptation, to enable personalized interaction. © 2017 ACM.",Cyber Physical Systems; Human Robot Collaboration; Intelligent Manufacturing; Vocational Assessment and Training,Conference Paper,,Scopus,2-s2.0-85025128294
SCOPUS,"Manickam I., Lan A.S., Baraniuk R.G.",Contextual multi-armed bandit algorithms for personalized learning action selection,2017,"ICASSP, IEEE International Conference on Acoustics, Speech and Signal Processing - Proceedings",,,7953377,6344,6348,,1,10.1109/ICASSP.2017.7953377,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85023754279&doi=10.1109%2fICASSP.2017.7953377&partnerID=40&md5=a08f9f6b9d744276c74a60ed3e66a164,"Rice University, United States","Manickam, I., Rice University, United States; Lan, A.S., Rice University, United States; Baraniuk, R.G., Rice University, United States","Optimizing the selection of learning resources and practice questions to address each individual student's needs has the potential to improve students' learning efficiency. In this paper, we study the problem of selecting a personalized learning action for each student (e.g. watching a lecture video, working on a practice question, etc.), based on their prior performance, in order to maximize their learning outcome. We formulate this problem using the contextual multi-armed bandits framework, where students' prior concept knowledge states (estimated from their responses to questions in previous assessments) correspond to contexts, the personalized learning actions correspond to arms, and their performance on future assessments correspond to rewards. We propose three new Bayesian policies to select personalized learning actions for students that each exhibits advantages over prior work, and experimentally validate them using real-world datasets. © 2017 IEEE.",contextual bandits; personalized learning,Conference Paper,,Scopus,2-s2.0-85023754279
SCOPUS,Sekhavat Y.A.,MPRL: Multiple-Periodic Reinforcement Learning for difficulty adjustment in rehabilitation games,2017,"2017 IEEE 5th International Conference on Serious Games and Applications for Health, SeGAH 2017",,,7939260,,,,,10.1109/SeGAH.2017.7939260,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021753365&doi=10.1109%2fSeGAH.2017.7939260&partnerID=40&md5=1a32299aab57acfa9bf6686973c5c572,"Faculty of Multimedia, Tabriz Islamic Art University, Tabriz, Iran","Sekhavat, Y.A., Faculty of Multimedia, Tabriz Islamic Art University, Tabriz, Iran","Generally, the difficulty level of a therapeutic game is regulated manually by a therapist. However, home-based rehabilitation games require a technique for automatic difficulty adjustment. This paper proposes a personalized difficulty adjustment technique for a rehabilitation game that automatically regulates difficulty settings based on a patient's skills in real-time. To this end, ideas from reinforcement learning are used to dynamically adjust the difficulty of a game. We show that difficulty adjustment is a multiple-objective problem, in which some objectives might be evaluated at different periods. To address this problem, we propose and use Multiple-Periodic Reinforcement Learning (MPRL) that makes it possible to evaluate different objectives of difficulty adjustment in separate periods. The results of experiments show that MPRL outperforms traditional Multiple-Objective Reinforcement Learning (MORL) in terms of user satisfaction parameters as well as improving the movement skills of patients. © 2017 IEEE.",,Conference Paper,,Scopus,2-s2.0-85021753365
SCOPUS,"Ferretti S., Mirri S., Prandi C., Salomoni P.",On personalizing Web content through reinforcement learning,2017,Universal Access in the Information Society,16,2,,395,410,,1,10.1007/s10209-016-0463-2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960114893&doi=10.1007%2fs10209-016-0463-2&partnerID=40&md5=5261867eed4eafe7188ba50052e7410c,"Department of Computer Science and Engineering, Università di Bologna, Via Mura Anteo Zamboni 7, Bologna, Italy","Ferretti, S., Department of Computer Science and Engineering, Università di Bologna, Via Mura Anteo Zamboni 7, Bologna, Italy; Mirri, S., Department of Computer Science and Engineering, Università di Bologna, Via Mura Anteo Zamboni 7, Bologna, Italy; Prandi, C., Department of Computer Science and Engineering, Università di Bologna, Via Mura Anteo Zamboni 7, Bologna, Italy; Salomoni, P., Department of Computer Science and Engineering, Università di Bologna, Via Mura Anteo Zamboni 7, Bologna, Italy","Nowadays, a large use of personalization techniques is used to adapt Web content to users’ habits, mainly with the aim of offering appropriate products and services. This paper presents a system that uses personalization and adaptation techniques, in order to transcode or modify contents (e.g., adapt text fonts) so as to meet preferences and needs of elderly users and users with disabilities. Such an adaptation can have a positive effect, in particular for users with some reading-related disabilities (i.e., people with dyslexia, users with low vision, users with color blindness, elderly people.). To avoid issues arising from applying transformations to the whole content, the proposed system uses Web intelligence to perform automatic adaptations on single elements composing a Web page. The transformation is applied on the basis of a reinforcement learning algorithm which manages a user profile. The system is evaluated through simulations and a real assessment, where elderly users where asked to use the system prototype for a time period and to perform some specific tasks. Results of the qualitative evaluation confirm the feasibility of the proposal, showing its validity and the users’ appreciation. © 2016, Springer-Verlag Berlin Heidelberg.",Content adaptation; Legibility; Reinforcement learning; User profiling; Web personalization,Article,,Scopus,2-s2.0-84960114893
SCOPUS,"Zhu R., Zhao Y.-Q., Chen G., Ma S., Zhao H.",Greedy outcome weighted tree learning of optimal personalized treatment rules,2017,Biometrics,73,2,,391,400,,1,10.1111/biom.12593,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994875692&doi=10.1111%2fbiom.12593&partnerID=40&md5=f7fb0d98e7a8421f1d12ffbc09a05fee,"University of Illinois at Urbana-Champaign, Champaign, IL, United States; Fred Hutchinson Cancer Research Center, Seattle, WA, United States; Vanderbilt University, Nashville, TN, United States; Yale University, New Haven, CT, United States","Zhu, R., University of Illinois at Urbana-Champaign, Champaign, IL, United States; Zhao, Y.-Q., Fred Hutchinson Cancer Research Center, Seattle, WA, United States; Chen, G., Vanderbilt University, Nashville, TN, United States; Ma, S., Yale University, New Haven, CT, United States; Zhao, H., Yale University, New Haven, CT, United States","We propose a subgroup identification approach for inferring optimal and interpretable personalized treatment rules with high-dimensional covariates. Our approach is based on a two-step greedy tree algorithm to pursue signals in a high-dimensional space. In the first step, we transform the treatment selection problem into a weighted classification problem that can utilize tree-based methods. In the second step, we adopt a newly proposed tree-based method, known as reinforcement learning trees, to detect features involved in the optimal treatment rules and to construct binary splitting rules. The method is further extended to right censored survival data by using the accelerated failure time model and introducing double weighting to the classification trees. The performance of the proposed method is demonstrated via simulation studies, as well as analyses of the Cancer Cell Line Encyclopedia (CCLE) data and the Tamoxifen breast cancer data. © 2016, The International Biometric Society",High-dimensional data; Optimal treatment rules; Personalized medicine; Reinforcement learning trees; Survival analysis; Tree-based method,Article,,Scopus,2-s2.0-84994875692
SCOPUS,"Zald D.H., Treadway M.T.","Reward Processing, Neuroeconomics, and Psychopathology",2017,Annual Review of Clinical Psychology,13,,,471,495,,2,10.1146/annurev-clinpsy-032816-044957,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019122756&doi=10.1146%2fannurev-clinpsy-032816-044957&partnerID=40&md5=a8b5422deb2aa507c9408e66bf128fa2,"Department of Psychology, Department of Psychiatry, Vanderbilt University, Nashville, TN, United States; Department of Psychology, Emory University, Atlanta, GA, United States","Zald, D.H., Department of Psychology, Department of Psychiatry, Vanderbilt University, Nashville, TN, United States; Treadway, M.T., Department of Psychology, Emory University, Atlanta, GA, United States","Abnormal reward processing is a prominent transdiagnostic feature of psychopathology. The present review provides a framework for considering the different aspects of reward processing and their assessment, and highlights recent insights from the field of neuroeconomics that may aid in understanding these processes. Although altered reward processing in psychopathology has often been treated as a general hypo- or hyperresponsivity to reward, increasing data indicate that a comprehensive understanding of reward dysfunction requires characterization within more specific reward-processing domains, including subjective valuation, discounting, hedonics, reward anticipation and facilitation, and reinforcement learning. As such, more nuanced models of the nature of these abnormalities are needed. We describe several processing abnormalities capable of producing the types of selective alterations in reward-related behavior observed in different forms of psychopathology, including (mal)adaptive scaling and anchoring, dysfunctional weighting of reward and cost variables, competition between valuation systems, and reward prediction error signaling. © 2017 by Annual Reviews. All rights reserved.",Addiction; Anhedonia; Computational psychiatry; Dopamine; Major depression; Prediction error,Article,,Scopus,2-s2.0-85019122756
